nu,[0]Brominenitrate-HITRAN(x-sec)-X=0.01-T=204.0K-P=0.0atm-L=15cm
1230,0.9999874110792412
1230.119202,0.9999903478465824
1230.238404,0.999988888061738
1230.357606,0.9999848661145184
1230.476808,0.999988580065208
1230.59601,0.9999844301212119
1230.715212,0.9999922438300792
1230.834414,0.9999847641160673
1230.953616,0.9999850181122296
1231.072818,0.999993425521612
1231.19202,0.9999981712016722
1231.311222,0.9999926259271886
1231.430424,0.9999886930639239
1231.549626,0.9999913099377588
1231.668828,0.9999835051360417
1231.78803,0.9999898430515821
1231.907232,0.9999931146237043
1232.026434,0.9999877200753989
1232.145636,0.9999882900685618
1232.264838,0.9999953815106652
1232.38404,0.9999864710915165
1232.503242,0.9999871070831143
1232.622444,0.9999866290893914
1232.741646,0.9999882770687141
1232.860848,0.9999991389903706
1232.98005,0.9999876710760018
1233.099252,0.9999850281120798
1233.218454,0.9999892140581687
1233.337656,0.9999902163478602
1233.456858,0.9999934727213028
1233.57606,0.9999850381119302
1233.695262,0.9999853011080297
1233.814464,0.9999887740630113
1233.933666,0.9999954742102414
1234.052868,0.9999898650513589
1234.17207,1.0
1234.291272,0.9999895880542047
1234.410474,0.9999902845471953
1234.529676,0.9999959629081491
1234.648878,0.9999879110730716
1234.76808,0.9999926040273504
1234.887282,0.9999928658254483
1235.006484,0.9999941582170633
1235.125686,0.9999973747034461
1235.244888,0.9999990008304992
1235.36409,0.9999994277001638
1235.483292,0.9999965388059899
1235.602494,0.9999946704142023
1235.721696,0.999993893618644
1235.840898,0.9999910175403426
1235.9601,0.9999906076441084
1236.079302,0.9999980524018965
1236.198504,0.9999969322047056
1236.317706,0.9999975128030931
1236.436908,1.0
1236.55611,0.9999943153161579
1236.675312,0.999996946804661
1236.794514,0.9999934971211438
1236.913716,0.9999965130060796
1237.032918,0.9999956499094617
1237.15212,0.9999926786268014
1237.271322,0.9999904959451638
1237.390524,0.999996056407776
1237.509726,1.0
1237.628928,1.0
1237.74813,0.9999944112156173
1237.867332,0.9999990041704958
1237.986534,1.0
1238.105736,0.9999959097083653
1238.224938,0.999999335190221
1238.34414,0.9999943474159759
1238.463342,0.9999974610032233
1238.582544,0.9999921287309786
1238.701746,0.9999972968036537
1238.820948,0.9999956241095742
1238.94015,0.9999962255071234
1239.059352,0.9999941487171188
1239.178554,1.0
1239.297756,0.9999975973028865
1239.416958,0.9999988957006097
1239.53616,0.9999983011014432
1239.655362,0.9999979318021387
1239.774564,0.9999932537227563
1239.893766,0.9999937948192522
1240.012968,1.0
1240.13217,1.0
1240.251372,0.9999979953020094
1240.370574,0.9999989684005322
1240.489776,1.0
1240.608978,0.9999953620107555
1240.72818,0.9999963904065146
1240.847382,1.0
1240.966584,0.9999999925284
1241.085786,0.9999971265041285
1241.204988,1.0
1241.32419,0.9999991824403343
1241.443392,0.9999933708219731
1241.562594,0.9999982638015072
1241.681796,1.0
1241.800998,1.0
1241.9202,0.9999937229197009
1242.039402,1.0
1242.158604,0.9999996118800754
1242.277806,0.9999985130011055
1242.397008,0.9999948049134945
1242.51621,0.999998388801298
1242.635412,1.0
1242.754614,1.0
1242.873816,0.9999984087012661
1242.993018,1.0
1243.11222,1.0
1243.231422,1.0
1243.350624,0.9999996072200772
1243.469826,1.0
1243.589028,1.0
1243.70823,1.0
1243.827432,1.0
1243.946634,1.0
1244.065836,1.0
1244.185038,1.0
1244.30424,1.0
1244.423442,1.0
1244.542644,1.0
1244.661846,1.0
1244.781048,0.9999999545630011
1244.90025,0.9999999477530014
1245.019452,1.0
1245.138654,1.0
1245.257856,1.0
1245.377058,1.0
1245.49626,1.0
1245.615462,1.0
1245.734664,1.0
1245.853866,1.0
1245.973068,1.0
1246.09227,1.0
1246.211472,1.0
1246.330674,1.0
1246.449876,1.0
1246.569078,1.0
1246.68828,1.0
1246.807482,1.0
1246.926684,1.0
1247.045886,1.0
1247.165088,0.9999986091009673
1247.28429,1.0
1247.403492,1.0
1247.522694,1.0
1247.641896,1.0
1247.761098,1.0
1247.8803,1.0
1247.999502,1.0
1248.118704,1.0
1248.237906,1.0
1248.357108,1.0
1248.47631,1.0
1248.595512,1.0
1248.714714,1.0
1248.833916,1.0
1248.953118,1.0
1249.07232,1.0
1249.191522,1.0
1249.310724,1.0
1249.429926,1.0
1249.549128,1.0
1249.66833,1.0
1249.787532,1.0
1249.906734,1.0
1250.025936,1.0
1250.145138,1.0
1250.26434,1.0
1250.383542,1.0
1250.502744,1.0
1250.621946,1.0
1250.741148,1.0
1250.86035,1.0
1250.979552,1.0
1251.098754,1.0
1251.217956,1.0
1251.337158,0.9999975590029793
1251.45636,1.0
1251.575562,1.0
1251.694764,1.0
1251.813966,1.0
1251.933168,1.0
1252.05237,1.0
1252.171572,1.0
1252.290774,1.0
1252.409976,1.0
1252.529178,1.0
1252.64838,1.0
1252.767582,1.0
1252.886784,0.999996460506264
1253.005986,1.0
1253.125188,1.0
1253.24439,1.0
1253.363592,1.0
1253.482794,1.0
1253.601996,1.0
1253.721198,1.0
1253.8404,1.0
1253.959602,0.9999999960923
1254.078804,1.0
1254.198006,1.0
1254.317208,1.0
1254.43641,1.0
1254.555612,0.9999995468401027
1254.674814,1.0
1254.794016,1.0
1254.913218,1.0
1255.03242,1.0
1255.151622,1.0
1255.270824,1.0
1255.390026,1.0
1255.509228,1.0
1255.62843,1.0
1255.747632,1.0
1255.866834,1.0
1255.986036,1.0
1256.105238,1.0
1256.22444,1.0
1256.343642,1.0
1256.462844,1.0
1256.582046,1.0
1256.701248,1.0
1256.82045,1.0
1256.939652,1.0
1257.058854,1.0
1257.178056,1.0
1257.297258,1.0
1257.41646,1.0
1257.535662,1.0
