nu,[0]Perfluorodecalin(cis)-HITRAN(x-sec)-X=0.01-T=300.0K-P=0.0atm-L=15cm
560,1.0
560.060265,1.0
560.12053,1.0
560.180795,1.0
560.24106,1.0
560.301325,1.0
560.36159,1.0
560.421855,1.0
560.48212,1.0
560.542385,1.0
560.60265,1.0
560.662915,1.0
560.72318,1.0
560.783445,1.0
560.84371,1.0
560.903975,1.0
560.96424,1.0
561.024505,1.0
561.08477,1.0
561.145035,1.0
561.2053,1.0
561.265565,1.0
561.32583,1.0
561.386095,1.0
561.44636,1.0
561.506625,1.0
561.56689,1.0
561.627155,1.0
561.68742,1.0
561.747685,1.0
561.80795,1.0
561.868215,1.0
561.92848,1.0
561.988745,1.0
562.04901,1.0
562.109275,1.0
562.16954,1.0
562.229805,1.0
562.29007,1.0
562.350335,1.0
562.4106,1.0
562.470865,1.0
562.53113,1.0
562.591395,1.0
562.65166,1.0
562.711925,1.0
562.77219,1.0
562.832455,1.0
562.89272,1.0
562.952985,1.0
563.01325,1.0
563.073515,1.0
563.13378,1.0
563.194045,1.0
563.25431,1.0
563.314575,1.0
563.37484,1.0
563.435105,1.0
563.49537,1.0
563.555635,1.0
563.6159,1.0
563.676165,1.0
563.73643,1.0
563.796695,1.0
563.85696,1.0
563.917225,1.0
563.97749,1.0
564.037755,1.0
564.09802,1.0
564.158285,1.0
564.21855,1.0
564.278815,1.0
564.33908,1.0
564.399345,1.0
564.45961,1.0
564.519875,0.9999999683880005
564.58014,1.0
564.640405,0.9999999091310041
564.70067,1.0
564.760935,0.9999998824000069
564.8212,0.9999999432920016
564.881465,0.9999999944303
564.94173,0.9999997742000255
565.001995,0.999999710310042
565.06226,0.9999996007100798
565.122525,0.9999993365402201
565.18279,0.9999997221300386
565.243055,0.9999993997601802
565.30332,0.9999990734504293
565.363585,0.9999992084203133
565.42385,0.9999990442304567
565.484115,0.9999992242403009
565.54438,0.9999988099007082
565.604645,0.9999986738008794
565.66491,0.9999985048011178
565.725175,0.999998399401281
565.78544,0.9999987277008093
565.845705,0.9999984288012344
565.90597,0.999998354401354
565.966235,0.9999982043016122
566.0265,0.9999980943018159
566.086765,0.9999980743018542
566.14703,0.999997711302619
566.207295,0.999997700002645
566.26756,0.9999973231035829
566.327825,0.9999974138033442
566.38809,0.9999972300038364
566.448355,0.9999973547034988
566.50862,0.9999969872045384
566.568885,0.9999969628046123
566.62915,0.999996802205113
566.689415,0.9999965378059934
566.74968,0.9999962041072045
566.809945,0.9999965925058055
566.87021,0.9999959854080585
566.930475,0.9999958887084514
566.99074,0.9999958557085876
567.051005,0.9999952887110981
567.11127,0.9999955485099079
567.171535,0.9999953648107425
567.2318,0.999994765313701
567.292065,0.9999952392113326
567.35233,0.9999947359138553
567.412595,0.9999945719147321
567.47286,0.9999942710164107
567.533125,0.9999942076167759
567.59339,0.9999938269190536
567.653655,0.9999935014211159
567.71392,0.9999939418183509
567.774185,0.9999934973211425
567.83445,0.9999932723226309
567.894715,0.9999930278243058
567.95498,0.9999926950266814
568.015245,0.9999923785290435
568.07551,0.999992284329766
568.135775,0.9999921783305894
568.19604,0.9999916575347986
568.256305,0.9999919440324495
568.31657,0.9999917340341633
568.376835,0.9999915918353488
568.4371,0.9999909802406782
568.497365,0.9999911624390515
568.55763,0.9999908321420251
568.617895,0.9999910668399009
568.67816,0.9999906909433295
568.738425,0.9999904100459839
568.79869,0.9999904848452694
568.858955,0.9999900976490286
568.91922,0.999989809051928
568.979485,0.9999898210518059
569.03975,0.9999896630534266
569.100015,0.999989573054361
569.16028,0.9999895760543297
569.220545,0.9999892700575662
569.28081,0.9999889260613165
569.341075,0.999988908061516
569.40134,0.9999889890606208
569.461605,0.999988580065208
569.52187,0.9999885160659409
569.582135,0.9999886480644337
569.6424,0.9999885420656426
569.702665,0.9999886550643543
569.76293,0.9999883130682927
569.823195,0.9999882350692073
569.88346,0.9999880450714608
569.943725,0.9999878270740906
570.00399,0.999987918072987
570.064255,0.9999874150791908
570.12452,0.9999878700735682
570.184785,0.9999873960794301
570.24505,0.9999874040793293
570.305315,0.9999871530825224
570.36558,0.9999870130843307
570.425845,0.9999867220881522
570.48611,0.9999870600837214
570.546375,0.9999865710901686
570.60664,0.999986552090424
570.666905,0.9999862040951644
570.72717,0.9999859940980835
570.787435,0.9999861820954681
570.8477,0.999986053097259
570.907965,0.999986053097259
570.96823,0.999985705102173
571.028495,0.9999860690970359
571.08876,0.9999860980966323
571.149025,0.9999858590999835
571.20929,0.9999860930967018
571.269555,0.9999856491029752
571.32982,0.9999860220976918
571.390085,0.9999859680984481
571.45035,0.9999856461030182
571.510615,0.9999858580999976
571.57088,0.9999860630971196
571.631145,0.9999857991008337
571.69141,0.9999860000979995
571.751675,0.9999860010979855
571.81194,0.9999863100937076
571.872205,0.9999862540944758
571.93247,0.9999863580930517
571.992735,0.9999860520972729
572.053,0.9999865530904105
572.113265,0.9999863880926428
572.17353,0.9999866130896055
572.233795,0.999986734087993
572.29406,0.9999865960898332
572.354325,0.9999868160869085
572.41459,0.9999868510864477
572.474855,0.9999868710861849
572.53512,0.9999871740822528
572.595385,0.9999870130843307
572.65565,0.9999872560812044
572.715915,0.9999868620863032
572.77618,0.9999873010806319
572.836445,0.9999870680836179
572.89671,0.9999873850795687
572.956975,0.9999873450800741
573.01724,0.9999876160766814
573.077505,0.9999877290752884
573.13777,0.9999877430751167
573.198035,0.9999878230741394
573.2583,0.999987784074615
573.318565,0.9999879130730475
573.37883,0.9999881280704719
573.439095,0.9999880590712935
573.49936,0.9999882590689253
573.559625,0.999988216069431
573.61989,0.9999884830663204
573.680155,0.9999884590665971
573.74042,0.9999886650642409
573.800685,0.9999886220647292
573.86095,0.9999889680608522
573.921215,0.9999889260613165
573.98148,0.9999891290590891
574.041745,0.9999890590598525
574.10201,0.999989361056594
574.162275,0.9999893550566578
574.22254,0.9999898970510351
574.282805,0.9999899140508636
574.34307,0.9999899430505714
574.403335,0.9999899310506922
574.4636,0.9999903491465698
574.523865,0.9999904528455744
574.58413,0.9999907300429663
574.644395,0.9999905644445152
574.70466,0.9999910531400233
574.764925,0.9999914077369138
574.82519,0.9999915288358805
574.885455,0.9999914875362312
574.94572,0.9999916570348028
575.005985,0.9999917496340345
575.06625,0.9999920868313092
575.126515,0.9999920702314408
575.18678,0.9999922256302206
575.247045,0.9999923066295942
575.30731,0.999992945224885
575.367575,0.9999929113251248
575.42784,0.9999932152230167
575.488105,0.9999932480227947
575.54837,0.9999937825193286
575.608635,0.9999935684206827
575.6689,0.9999938529188934
575.729165,0.9999937665194282
575.78943,0.9999941230172695
575.849695,0.9999940708175776
575.90996,0.9999944535153819
575.970225,0.9999941053173738
576.03049,0.9999946200144721
576.090755,0.9999948150134421
576.15102,0.9999949786126072
576.211285,0.9999950623121904
576.27155,0.9999953120109887
576.331815,0.9999951331118433
576.39208,0.99999541961049
576.452345,0.9999951733116484
576.51261,0.999995896108421
576.572875,0.9999955594098594
576.63314,0.9999955690098169
576.693405,0.9999956455094808
576.75367,0.9999954804102134
576.813935,0.9999965868058249
576.8742,0.9999961354074676
576.934465,0.9999961886072634
576.99473,0.9999963185067767
577.054995,0.9999962517070249
577.11526,0.9999965584059223
577.175525,0.9999963094068103
577.23579,0.9999963269067458
577.296055,0.9999963484066671
577.35632,0.9999967021054381
577.416585,0.9999967738052041
577.47685,0.9999968150050721
577.537115,0.9999970567043315
577.59738,0.9999968414049883
577.657645,0.9999969892045325
577.71791,0.999996996004512
577.778175,0.9999968490049644
577.83844,0.999996966204602
577.898705,0.9999969312047088
577.95897,0.9999968672049072
578.019235,0.9999973034036358
578.0795,0.9999970164044509
578.139765,0.9999972400038089
578.20003,0.9999971920039424
578.260295,0.9999970834042533
578.32056,0.9999969418046762
578.380825,0.9999970317044053
578.44109,0.999997316003602
578.501355,0.9999973397035385
578.56162,0.9999972777037055
578.621885,0.9999972553037667
578.68215,0.9999973070036261
578.742415,0.9999974074033607
578.80268,0.9999975804029272
578.862945,0.9999976166028403
578.92321,0.9999974484032553
578.983475,0.9999973198035917
579.04374,0.9999972070039004
579.104005,0.9999974410032743
579.16427,0.9999973844034207
579.224535,0.9999974551032382
579.2848,0.9999973077036243
579.345065,0.9999973734034495
579.40533,0.9999974585032296
579.465595,0.9999974094033556
579.52586,0.9999973434035287
579.586125,0.9999974859031604
579.64639,0.999997688702671
579.706655,0.9999973995033813
579.76692,0.999997365203471
579.827185,0.9999975648029651
579.88745,0.9999973923034
579.947715,0.9999974416032728
580.00798,0.9999974343032914
580.068245,0.9999973220035858
580.12851,0.999997461103223
580.188775,0.9999972945036598
580.24904,0.9999975606029753
580.309305,0.9999975422030204
580.36957,0.9999976381027893
580.429835,0.9999973167036
580.4901,0.9999973465035206
580.550365,0.9999974600032258
580.61063,0.9999974649032134
580.670895,0.9999973320035591
580.73116,0.9999975828029214
580.791425,0.9999974269033104
580.85169,0.9999973567034935
580.911955,0.9999973178035971
580.97222,0.999997578002933
581.032485,0.9999971548040476
581.09275,0.9999972220038587
581.153015,0.9999973374035447
581.21328,0.9999974101033537
581.273545,0.999997287803678
581.33381,0.9999977123026168
581.394075,0.9999974888031531
581.45434,0.9999974845031638
581.514605,0.9999972512037779
581.57487,0.9999974192033303
581.635135,0.9999975605029756
581.6954,0.9999974393032786
581.755665,0.9999974495032525
581.81593,0.9999971883039528
581.876195,0.9999974275033089
581.93646,0.9999975656029632
581.996725,0.9999974835031664
582.05699,0.9999975321030453
582.117255,0.9999974626032192
582.17752,0.9999975434030174
582.237785,0.9999974683032048
582.29805,0.9999972716037221
582.358315,0.9999977402025534
582.41858,0.9999976902026676
582.478845,0.9999977179026039
582.53911,0.9999975947028927
582.599375,0.9999973237035813
582.65964,0.9999974739031906
582.719905,0.9999971535040513
582.78017,0.999997810902396
582.840435,0.9999975033031168
582.9007,0.999997597502886
582.960965,0.9999976916026644
583.02123,0.9999978151023869
583.081495,0.9999977038026363
583.14176,0.9999974092033561
583.202025,0.9999974559032362
583.26229,0.9999974818031707
583.322555,0.9999972960036558
583.38282,0.999997583802919
583.443085,0.9999974855031614
583.50335,0.9999974788031782
583.563615,0.9999974735031916
583.62388,0.9999973777034382
583.684145,0.9999974523032454
583.74441,0.9999973367035466
583.804675,0.9999976727027081
583.86494,0.9999975601029766
583.925205,0.9999975083031043
583.98547,0.9999976636027293
584.045735,0.9999974877031558
584.106,0.999997413903344
584.166265,0.999997670202714
584.22653,0.9999975038031155
584.286795,0.9999975471030084
584.34706,0.9999978694022698
584.407325,0.999997455203238
584.46759,0.9999976945026576
584.527855,0.9999977474025371
584.58812,0.999997835302343
584.648385,0.9999976074028623
584.70865,0.9999976623027325
584.768915,0.9999978424023276
584.82918,0.9999974612032227
584.889445,0.9999975388030288
584.94971,0.9999974897031508
585.009975,0.9999975618029724
585.07024,0.9999978637022819
585.130505,0.9999978289023569
585.19077,0.9999975726029461
585.251035,0.9999975844029175
585.3113,0.9999975178030807
585.371565,0.9999975346030391
585.43183,0.9999976196028332
585.492095,0.9999978932022193
585.55236,0.9999975224030693
585.612625,0.9999980952018142
585.67289,0.9999980245019513
585.733155,0.9999979602020804
585.79342,0.9999976237028234
585.853685,0.9999978685022717
585.91395,0.999997669302716
585.974215,0.9999976834026834
586.03448,0.9999979170021694
586.094745,0.9999978038024117
586.15501,0.9999977966024275
586.215275,0.9999978291023564
586.27554,0.9999977785024675
586.335805,0.999997736802561
586.39607,0.9999977884024456
586.456335,0.9999975911029014
586.5166,0.9999976920026634
586.576865,0.9999975316030465
586.63713,0.9999977957024294
586.697395,0.9999979548020914
586.75766,0.9999979564020881
586.817925,0.9999976776026968
586.87819,0.9999976507027596
586.938455,0.9999977088026248
586.99872,0.9999978326023488
587.058985,0.9999976690027168
587.11925,0.9999977294025778
