nu,[0]PFC-318-HITRAN(x-sec)-X=0.01-T=253.0K-P=0.0atm-L=15cm
900.006,1.0
900.021066,1.0
900.036132,1.0
900.051197,1.0
900.066263,1.0
900.081329,1.0
900.096395,1.0
900.11146,1.0
900.126526,1.0
900.141592,1.0
900.156658,1.0
900.171723,1.0
900.186789,1.0
900.201855,1.0
900.216921,1.0
900.231986,1.0
900.247052,1.0
900.262118,1.0
900.277184,1.0
900.292249,1.0
900.307315,1.0
900.322381,1.0
900.337447,1.0
900.352512,1.0
900.367578,1.0
900.382644,1.0
900.39771,1.0
900.412775,1.0
900.427841,1.0
900.442907,1.0
900.457973,1.0
900.473038,1.0
900.488104,1.0
900.50317,1.0
900.518236,1.0
900.533301,1.0
900.548367,1.0
900.563433,1.0
900.578499,1.0
900.593564,1.0
900.60863,1.0
900.623696,1.0
900.638762,1.0
900.653827,1.0
900.668893,1.0
900.683959,1.0
900.699025,1.0
900.71409,1.0
900.729156,1.0
900.744222,1.0
900.759288,1.0
900.774353,1.0
900.789419,1.0
900.804485,1.0
900.819551,1.0
900.834616,1.0
900.849682,1.0
900.864748,1.0
900.879814,1.0
900.894879,1.0
900.909945,1.0
900.925011,1.0
900.940077,1.0
900.955142,1.0
900.970208,1.0
900.985274,1.0
901.00034,1.0
901.015405,1.0
901.030471,1.0
901.045537,1.0
901.060603,1.0
901.075668,1.0
901.090734,1.0
901.1058,1.0
901.120866,1.0
901.135931,1.0
901.150997,1.0
901.166063,1.0
901.181129,1.0
901.196194,1.0
901.21126,1.0
901.226326,1.0
901.241392,1.0
901.256457,1.0
901.271523,1.0
901.286589,1.0
901.301655,1.0
901.31672,1.0
901.331786,1.0
901.346852,1.0
901.361918,1.0
901.376983,1.0
901.392049,1.0
901.407115,1.0
901.422181,1.0
901.437246,1.0
901.452312,1.0
901.467378,1.0
901.482444,1.0
901.497509,1.0
901.512575,1.0
901.527641,1.0
901.542707,1.0
901.557772,1.0
901.572838,1.0
901.587904,1.0
901.60297,1.0
901.618035,1.0
901.633101,1.0
901.648167,1.0
901.663233,1.0
901.678298,1.0
901.693364,1.0
901.70843,1.0
901.723496,1.0
901.738561,1.0
901.753627,1.0
901.768693,1.0
901.783759,1.0
901.798824,1.0
901.81389,1.0
901.828956,1.0
901.844022,1.0
901.859087,1.0
901.874153,1.0
901.889219,1.0
901.904285,1.0
901.91935,1.0
901.934416,1.0
901.949482,1.0
901.964548,1.0
901.979614,1.0
901.994679,1.0
902.009745,1.0
902.024811,1.0
902.039877,1.0
902.054942,1.0
902.070008,1.0
902.085074,1.0
902.10014,1.0
902.115205,1.0
902.130271,1.0
902.145337,1.0
902.160403,1.0
902.175468,1.0
902.190534,1.0
902.2056,1.0
902.220666,1.0
902.235731,1.0
902.250797,1.0
902.265863,1.0
902.280929,1.0
902.295994,1.0
902.31106,1.0
902.326126,1.0
902.341192,1.0
902.356257,1.0
902.371323,1.0
902.386389,1.0
902.401455,1.0
902.41652,1.0
902.431586,1.0
902.446652,1.0
902.461718,1.0
902.476783,1.0
902.491849,1.0
902.506915,1.0
902.521981,1.0
902.537046,1.0
902.552112,1.0
902.567178,1.0
902.582244,1.0
902.597309,1.0
902.612375,1.0
902.627441,1.0
902.642507,1.0
902.657572,1.0
902.672638,1.0
902.687704,1.0
902.70277,1.0
902.717835,1.0
902.732901,1.0
902.747967,1.0
902.763033,1.0
902.778098,1.0
902.793164,1.0
902.80823,1.0
902.823296,1.0
902.838361,1.0
902.853427,1.0
902.868493,1.0
902.883559,1.0
902.898624,1.0
902.91369,1.0
902.928756,1.0
902.943822,1.0
902.958887,1.0
902.973953,1.0
902.989019,1.0
903.004085,1.0
903.01915,1.0
903.034216,1.0
903.049282,1.0
903.064348,1.0
903.079413,1.0
903.094479,1.0
903.109545,1.0
903.124611,1.0
903.139676,1.0
903.154742,1.0
903.169808,1.0
903.184874,1.0
903.199939,1.0
903.215005,1.0
903.230071,1.0
903.245137,1.0
903.260202,1.0
903.275268,1.0
903.290334,1.0
903.3054,1.0
903.320465,1.0
903.335531,1.0
903.350597,1.0
903.365663,1.0
903.380728,1.0
903.395794,1.0
903.41086,1.0
903.425926,1.0
903.440991,1.0
903.456057,1.0
903.471123,1.0
903.486189,1.0
903.501254,1.0
903.51632,1.0
903.531386,1.0
903.546452,1.0
903.561517,1.0
903.576583,1.0
903.591649,1.0
903.606715,1.0
903.62178,1.0
903.636846,1.0
903.651912,1.0
903.666978,1.0
903.682043,1.0
903.697109,1.0
903.712175,1.0
903.727241,1.0
903.742306,1.0
903.757372,1.0
903.772438,1.0
903.787504,1.0
903.802569,1.0
903.817635,1.0
903.832701,1.0
903.847767,1.0
903.862832,1.0
903.877898,1.0
903.892964,1.0
903.90803,1.0
903.923096,1.0
903.938161,1.0
903.953227,1.0
903.968293,1.0
903.983359,1.0
903.998424,1.0
904.01349,1.0
904.028556,1.0
904.043622,1.0
904.058687,1.0
904.073753,1.0
904.088819,1.0
904.103885,1.0
904.11895,1.0
904.134016,1.0
904.149082,1.0
904.164148,1.0
904.179213,1.0
904.194279,1.0
904.209345,1.0
904.224411,1.0
904.239476,1.0
904.254542,1.0
904.269608,1.0
904.284674,1.0
904.299739,1.0
904.314805,1.0
904.329871,1.0
904.344937,1.0
904.360002,1.0
904.375068,1.0
904.390134,1.0
904.4052,1.0
904.420265,1.0
904.435331,1.0
904.450397,1.0
904.465463,1.0
904.480528,1.0
904.495594,1.0
904.51066,1.0
904.525726,1.0
904.540791,1.0
904.555857,1.0
904.570923,1.0
904.585989,1.0
904.601054,1.0
904.61612,1.0
904.631186,1.0
904.646252,1.0
904.661317,1.0
904.676383,1.0
904.691449,1.0
904.706515,1.0
904.72158,1.0
904.736646,1.0
904.751712,1.0
904.766778,1.0
904.781843,1.0
904.796909,1.0
904.811975,1.0
904.827041,1.0
904.842106,1.0
904.857172,1.0
904.872238,1.0
904.887304,1.0
904.902369,1.0
904.917435,1.0
904.932501,1.0
904.947567,1.0
904.962632,1.0
904.977698,1.0
904.992764,1.0
905.00783,1.0
905.022895,1.0
905.037961,1.0
905.053027,1.0
905.068093,1.0
905.083158,1.0
905.098224,1.0
905.11329,1.0
905.128356,1.0
905.143421,1.0
905.158487,1.0
905.173553,1.0
905.188619,1.0
905.203684,1.0
905.21875,1.0
905.233816,1.0
905.248882,1.0
905.263947,1.0
905.279013,1.0
905.294079,1.0
905.309145,1.0
905.32421,1.0
905.339276,1.0
905.354342,1.0
905.369408,1.0
905.384473,1.0
905.399539,1.0
905.414605,1.0
905.429671,1.0
905.444736,1.0
905.459802,1.0
905.474868,1.0
905.489934,1.0
905.504999,1.0
905.520065,1.0
905.535131,1.0
905.550197,1.0
905.565262,1.0
905.580328,1.0
905.595394,1.0
905.61046,1.0
905.625525,1.0
905.640591,1.0
905.655657,1.0
905.670723,1.0
905.685788,1.0
905.700854,1.0
905.71592,1.0
905.730986,1.0
905.746051,1.0
905.761117,1.0
905.776183,1.0
905.791249,1.0
905.806315,1.0
905.82138,1.0
905.836446,1.0
905.851512,1.0
905.866578,1.0
905.881643,1.0
905.896709,1.0
905.911775,1.0
905.926841,1.0
905.941906,1.0
905.956972,1.0
905.972038,1.0
905.987104,1.0
906.002169,1.0
906.017235,1.0
906.032301,1.0
906.047367,1.0
906.062432,1.0
906.077498,1.0
906.092564,1.0
906.10763,1.0
906.122695,1.0
906.137761,1.0
906.152827,1.0
906.167893,1.0
906.182958,1.0
906.198024,1.0
906.21309,1.0
906.228156,1.0
906.243221,1.0
906.258287,1.0
906.273353,1.0
906.288419,1.0
906.303484,1.0
906.31855,1.0
906.333616,1.0
906.348682,1.0
906.363747,1.0
906.378813,1.0
906.393879,1.0
906.408945,1.0
906.42401,1.0
906.439076,1.0
906.454142,1.0
906.469208,1.0
906.484273,1.0
906.499339,1.0
906.514405,1.0
906.529471,1.0
906.544536,1.0
906.559602,1.0
906.574668,1.0
906.589734,1.0
906.604799,1.0
906.619865,1.0
906.634931,1.0
906.649997,1.0
906.665062,1.0
906.680128,1.0
906.695194,1.0
906.71026,1.0
906.725325,1.0
906.740391,1.0
906.755457,1.0
906.770523,1.0
906.785588,1.0
906.800654,1.0
906.81572,1.0
906.830786,1.0
906.845851,1.0
906.860917,1.0
906.875983,1.0
906.891049,1.0
906.906114,1.0
906.92118,1.0
906.936246,1.0
906.951312,1.0
906.966377,1.0
906.981443,1.0
906.996509,1.0
907.011575,1.0
907.02664,1.0
907.041706,1.0
907.056772,1.0
907.071838,1.0
907.086903,1.0
907.101969,1.0
907.117035,1.0
907.132101,1.0
907.147166,1.0
907.162232,1.0
907.177298,1.0
907.192364,1.0
907.207429,1.0
907.222495,1.0
907.237561,1.0
907.252627,1.0
907.267692,1.0
907.282758,1.0
907.297824,1.0
907.31289,1.0
907.327955,1.0
907.343021,1.0
907.358087,1.0
907.373153,1.0
907.388218,1.0
907.403284,1.0
907.41835,1.0
907.433416,1.0
907.448481,1.0
907.463547,1.0
907.478613,1.0
907.493679,1.0
907.508744,1.0
907.52381,1.0
907.538876,1.0
907.553942,1.0
907.569007,1.0
907.584073,1.0
907.599139,1.0
907.614205,1.0
907.62927,1.0
907.644336,1.0
907.659402,1.0
907.674468,1.0
907.689533,1.0
907.704599,1.0
907.719665,1.0
907.734731,1.0
907.749797,1.0
907.764862,1.0
907.779928,1.0
907.794994,1.0
907.81006,1.0
907.825125,1.0
907.840191,1.0
907.855257,1.0
907.870323,1.0
907.885388,1.0
907.900454,1.0
907.91552,1.0
907.930586,1.0
907.945651,1.0
907.960717,1.0
907.975783,1.0
907.990849,1.0
908.005914,1.0
908.02098,1.0
908.036046,1.0
908.051112,1.0
908.066177,1.0
908.081243,1.0
908.096309,1.0
908.111375,1.0
908.12644,1.0
908.141506,1.0
908.156572,1.0
908.171638,1.0
908.186703,1.0
908.201769,1.0
908.216835,1.0
908.231901,1.0
908.246966,1.0
908.262032,1.0
908.277098,1.0
908.292164,1.0
908.307229,1.0
908.322295,1.0
908.337361,1.0
908.352427,1.0
908.367492,1.0
908.382558,1.0
908.397624,1.0
908.41269,1.0
908.427755,1.0
908.442821,1.0
908.457887,1.0
908.472953,1.0
908.488018,1.0
908.503084,1.0
908.51815,1.0
908.533216,1.0
908.548281,1.0
908.563347,1.0
908.578413,1.0
908.593479,1.0
908.608544,1.0
908.62361,1.0
908.638676,1.0
908.653742,1.0
908.668807,1.0
908.683873,1.0
908.698939,1.0
908.714005,1.0
908.72907,1.0
908.744136,1.0
908.759202,1.0
908.774268,1.0
908.789333,1.0
908.804399,1.0
908.819465,1.0
908.834531,1.0
908.849596,1.0
908.864662,1.0
908.879728,1.0
908.894794,1.0
908.909859,1.0
908.924925,1.0
908.939991,1.0
908.955057,1.0
908.970122,1.0
908.985188,1.0
909.000254,1.0
909.01532,1.0
909.030385,1.0
909.045451,1.0
909.060517,1.0
909.075583,1.0
909.090648,1.0
909.105714,1.0
909.12078,1.0
909.135846,1.0
909.150911,1.0
909.165977,1.0
909.181043,1.0
909.196109,1.0
909.211174,1.0
909.22624,1.0
909.241306,1.0
909.256372,1.0
909.271437,1.0
909.286503,1.0
909.301569,1.0
909.316635,1.0
909.3317,1.0
909.346766,1.0
909.361832,1.0
909.376898,1.0
909.391963,1.0
909.407029,1.0
909.422095,1.0
909.437161,1.0
909.452226,1.0
909.467292,1.0
909.482358,1.0
909.497424,1.0
909.512489,1.0
909.527555,1.0
909.542621,1.0
909.557687,1.0
909.572752,1.0
909.587818,1.0
909.602884,1.0
909.61795,1.0
909.633015,1.0
909.648081,1.0
909.663147,1.0
909.678213,1.0
909.693279,1.0
909.708344,1.0
909.72341,1.0
909.738476,1.0
909.753542,1.0
909.768607,1.0
909.783673,1.0
909.798739,1.0
909.813805,1.0
909.82887,1.0
909.843936,1.0
909.859002,1.0
909.874068,1.0
909.889133,1.0
909.904199,1.0
909.919265,1.0
909.934331,1.0
909.949396,1.0
909.964462,1.0
909.979528,1.0
909.994594,1.0
910.009659,1.0
910.024725,1.0
910.039791,1.0
910.054857,1.0
910.069922,1.0
910.084988,1.0
910.100054,1.0
910.11512,1.0
910.130185,1.0
910.145251,1.0
910.160317,1.0
910.175383,1.0
910.190448,1.0
910.205514,1.0
910.22058,1.0
910.235646,1.0
910.250711,1.0
910.265777,1.0
910.280843,1.0
910.295909,1.0
910.310974,1.0
910.32604,1.0
910.341106,1.0
910.356172,1.0
910.371237,1.0
910.386303,1.0
910.401369,1.0
910.416435,1.0
910.4315,1.0
910.446566,1.0
910.461632,1.0
910.476698,1.0
910.491763,1.0
910.506829,1.0
910.521895,1.0
910.536961,1.0
910.552026,1.0
910.567092,1.0
910.582158,1.0
910.597224,1.0
910.612289,1.0
910.627355,1.0
910.642421,1.0
910.657487,1.0
910.672552,1.0
910.687618,1.0
910.702684,1.0
910.71775,1.0
910.732815,1.0
910.747881,1.0
910.762947,1.0
910.778013,1.0
910.793078,1.0
910.808144,1.0
910.82321,1.0
910.838276,1.0
910.853341,1.0
910.868407,1.0
910.883473,1.0
910.898539,1.0
910.913604,1.0
910.92867,1.0
910.943736,1.0
910.958802,1.0
910.973867,1.0
910.988933,1.0
911.003999,1.0
911.019065,1.0
911.03413,1.0
911.049196,1.0
911.064262,1.0
911.079328,1.0
911.094393,1.0
911.109459,1.0
911.124525,1.0
911.139591,1.0
911.154656,1.0
911.169722,1.0
911.184788,1.0
911.199854,1.0
911.214919,1.0
911.229985,1.0
911.245051,1.0
911.260117,1.0
911.275182,1.0
911.290248,1.0
911.305314,1.0
911.32038,1.0
911.335445,1.0
911.350511,1.0
911.365577,1.0
911.380643,1.0
911.395708,1.0
911.410774,1.0
911.42584,1.0
911.440906,1.0
911.455971,1.0
911.471037,1.0
911.486103,1.0
911.501169,1.0
911.516234,1.0
911.5313,1.0
911.546366,1.0
911.561432,1.0
911.576497,1.0
911.591563,1.0
911.606629,1.0
911.621695,1.0
911.636761,1.0
911.651826,1.0
911.666892,1.0
911.681958,1.0
911.697024,1.0
911.712089,1.0
911.727155,1.0
911.742221,1.0
911.757287,1.0
911.772352,1.0
911.787418,1.0
911.802484,1.0
911.81755,1.0
911.832615,1.0
911.847681,1.0
911.862747,1.0
911.877813,1.0
911.892878,1.0
911.907944,1.0
911.92301,1.0
911.938076,1.0
911.953141,1.0
911.968207,1.0
911.983273,1.0
911.998339,1.0
912.013404,1.0
912.02847,1.0
912.043536,1.0
912.058602,1.0
912.073667,1.0
912.088733,1.0
912.103799,1.0
912.118865,1.0
912.13393,1.0
912.148996,1.0
912.164062,1.0
912.179128,1.0
912.194193,1.0
912.209259,1.0
912.224325,1.0
912.239391,1.0
912.254456,1.0
912.269522,1.0
912.284588,1.0
912.299654,1.0
912.314719,1.0
912.329785,1.0
912.344851,1.0
912.359917,1.0
912.374982,1.0
912.390048,1.0
912.405114,1.0
912.42018,1.0
912.435245,1.0
912.450311,1.0
912.465377,1.0
912.480443,1.0
912.495508,1.0
912.510574,1.0
912.52564,1.0
912.540706,1.0
912.555771,1.0
912.570837,1.0
912.585903,1.0
912.600969,1.0
912.616034,1.0
912.6311,1.0
912.646166,1.0
912.661232,1.0
912.676297,1.0
912.691363,1.0
912.706429,1.0
912.721495,1.0
912.73656,1.0
912.751626,1.0
912.766692,1.0
912.781758,1.0
912.796823,1.0
912.811889,1.0
912.826955,1.0
912.842021,1.0
912.857086,1.0
912.872152,1.0
912.887218,1.0
912.902284,1.0
912.917349,1.0
912.932415,1.0
912.947481,1.0
912.962547,1.0
912.977612,1.0
912.992678,1.0
913.007744,1.0
913.02281,1.0
913.037875,1.0
913.052941,1.0
913.068007,1.0
913.083073,1.0
913.098138,1.0
913.113204,1.0
913.12827,1.0
913.143336,1.0
913.158401,1.0
913.173467,1.0
913.188533,1.0
913.203599,1.0
913.218664,1.0
913.23373,1.0
913.248796,1.0
913.263862,1.0
913.278927,1.0
913.293993,1.0
913.309059,1.0
913.324125,1.0
913.33919,1.0
913.354256,1.0
913.369322,1.0
913.384388,1.0
913.399453,1.0
913.414519,1.0
913.429585,1.0
913.444651,1.0
913.459716,1.0
913.474782,1.0
913.489848,1.0
913.504914,1.0
913.519979,1.0
913.535045,1.0
913.550111,1.0
913.565177,1.0
913.580243,1.0
913.595308,1.0
913.610374,1.0
913.62544,1.0
913.640506,1.0
913.655571,1.0
913.670637,1.0
913.685703,1.0
913.700769,1.0
913.715834,1.0
913.7309,1.0
913.745966,1.0
913.761032,1.0
913.776097,1.0
913.791163,1.0
913.806229,1.0
913.821295,1.0
913.83636,1.0
913.851426,1.0
913.866492,1.0
913.881558,1.0
913.896623,1.0
913.911689,1.0
913.926755,1.0
913.941821,1.0
913.956886,1.0
913.971952,1.0
913.987018,1.0
914.002084,1.0
914.017149,1.0
914.032215,1.0
914.047281,1.0
914.062347,1.0
914.077412,1.0
914.092478,1.0
914.107544,1.0
914.12261,1.0
914.137675,1.0
914.152741,1.0
914.167807,1.0
914.182873,1.0
914.197938,1.0
914.213004,1.0
914.22807,1.0
914.243136,1.0
914.258201,1.0
914.273267,1.0
914.288333,1.0
914.303399,1.0
914.318464,1.0
914.33353,1.0
914.348596,1.0
914.363662,1.0
914.378727,1.0
914.393793,1.0
914.408859,1.0
914.423925,1.0
914.43899,1.0
914.454056,1.0
914.469122,1.0
914.484188,1.0
914.499253,1.0
914.514319,1.0
914.529385,1.0
914.544451,1.0
914.559516,1.0
914.574582,1.0
914.589648,1.0
914.604714,1.0
914.619779,1.0
914.634845,1.0
914.649911,1.0
914.664977,1.0
914.680042,1.0
914.695108,1.0
914.710174,1.0
914.72524,1.0
914.740305,1.0
914.755371,1.0
914.770437,1.0
914.785503,1.0
914.800568,1.0
914.815634,1.0
914.8307,1.0
914.845766,1.0
914.860831,1.0
914.875897,1.0
914.890963,1.0
914.906029,1.0
914.921094,1.0
914.93616,1.0
914.951226,1.0
914.966292,1.0
914.981357,1.0
914.996423,1.0
915.011489,1.0
915.026555,1.0
915.04162,1.0
915.056686,1.0
915.071752,1.0
915.086818,1.0
915.101883,1.0
915.116949,1.0
915.132015,1.0
915.147081,1.0
915.162146,1.0
915.177212,1.0
915.192278,1.0
915.207344,1.0
915.222409,1.0
915.237475,1.0
915.252541,1.0
915.267607,1.0
915.282672,1.0
915.297738,1.0
915.312804,1.0
915.32787,1.0
915.342935,1.0
915.358001,1.0
915.373067,1.0
915.388133,1.0
915.403198,1.0
915.418264,1.0
915.43333,1.0
915.448396,1.0
915.463462,1.0
915.478527,1.0
915.493593,1.0
915.508659,1.0
915.523725,1.0
915.53879,1.0
915.553856,1.0
915.568922,1.0
915.583988,1.0
915.599053,1.0
915.614119,1.0
915.629185,1.0
915.644251,1.0
915.659316,1.0
915.674382,1.0
915.689448,1.0
915.704514,1.0
915.719579,1.0
915.734645,1.0
915.749711,1.0
915.764777,1.0
915.779842,1.0
915.794908,1.0
915.809974,1.0
915.82504,1.0
