nu,[0]HFE-356mmz1-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
449.8149,1.0
450.297017,1.0
450.779133,1.0
451.26125,1.0
451.743367,1.0
452.225483,1.0
452.7076,1.0
453.189717,1.0
453.671833,1.0
454.15395,1.0
454.636067,1.0
455.118184,1.0
455.6003,1.0
456.082417,1.0
456.564534,1.0
457.04665,1.0
457.528767,1.0
458.010884,1.0
458.493,1.0
458.975117,1.0
459.457234,1.0
459.93935,1.0
460.421467,1.0
460.903584,1.0
461.3857,1.0
461.867817,1.0
462.349934,1.0
462.832051,1.0
463.314167,1.0
463.796284,1.0
464.278401,1.0
464.760517,1.0
465.242634,1.0
465.724751,1.0
466.206867,1.0
466.688984,1.0
467.171101,1.0
467.653217,1.0
468.135334,1.0
468.617451,1.0
469.099567,1.0
469.581684,1.0
470.063801,1.0
470.545918,1.0
471.028034,1.0
471.510151,1.0
471.992268,1.0
472.474384,1.0
472.956501,1.0
473.438618,1.0
473.920734,1.0
474.402851,1.0
474.884968,1.0
475.367084,0.9999989234005795
475.849201,0.9999995260901123
476.331318,0.9999993340902217
476.813434,0.9999988432006691
477.295551,0.9999993948501831
477.777668,0.999999910078004
478.259785,0.9999998760500077
478.741901,0.9999994750501378
479.224018,0.9999989501005512
479.706135,0.9999987144008264
480.188251,0.9999993438102153
480.670368,0.9999995285201111
481.152485,0.9999991907003275
481.634601,0.9999996014300794
482.116718,0.999999910078004
482.598835,0.9999993681101996
483.080951,0.9999990691804332
483.563068,0.9999992393102893
484.045185,0.9999994677601416
484.527301,0.9999993413802168
485.009418,0.9999989307005717
485.491535,0.9999986414009229
485.973652,0.9999988699006386
486.455768,0.9999994070001759
486.937885,0.9999995479601022
487.420002,0.9999993073602399
487.902118,0.9999992198603043
488.384235,0.9999994021401787
488.866352,0.9999999902787
489.348468,0.9999992806202588
489.830585,0.9999995017801241
490.312702,0.9999995358101077
490.794818,0.9999991226503848
491.276935,0.9999994215801673
491.759052,0.9999995479601022
492.241168,0.9999992636102711
492.723285,0.9999990084304916
493.205402,0.9999988310006833
493.687519,0.9999987678007591
494.169635,0.9999991032104021
494.651752,0.9999998468900118
495.133869,0.9999995819800873
495.615985,0.9999998517500109
496.098102,0.999999504210123
496.580219,0.9999994434601549
497.062335,0.9999997010700447
497.544452,0.9999995746900905
498.026569,0.9999993656802012
498.508685,0.9999996573200587
498.990802,0.9999998687600086
499.472919,0.9999999125080038
499.955035,0.9999995965700814
500.437152,0.9999990473104539
500.919269,0.9999984616011833
501.401386,0.9999982575015182
501.883502,0.9999988432006691
502.365619,0.9999995990000804
502.847736,0.9999999951393
503.329852,0.9999998687600086
503.811969,0.9999990983504065
504.294086,0.9999984300012325
504.776202,0.9999988237006918
505.258319,0.9999999270900026
505.740436,0.9999997156500404
506.222552,0.9999992952102483
506.704669,0.9999980533018948
507.186786,0.9999975065031088
507.668902,0.999997700902643
508.151019,0.9999983790013138
508.633136,0.9999986585008999
509.115253,0.9999982818014761
509.597369,0.9999980752018525
510.079486,0.9999982866014678
510.561603,0.9999985977009832
511.043719,0.9999988262006889
511.525836,0.9999987532007772
512.007953,0.9999985005011243
512.490069,0.9999983498013616
512.972186,0.999998284201472
513.454303,0.9999980266019471
513.936419,0.9999972853036848
514.418536,0.999996480906192
514.900653,0.9999963569066361
515.382769,0.9999967239053664
515.864886,0.9999969985045045
516.347003,0.999996925604726
516.82912,0.9999965198060559
517.311236,0.9999961552073913
517.793353,0.9999961577073816
518.27547,0.9999964104064426
518.757586,0.9999963983064861
519.239703,0.9999960216079138
519.72182,0.999995647309473
520.203936,0.9999952852111147
520.686053,0.9999948258133862
521.16817,0.999994274116393
521.650286,0.9999935280209433
522.132403,0.9999930371242409
522.61452,0.9999928694254226
523.096636,0.999992038231695
523.578753,0.9999912605381893
524.06087,0.9999920966312318
524.542987,0.9999929277250087
525.025103,0.9999921962304495
525.50722,0.9999912192385512
525.989337,0.9999908547418181
526.471453,0.9999905436447116
526.95357,0.9999901207488001
527.435687,0.9999897660523672
527.917803,0.9999894110560633
528.39992,0.9999889690608412
528.882037,0.9999883270681292
529.364153,0.9999875910769913
529.84627,0.9999869810847468
530.328387,0.9999864360919907
530.810503,0.9999859770983218
531.29262,0.9999857391016875
531.774737,0.9999853601071643
532.256853,0.9999845991185948
532.73897,0.9999840981264362
533.221087,0.9999842511240149
533.703204,0.9999847281166164
534.18532,0.9999853401074573
534.667437,0.9999859820982517
535.149554,0.9999861840954405
535.63167,0.999985622103363
536.113787,0.9999847861157323
536.595904,0.999984485120357
537.07802,0.9999850661115116
537.560137,0.9999864730914895
538.042254,0.9999878850733863
538.52437,0.9999883390679892
539.006487,0.9999882130694664
539.488604,0.999988478066378
539.97072,0.9999890050604447
540.452837,0.9999889910605988
540.934954,0.999988587065128
541.417071,0.9999884220670248
541.899187,0.9999883440679309
542.381304,0.9999884460667472
542.863421,0.9999890420600387
543.345537,0.9999895840542463
543.827654,0.9999900867491366
544.309771,0.9999909009413966
544.791887,0.9999916810346028
545.274004,0.9999923639291549
545.756121,0.999993170823319
546.238237,0.9999939339183987
546.720354,0.9999946022145682
547.202471,0.9999950883120624
547.684587,0.999995205011496
548.166704,0.9999951831116013
548.648821,0.9999951248118838
549.130938,0.9999948428132983
549.613054,0.9999945318149506
550.095171,0.999994337316033
550.577288,0.9999944078156363
551.059404,0.9999949765126177
551.541521,0.9999955987096857
552.023638,0.9999958417086457
552.505754,0.9999958271087065
552.987871,0.9999958150087571
553.469988,0.9999958976084148
553.952104,0.9999960434078273
554.434221,0.9999962233071317
554.916338,0.9999965975057885
555.398454,0.9999971662040152
555.880571,0.9999974652032126
556.362688,0.999997436003287
556.844805,0.9999974190033307
557.326921,0.9999976207028305
557.809038,0.9999978492023129
558.291155,0.9999978443023235
558.773271,0.9999977787024671
559.255388,0.9999978953022148
559.737505,0.9999980776018478
560.219621,0.9999982672015013
560.701738,0.9999984324012287
561.183855,0.9999986123009629
561.665971,0.9999989452005563
562.148088,0.9999990959204087
562.630205,0.9999986439009195
563.112321,0.999998111601783
563.594438,0.9999982769014846
564.076555,0.9999988942006114
564.558672,0.999999234450293
565.040788,0.999998979300521
565.522905,0.9999984908011389
566.005022,0.9999984203012477
566.487138,0.9999987824007412
566.969255,0.9999991177903892
567.451372,0.9999992733302641
567.933488,0.9999993486702121
568.415605,0.9999994483201522
568.897722,0.9999996476000621
569.379838,0.9999999513930011
569.861955,0.9999999513930011
570.344072,0.9999995139301181
570.826188,0.9999988116007061
571.308305,0.9999987338008016
571.790422,0.9999991129303935
572.272539,0.999999234450293
572.754655,0.9999990351604655
573.236772,0.9999989307005717
573.718889,0.9999989307005717
574.201005,0.9999989817005185
574.683122,0.9999991323703764
575.165239,0.9999991056404
575.647355,0.9999988334006805
576.129472,0.9999985321010774
576.611589,0.9999983620013415
577.093705,0.9999983644013376
577.575822,0.9999984203012477
578.057939,0.9999986171009562
578.540055,0.999998937900564
579.022172,0.9999991445203659
579.504289,0.9999991858403314
579.986406,0.9999990570304446
580.468522,0.9999986293009394
580.950639,0.999998072801857
581.432756,0.9999977495025324
581.914872,0.9999976134028479
582.396989,0.9999975502030007
582.879106,0.9999975867029121
583.361222,0.9999976523027558
583.843339,0.9999977033026374
584.325456,0.999997756802516
584.807572,0.999997700902643
585.289689,0.9999974870031576
585.771806,0.9999972975036517
586.253922,0.9999972513037777
586.736039,0.9999972950036585
587.218156,0.9999973825034256
587.700273,0.9999974579032311
588.182389,0.9999973680034637
588.664506,0.9999970642043094
589.146623,0.9999968649049145
589.628739,0.9999970885042384
590.110856,0.9999975381030305
590.592973,0.999997773802478
591.075089,0.9999975551029887
591.557206,0.9999971468040704
592.039323,0.9999969208047408
592.521439,0.9999968819048612
