nu,[0]CFC-113a-HITRAN(x-sec)-X=0.01-T=295.0K-P=0.0036atm-L=15cm
690,1.0
690.119202,1.0
690.238404,1.0
690.357606,1.0
690.476808,1.0
690.59601,1.0
690.715212,1.0
690.834414,1.0
690.953616,1.0
691.072818,1.0
691.19202,1.0
691.311222,1.0
691.430424,1.0
691.549626,1.0
691.668828,1.0
691.78803,1.0
691.907232,1.0
692.026434,1.0
692.145636,1.0
692.264838,1.0
692.38404,1.0
692.503242,1.0
692.622444,1.0
692.741646,1.0
692.860848,1.0
692.98005,1.0
693.099252,1.0
693.218454,1.0
693.337656,1.0
693.456858,1.0
693.57606,1.0
693.695262,1.0
693.814464,1.0
693.933666,1.0
694.052868,1.0
694.17207,1.0
694.291272,1.0
694.410474,1.0
694.529676,1.0
694.648878,1.0
694.76808,1.0
694.887282,1.0
695.006484,1.0
695.125686,1.0
695.244888,1.0
695.36409,1.0
695.483292,1.0
695.602494,1.0
695.721696,1.0
695.840898,1.0
695.9601,1.0
696.079302,1.0
696.198504,1.0
696.317706,1.0
696.436908,1.0
696.55611,1.0
696.675312,1.0
696.794514,1.0
696.913716,1.0
697.032918,1.0
697.15212,1.0
697.271322,1.0
697.390524,1.0
697.509726,1.0
697.628928,1.0
697.74813,1.0
697.867332,1.0
697.986534,1.0
698.105736,1.0
698.224938,1.0
698.34414,1.0
698.463342,1.0
698.582544,1.0
698.701746,1.0
698.820948,1.0
698.94015,1.0
699.059352,1.0
699.178554,1.0
699.297756,1.0
699.416958,1.0
699.53616,1.0
699.655362,1.0
699.774564,1.0
699.893766,1.0
700.012968,1.0
700.13217,1.0
700.251372,1.0
700.370574,1.0
700.489776,1.0
700.608978,1.0
700.72818,1.0
700.847382,1.0
700.966584,1.0
701.085786,1.0
701.204988,1.0
701.32419,1.0
701.443392,1.0
701.562594,1.0
701.681796,1.0
701.800998,1.0
701.9202,1.0
702.039402,1.0
702.158604,1.0
702.277806,1.0
702.397008,1.0
702.51621,1.0
702.635412,1.0
702.754614,1.0
702.873816,1.0
702.993018,1.0
703.11222,0.999192176465261
703.231422,0.9993842796336296
703.350624,0.9989609401968675
703.469826,0.999086487506822
703.589028,0.9992515502283636
703.70823,0.9990907735970471
703.827432,0.999019201297777
703.946634,0.9991062895972426
704.065836,0.9988927134946205
704.185038,0.9990030972380511
704.30424,0.998591992174454
704.423442,0.9989313713906582
704.542644,0.9984041746855146
704.661846,0.9989734272866642
704.781048,0.9985046191977622
704.90025,0.9983029416348039
705.019452,0.9987181223080159
705.138654,0.9983781166766138
705.257856,0.9980690666551026
705.377058,0.9983667352309581
705.49626,0.9984766614598348
705.615462,0.9979975076684439
705.734664,0.9981093894599107
705.853866,0.9979631771446684
705.973068,0.9977159125067259
706.09227,0.9979479084248641
706.211472,0.9978527087354978
706.330674,0.9975956949825201
706.449876,0.9977372638557122
706.569078,0.997713019134775
706.68828,0.997733073368004
706.807482,0.9973858229276102
706.926684,0.9974049729192498
707.045886,0.9971231460979082
707.165088,0.9974120545196972
707.28429,0.9974060700653233
707.403492,0.9974356934655096
707.522694,0.9973058357921384
707.641896,0.9971857673977714
707.761098,0.9971098844482553
707.8803,0.9970059910112379
707.999502,0.9971490716367373
708.118704,0.9966876978165208
708.237906,0.9969113796320719
708.357108,0.9969311186728044
708.47631,0.9967852783186246
708.595512,0.9967305563089779
708.714714,0.9968817718037752
708.833916,0.9967499927443305
708.953118,0.996922943871148
709.07232,0.9967255726686554
709.191522,0.9973761483320497
709.310724,0.996793551670769
709.429926,0.9970403883112777
709.549128,0.9970311158787833
709.66833,0.9968691114856665
709.787532,0.9970049940057454
709.906734,0.996784879604593
710.025936,0.9972962617020705
710.145138,0.997458235766909
710.26434,0.997458235766909
710.383542,0.9974531487428785
710.502744,0.9974258189010236
710.621946,0.9978030169079395
710.741148,0.9972202706222257
710.86035,0.9978831437072452
710.979552,0.9979603828516844
711.098754,0.9976166447120861
711.217956,0.9980995082258672
711.337158,0.997841532847745
711.45636,0.9979013053457311
711.575562,0.9979785458959355
711.694764,0.9975866169030011
711.813966,0.9975378361101347
711.933168,0.997926851946143
712.05237,0.9972023208189033
712.171572,0.9972840947618963
712.290774,0.9971323196730507
712.409976,0.997007187419145
712.529178,0.9963639265829851
712.64838,0.9960972356580119
712.767582,0.9957716646891495
712.886784,0.9951743808933932
713.005986,0.9940890388792598
713.125188,0.9931089529091772
713.24439,0.9920961013783628
713.363592,0.990948216303279
713.482794,0.9903145094420597
713.601996,0.9891532548113788
713.721198,0.9869696399014705
713.8404,0.9884235290112683
713.959602,0.9884719629508117
714.078804,0.990926118404448
714.198006,0.9916232818723187
714.317208,0.993084522729428
714.43641,0.9944667650496732
714.555612,0.995495575488068
714.674814,0.9958608898275321
714.794016,0.9959633691855678
714.913218,0.9963199879026778
715.03242,0.9966458378122787
715.151622,0.997329970885398
715.270824,0.9977428512000343
715.390026,0.9977031418247784
715.509228,0.9975548941529779
715.62843,0.9979382283771007
715.747632,0.9976091626153087
715.866834,0.9977871519660972
715.986036,0.9974499568979095
716.105238,0.9975427240575071
716.22444,0.9978670779179614
716.343642,0.9980208610833572
716.462844,0.9974586347502831
716.582046,0.9973626838449327
716.701248,0.9976875777771658
716.82045,0.9971859668349449
716.939652,0.9972558720213681
717.058854,0.9968710055387776
717.178056,0.9974944441580457
717.297258,0.9970133688828694
717.41646,0.9971265363223684
717.535662,0.996850868947846
717.654864,0.996684309084109
717.774066,0.9965997938381957
717.893268,0.9963287555571491
718.01247,0.9966165368553732
718.131672,0.9966055741337628
718.250874,0.9960788080296082
718.370076,0.9959800019127162
718.489278,0.9962911946710917
718.60848,0.996485291100192
718.727682,0.9959807986970364
718.846884,0.996519969391721
718.966086,0.996208505933564
719.085288,0.9965343193826
719.20449,0.9959936469322105
719.323692,0.9962414809808445
719.442894,0.9958281265432157
719.562096,0.9961880838685193
719.681298,0.9961120776173955
719.8005,0.9960976340969858
719.919702,0.9961221384001863
720.038904,0.996265590316406
720.158106,0.9962839217719167
720.277308,0.9964801093901507
720.39651,0.9962380937655674
720.515712,0.9967532820247339
720.634914,0.9964708421682261
720.754116,0.9967957446189949
720.873318,0.996856650699653
720.99252,0.9966351737588669
721.111722,0.9968866565364246
721.230924,0.996600192478193
721.350126,0.9967237785642393
721.469328,0.9969595316145691
721.58853,0.9969451755006781
721.707732,0.9973572981009814
721.826934,0.9972396168831339
721.946136,0.9973015473862645
722.065338,0.9972436058495794
722.18454,0.9973285746244162
722.303742,0.997557687310592
722.422944,0.9975849210071939
722.542146,0.997362783581206
722.661348,0.9979170723109142
722.78055,0.9981370374729219
722.899752,0.998140031888526
723.018954,0.9979509022730801
723.138156,0.997906594236665
723.257358,0.9985812074391762
723.37656,0.9983876013137742
723.495762,0.9987223169329383
723.614964,0.99849433465315
723.734166,0.9986646923177375
723.853368,0.9987685588467043
723.97257,0.9986906579372893
724.091772,0.9987429906988716
724.210974,0.9988882184875235
724.330176,0.9990453759437374
724.449378,0.9989701306797936
724.56858,0.998841671381098
724.687782,0.99912210557499
724.806984,0.9990840996929704
724.926186,0.999335420930559
725.045388,1.0
725.16459,1.0
725.283792,1.0
725.402994,1.0
725.522196,1.0
