nu,[0]FluoroetherE-1-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
449.8149,1.0
450.297017,1.0
450.779133,1.0
451.26125,1.0
451.743367,1.0
452.225483,1.0
452.7076,1.0
453.189717,1.0
453.671833,1.0
454.15395,1.0
454.636067,1.0
455.118183,1.0
455.6003,1.0
456.082417,1.0
456.564533,1.0
457.04665,1.0
457.528767,1.0
458.010883,1.0
458.493,1.0
458.975117,1.0
459.457233,1.0
459.93935,1.0
460.421467,1.0
460.903584,1.0
461.3857,1.0
461.867817,1.0
462.349934,1.0
462.83205,1.0
463.314167,1.0
463.796284,1.0
464.2784,1.0
464.760517,1.0
465.242634,1.0
465.72475,1.0
466.206867,1.0
466.688984,1.0
467.1711,1.0
467.653217,1.0
468.135334,1.0
468.61745,1.0
469.099567,1.0
469.581684,1.0
470.0638,1.0
470.545917,1.0
471.028034,1.0
471.51015,1.0
471.992267,1.0
472.474384,1.0
472.9565,1.0
473.438617,1.0
473.920734,1.0
474.40285,1.0
474.884967,1.0
475.367084,1.0
475.8492,1.0
476.331317,1.0
476.813434,1.0
477.29555,1.0
477.777667,1.0
478.259784,1.0
478.7419,1.0
479.224017,1.0
479.706134,1.0
480.188251,1.0
480.670367,1.0
481.152484,1.0
481.634601,1.0
482.116717,1.0
482.598834,1.0
483.080951,1.0
483.563067,1.0
484.045184,1.0
484.527301,1.0
485.009417,1.0
485.491534,1.0
485.973651,1.0
486.455767,1.0
486.937884,1.0
487.420001,1.0
487.902117,1.0
488.384234,1.0
488.866351,1.0
489.348467,1.0
489.830584,1.0
490.312701,1.0
490.794817,1.0
491.276934,1.0
491.759051,1.0
492.241167,1.0
492.723284,1.0
493.205401,1.0
493.687517,1.0
494.169634,1.0
494.651751,1.0
495.133867,1.0
495.615984,1.0
496.098101,1.0
496.580217,1.0
497.062334,1.0
497.544451,1.0
498.026567,1.0
498.508684,1.0
498.990801,1.0
499.472917,1.0
499.955034,1.0
500.437151,0.9999960459078174
500.919268,0.9999944346154868
501.401384,0.9999943592159093
501.883501,0.9999958782084946
502.365618,0.9999972173038717
502.847734,0.9999977252025873
503.329851,0.9999980266019471
503.811968,0.9999980582018853
504.294084,0.9999977860024509
504.776201,0.9999983109014265
505.258318,0.9999987338008016
505.740434,0.999998906400598
506.222551,0.9999990983504065
506.704668,0.9999968916048311
507.186784,0.9999974093033559
507.668901,0.9999999149390036
508.151018,0.9999975964028887
508.633134,0.999997474903188
509.115251,0.9999988845006221
509.597368,0.9999996986400455
510.079484,0.9999987775007473
510.561601,0.9999988675006413
511.043718,0.9999999076480043
511.525834,0.9999988699006386
512.007951,0.999998386301302
512.490068,0.9999993656802012
512.972184,0.9999993097902382
513.454301,0.9999991518203597
513.936418,0.9999997472500319
514.418534,0.999999985418
514.900651,0.9999999295210025
515.382768,0.9999990084304916
515.864884,0.9999969208047408
516.347001,0.9999959681081281
516.829118,0.9999969135047633
517.311234,0.9999991566803555
517.793351,0.9999988675006413
518.275468,0.999999300070245
518.757584,0.9999986342009327
519.239701,0.9999977228025928
519.721818,0.9999983717013257
520.203935,0.9999992927702501
520.686051,0.9999999319510023
521.168168,0.9999994531801495
521.650285,0.999998959800541
522.132401,0.9999997715500261
522.614518,0.9999980169019663
523.096635,0.9999970131044608
523.578751,0.9999983595013456
524.060868,0.9999990740504286
524.542985,0.9999975211030725
525.025101,0.9999966559055915
525.507218,0.999997914802174
525.989335,0.9999998323100141
526.471451,0.9999987508007803
526.953568,0.9999991469603638
527.435685,0.9999991639703495
527.917801,0.9999980217019568
528.399918,0.999997669302716
528.882035,0.9999977690024887
529.364151,0.9999975065031088
529.846268,0.9999965951057966
530.328385,0.9999960702077216
530.810501,0.9999958441086357
531.292618,0.9999946703142029
531.774735,0.9999926288271672
532.256851,0.9999916178351306
532.738968,0.9999920188318497
533.221085,0.9999924976281429
533.703201,0.9999928670254398
534.185318,0.9999919653322781
534.667435,0.9999894450557039
535.149551,0.99998829106855
535.631668,0.9999883710676165
536.113785,0.9999868350866582
536.595901,0.999985321107736
537.078018,0.9999860860967993
537.560135,0.9999865480904777
538.042251,0.9999852891082063
538.524368,0.9999841641253888
539.006485,0.9999833721382444
539.488601,0.9999827621485735
539.970718,0.9999835031360748
540.452835,0.9999854761054727
540.934952,0.9999868540864083
541.417068,0.9999862420946408
541.899185,0.9999849271135971
542.381302,0.9999851651100381
542.863418,0.9999871340827666
543.345535,0.9999894380557778
543.827652,0.9999905485446653
544.309768,0.9999899020509846
544.791885,0.9999882520690074
545.274002,0.9999870710835792
545.756118,0.9999874840783248
546.238235,0.9999888380622949
546.720352,0.9999893580566259
547.202468,0.9999889060615382
547.684585,0.9999886970638787
548.166702,0.9999883810675003
548.648818,0.9999873160804416
549.130935,0.9999863900926156
549.613052,0.9999868300867241
550.095168,0.9999887480633035
550.577285,0.9999900624493778
551.059402,0.9999893890562964
551.541518,0.9999885260658261
552.023635,0.9999888930616825
552.505752,0.9999899140508636
552.987868,0.9999906238439564
553.469985,0.9999899940500598
553.952102,0.9999888230624624
554.434218,0.9999888330623508
554.916335,0.9999893820563708
555.398452,0.9999895980541006
555.880568,0.9999898610513995
556.362685,0.9999899000510049
556.844802,0.9999891750585901
557.326918,0.9999882400691485
557.809035,0.9999877200753989
558.291152,0.9999872290815489
558.773268,0.9999866060896992
559.255385,0.9999866210894984
559.737502,0.9999877830746272
560.219619,0.9999893310569136
560.701735,0.9999897780522444
561.183852,0.9999890050604447
561.665969,0.9999886600642975
562.148085,0.9999900381496195
562.630202,0.9999916737346636
563.112319,0.9999916154351507
563.594435,0.9999914550365084
564.076552,0.9999925243279429
564.558669,0.9999933603220428
565.040785,0.9999934697213224
565.522902,0.9999935499208018
566.005019,0.9999943155161567
566.487135,0.9999959827080693
566.969252,0.9999975478030066
567.451369,0.9999983304013937
567.933485,0.9999986633008934
568.415602,0.9999985491010526
568.897719,0.9999977447025432
569.379835,0.9999971128041679
569.861952,0.9999978346023445
570.344069,0.9999992052803158
570.826185,0.999999735090035
571.308302,0.9999993972801816
571.790419,0.99999921257031
572.272535,0.999999776410025
572.754652,0.999999504210123
573.236769,0.9999994313001617
573.718885,0.9999997934200213
574.201002,0.9999999586840008
574.683119,0.9999998639000093
575.165235,0.9999998080000184
575.647352,0.999999234450293
576.129469,0.9999996500300612
576.611585,0.9999990740504286
577.093702,0.9999983328013897
577.575819,0.9999980922018199
578.057935,0.9999979512020988
578.540052,0.9999980217019568
579.022169,0.999997965802069
579.504285,0.999997917202169
579.986402,0.9999983304013937
580.468519,0.9999990862004176
580.950636,0.9999999756970003
581.432752,0.999999482340134
581.914869,0.9999997594000289
582.396986,0.9999985151011025
582.879102,0.9999977398025542
583.361219,0.9999971808039739
583.843336,0.9999963764065652
584.325452,0.9999956594094204
584.807569,0.9999955063100967
585.289686,0.99999547231025
585.771802,0.9999951928115546
586.253919,0.9999952438113107
586.736036,0.9999961431074378
587.218152,0.9999974725031942
587.700269,0.9999981432017239
588.182386,0.9999976280028132
588.664502,0.9999966194057143
589.146619,0.9999963934065038
589.628736,0.9999969985045045
590.110852,0.9999971735039945
590.592969,0.9999970544043383
591.075086,0.9999970350043956
591.557202,0.9999963375067069
592.039319,0.9999954188104937
592.521436,0.999995294911069
593.003552,0.9999951928115546
593.485669,0.9999947408138296
593.967786,0.9999945439148845
594.449902,0.9999940967174245
594.932019,0.9999930395242242
595.414136,0.9999922521300149
595.896252,0.9999920139318889
596.378369,0.9999916664347244
596.860486,0.9999909932405611
597.342602,0.999990424545845
597.824719,0.9999901475485358
598.306836,0.9999900843491604
598.788952,0.9999905144449882
599.271069,0.9999909835406485
599.753186,0.9999895470546324
600.235303,0.9999864480918279
600.717419,0.99998468211732
601.199536,0.9999848031154738
