nu,[0]Trichloromethanol-HITRAN(x-sec)-X=0.01-T=295.0K-P=0.9211atm-L=15cm
657.1251,1.0
657.607217,1.0
658.089333,1.0
658.57145,1.0
659.053567,1.0
659.535683,1.0
660.0178,1.0
660.499916,1.0
660.982033,1.0
661.46415,1.0
661.946266,1.0
662.428383,1.0
662.9105,1.0
663.392616,1.0
663.874733,1.0
664.35685,1.0
664.838966,1.0
665.321083,1.0
665.803199,1.0
666.285316,1.0
666.767433,1.0
667.249549,0.9188613853945178
667.731666,0.652763754503155
668.213783,0.6755892540246239
668.695899,0.805219796259673
669.178016,0.8977263408968883
669.660133,0.9643220147051603
670.142249,1.0
670.624366,1.0
671.106482,1.0
671.588599,1.0
672.070716,1.0
672.552832,1.0
673.034949,1.0
673.517066,1.0
673.999182,1.0
674.481299,1.0
674.963416,1.0
675.445532,1.0
675.927649,1.0
676.409765,1.0
676.891882,1.0
677.373999,1.0
677.856115,1.0
678.338232,1.0
678.820349,1.0
679.302465,1.0
679.784582,1.0
680.266699,1.0
680.748815,1.0
681.230932,1.0
681.713048,1.0
682.195165,1.0
682.677282,1.0
683.159398,1.0
683.641515,1.0
684.123632,1.0
684.605748,1.0
685.087865,1.0
685.569982,1.0
686.052098,1.0
686.534215,1.0
687.016331,1.0
687.498448,1.0
687.980565,1.0
688.462681,1.0
688.944798,1.0
689.426915,1.0
689.909031,1.0
690.391148,1.0
690.873265,1.0
691.355381,1.0
691.837498,1.0
692.319614,1.0
692.801731,1.0
693.283848,1.0
693.765964,1.0
694.248081,1.0
694.730198,1.0
695.212314,1.0
695.694431,1.0
696.176548,1.0
696.658664,1.0
697.140781,1.0
697.622897,1.0
698.105014,1.0
698.587131,1.0
699.069247,1.0
699.551364,1.0
700.033481,1.0
700.515597,1.0
700.997714,1.0
701.479831,1.0
701.961947,1.0
702.444064,1.0
702.92618,1.0
703.408297,1.0
703.890414,1.0
704.37253,1.0
704.854647,1.0
705.336764,1.0
705.81888,1.0
706.300997,1.0
706.783114,1.0
707.26523,1.0
707.747347,1.0
708.229463,1.0
708.71158,1.0
709.193697,1.0
709.675813,1.0
710.15793,1.0
710.640047,1.0
711.122163,1.0
711.60428,1.0
712.086397,1.0
712.568513,1.0
713.05063,1.0
713.532746,1.0
714.014863,1.0
714.49698,1.0
714.979096,1.0
715.461213,1.0
715.94333,1.0
716.425446,1.0
716.907563,1.0
717.38968,1.0
717.871796,1.0
718.353913,1.0
718.836029,1.0
719.318146,1.0
719.800263,1.0
720.282379,1.0
720.764496,1.0
721.246613,1.0
721.728729,1.0
722.210846,1.0
722.692963,1.0
723.175079,1.0
723.657196,1.0
724.139312,1.0
724.621429,1.0
725.103546,1.0
725.585662,1.0
726.067779,1.0
726.549896,1.0
727.032012,1.0
727.514129,1.0
727.996246,1.0
728.478362,1.0
728.960479,1.0
729.442595,0.9966106568351518
729.924712,0.9708473811761166
730.406829,0.9626667317790644
730.888945,0.9730147865949906
731.371062,0.9614103096495946
731.853179,0.9297895581495444
732.335295,0.9029573121943608
732.817412,0.9000094641418044
733.299529,0.9179136095812273
733.781645,0.9154880206396377
734.263762,0.8692452261739627
734.745878,0.8218889420901602
735.227995,0.8319191652769813
735.710112,0.8655154963673891
736.192228,0.8017968559669413
736.674345,0.7474259815186265
737.156462,0.7567290618346934
737.638578,0.8086088313958695
738.120695,0.9402664372478723
738.602812,1.0
739.084928,0.9215806365031578
739.567045,0.7717535620974191
740.049161,0.75949616981038
740.531278,0.7657879310403465
741.013395,0.7677355047567284
741.495511,0.7691109819951074
741.977628,0.7811797515424952
742.459745,0.7789254011658779
742.941861,0.7857787615728606
743.423978,0.8031771332573899
743.906095,0.8365909814788911
744.388211,0.8585846511095687
744.870328,0.8632939774163194
745.352444,0.8642095542023488
745.834561,0.8791585694610805
746.316678,0.8988671776278135
746.798794,0.8913304899741585
747.280911,0.8528257767561276
747.763028,0.8470970584881647
748.245144,0.8849536572805763
748.727261,0.894249911328866
749.209378,0.8428300017294958
749.691494,0.7877535435790494
750.173611,0.8253398814266764
750.655727,0.8603035387264423
751.137844,0.843293685731859
751.619961,0.820361649480318
752.102077,0.7922327928425663
752.584194,0.7608797114804511
753.066311,0.7395820867123316
753.548427,0.7216752741905206
754.030544,0.6982556378027813
754.512661,0.6783852073130962
754.994777,0.6586256259921985
755.476894,0.6341878975994341
755.95901,0.6033547178911615
756.441127,0.5797722065005394
756.923244,0.5576855532957805
757.40536,0.5382888322292628
757.887477,0.5209975186020984
758.369594,0.5025299695157431
758.85171,0.4862171228555824
759.333827,0.47076323364868267
759.815943,0.45391741625912424
760.29806,0.43259211181129004
760.780177,0.41426061432929445
761.262293,0.399988292920985
761.74441,0.38342931142567643
762.226527,0.368317478286828
762.708643,0.3518677092565612
763.19076,0.3286046245448707
763.672877,0.30361342957567317
764.154993,0.2820982117664858
764.63711,0.26490076362942017
765.119226,0.24696713694786612
765.601343,0.2263891178142049
766.08346,0.20767103785984428
766.565576,0.1914363311606898
767.047693,0.1755555082077623
767.52981,0.16054194997542595
768.011926,0.14662162355962244
768.494043,0.1337075936903251
768.97616,0.12019979047728242
769.458276,0.10705634439346201
769.940393,0.09544548807159375
770.422509,0.08538370537195682
770.904626,0.07665043488760338
771.386743,0.06756264752846791
771.868859,0.05822153357369408
772.350976,0.04984684871093758
772.833093,0.043161775578161636
773.315209,0.037436841222094674
773.797326,0.032526504465124485
774.279443,0.028319632130024714
774.761559,0.023930535489081504
775.243676,0.0203596556603361
775.725792,0.01750270217452158
776.207909,0.015359824148400343
776.690026,0.013249439888625252
777.172142,0.012075218311253738
777.654259,0.011547341981159432
778.136376,0.010416127008436199
778.618492,0.009204157452416945
779.100609,0.008359137726234728
779.582726,0.007644261831389997
780.064842,0.007260547788720948
780.546959,0.006895405215452415
781.029075,0.006371629714304904
781.511192,0.005610586609167888
781.993309,0.004839712310497877
782.475425,0.0043655984375182135
782.957542,0.00410356159766793
783.439659,0.004033987250361921
783.921775,0.00417475335112215
784.403892,0.004580715822253878
784.886009,0.0053103368968841005
785.368125,0.006371629714304904
785.850242,0.007830726414802756
786.332358,0.009690589684281863
786.814475,0.011829013430873505
787.296592,0.014289932651965466
787.778708,0.017085929336767933
788.260825,0.02029055037664464
788.742942,0.0242606398772493
789.225058,0.028909066885655903
789.707175,0.033860707758501085
790.189292,0.03898415490092903
790.671408,0.044454014772936264
791.153525,0.05046375112233467
791.635641,0.0572115201300396
792.117758,0.0668703238465938
792.599875,0.07765339566117935
793.081991,0.08404524451220352
793.564108,0.09219033319108504
794.046225,0.10698143117507196
794.528341,0.123168739241873
795.010458,0.13524058168775613
795.492575,0.144756826937064
795.974691,0.1554859352510293
796.456808,0.16840221905070693
796.938924,0.18745808598014688
797.421041,0.20464060187814945
797.903158,0.21934707199753312
798.385274,0.23607635220204906
798.867391,0.2558663605266566
799.349508,0.2807473849280056
799.831624,0.30592968225173184
800.313741,0.32791527889958855
800.795858,0.3514808675783085
801.277974,0.37612264698136905
801.760091,0.4013666220154597
