nu,[0]PFC-1114-HITRAN(x-sec)-X=0.01-T=293.0K-P=0.9737atm-L=15cm
100.0519,1.0
100.172444,1.0
100.292989,1.0
100.413533,1.0
100.534078,1.0
100.654622,1.0
100.775167,1.0
100.895711,1.0
101.016255,1.0
101.1368,1.0
101.257344,1.0
101.377889,1.0
101.498433,1.0
101.618978,1.0
101.739522,1.0
101.860066,1.0
101.980611,1.0
102.101155,1.0
102.2217,1.0
102.342244,1.0
102.462789,1.0
102.583333,1.0
102.703878,1.0
102.824422,1.0
102.944966,1.0
103.065511,1.0
103.186055,1.0
103.3066,1.0
103.427144,1.0
103.547689,1.0
103.668233,1.0
103.788777,1.0
103.909322,1.0
104.029866,1.0
104.150411,1.0
104.270955,1.0
104.3915,1.0
104.512044,1.0
104.632588,1.0
104.753133,1.0
104.873677,1.0
104.994222,1.0
105.114766,1.0
105.235311,1.0
105.355855,1.0
105.476399,1.0
105.596944,1.0
105.717488,1.0
105.838033,1.0
105.958577,1.0
106.079122,1.0
106.199666,1.0
106.320211,1.0
106.440755,1.0
106.561299,1.0
106.681844,1.0
106.802388,1.0
106.922933,1.0
107.043477,1.0
107.164022,1.0
107.284566,1.0
107.40511,1.0
107.525655,1.0
107.646199,1.0
107.766744,1.0
107.887288,1.0
108.007833,1.0
108.128377,1.0
108.248921,1.0
108.369466,1.0
108.49001,1.0
108.610555,1.0
108.731099,1.0
108.851644,1.0
108.972188,1.0
109.092732,1.0
109.213277,1.0
109.333821,1.0
109.454366,1.0
109.57491,1.0
109.695455,1.0
109.815999,1.0
109.936544,1.0
110.057088,1.0
110.177632,1.0
110.298177,1.0
110.418721,1.0
110.539266,1.0
110.65981,1.0
110.780355,1.0
110.900899,1.0
111.021443,1.0
111.141988,1.0
111.262532,1.0
111.383077,1.0
111.503621,1.0
111.624166,1.0
111.74471,1.0
111.865254,1.0
111.985799,1.0
112.106343,1.0
112.226888,1.0
112.347432,1.0
112.467977,1.0
112.588521,1.0
112.709065,1.0
112.82961,1.0
112.950154,1.0
113.070699,1.0
113.191243,1.0
113.311788,1.0
113.432332,1.0
113.552877,1.0
113.673421,1.0
113.793965,1.0
113.91451,1.0
114.035054,1.0
114.155599,1.0
114.276143,1.0
114.396688,1.0
114.517232,1.0
114.637776,1.0
114.758321,1.0
114.878865,1.0
114.99941,1.0
115.119954,1.0
115.240499,1.0
115.361043,1.0
115.481587,1.0
115.602132,1.0
115.722676,1.0
115.843221,1.0
115.963765,1.0
116.08431,1.0
116.204854,1.0
116.325398,1.0
116.445943,1.0
116.566487,1.0
116.687032,1.0
116.807576,1.0
116.928121,1.0
117.048665,1.0
117.16921,1.0
117.289754,1.0
117.410298,1.0
117.530843,1.0
117.651387,1.0
117.771932,1.0
117.892476,1.0
118.013021,1.0
118.133565,1.0
118.254109,1.0
118.374654,1.0
118.495198,1.0
118.615743,1.0
118.736287,1.0
118.856832,1.0
118.977376,1.0
119.09792,1.0
119.218465,1.0
119.339009,1.0
119.459554,1.0
119.580098,1.0
119.700643,1.0
119.821187,1.0
119.941731,1.0
120.062276,1.0
120.18282,1.0
120.303365,1.0
120.423909,1.0
120.544454,1.0
120.664998,1.0
120.785543,1.0
120.906087,1.0
121.026631,1.0
121.147176,1.0
121.26772,1.0
121.388265,1.0
121.508809,1.0
121.629354,1.0
121.749898,1.0
121.870442,1.0
121.990987,1.0
122.111531,1.0
122.232076,1.0
122.35262,1.0
122.473165,1.0
122.593709,1.0
122.714253,1.0
122.834798,1.0
122.955342,1.0
123.075887,1.0
123.196431,1.0
123.316976,1.0
123.43752,1.0
123.558064,1.0
123.678609,1.0
123.799153,1.0
123.919698,1.0
124.040242,1.0
124.160787,1.0
124.281331,1.0
124.401876,1.0
124.52242,1.0
124.642964,1.0
124.763509,1.0
124.884053,1.0
125.004598,1.0
125.125142,1.0
125.245687,1.0
125.366231,1.0
125.486775,1.0
125.60732,1.0
125.727864,1.0
125.848409,1.0
125.968953,1.0
126.089498,1.0
126.210042,1.0
126.330586,1.0
126.451131,1.0
126.571675,1.0
126.69222,1.0
126.812764,1.0
126.933309,1.0
127.053853,1.0
127.174397,1.0
127.294942,1.0
127.415486,1.0
127.536031,1.0
127.656575,1.0
127.77712,1.0
127.897664,1.0
128.018209,1.0
128.138753,1.0
128.259297,1.0
128.379842,1.0
