nu,[0]2-(Perfluoroheptyl)ethanol-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
499.9557,1.0
500.196759,1.0
500.437817,1.0
500.678876,1.0
500.919935,1.0
501.160993,1.0
501.402052,1.0
501.643111,1.0
501.884169,1.0
502.125228,1.0
502.366287,1.0
502.607345,1.0
502.848404,1.0
503.089463,1.0
503.330521,1.0
503.57158,1.0
503.812639,1.0
504.053697,1.0
504.294756,1.0
504.535815,1.0
504.776873,1.0
505.017932,1.0
505.258991,1.0
505.500049,1.0
505.741108,1.0
505.982167,1.0
506.223225,1.0
506.464284,1.0
506.705343,1.0
506.946401,1.0
507.18746,1.0
507.428519,1.0
507.669577,1.0
507.910636,1.0
508.151695,1.0
508.392753,1.0
508.633812,1.0
508.874871,1.0
509.115929,1.0
509.356988,1.0
509.598047,1.0
509.839105,1.0
510.080164,1.0
510.321223,1.0
510.562281,1.0
510.80334,1.0
511.044399,1.0
511.285457,1.0
511.526516,1.0
511.767575,1.0
512.008633,1.0
512.249692,1.0
512.490751,1.0
512.731809,1.0
512.972868,1.0
513.213927,1.0
513.454985,1.0
513.696044,1.0
513.937103,1.0
514.178161,1.0
514.41922,1.0
514.660278,1.0
514.901337,1.0
515.142396,1.0
515.383454,1.0
515.624513,1.0
515.865572,1.0
516.10663,1.0
516.347689,1.0
516.588748,1.0
516.829806,1.0
517.070865,1.0
517.311924,1.0
517.552982,1.0
517.794041,1.0
518.0351,1.0
518.276158,1.0
518.517217,1.0
518.758276,1.0
518.999334,1.0
519.240393,1.0
519.481452,1.0
519.72251,1.0
519.963569,1.0
520.204628,1.0
520.445686,1.0
520.686745,1.0
520.927804,1.0
521.168862,1.0
521.409921,1.0
521.65098,1.0
521.892038,1.0
522.133097,1.0
522.374156,1.0
522.615214,1.0
522.856273,1.0
523.097332,1.0
523.33839,1.0
523.579449,1.0
523.820508,1.0
524.061566,1.0
524.302625,1.0
524.543684,1.0
524.784742,1.0
525.025801,1.0
525.26686,1.0
525.507918,1.0
525.748977,1.0
525.990036,1.0
526.231094,1.0
526.472153,1.0
526.713212,1.0
526.95427,1.0
