nu,[0]Vinyl2-2-2-trifluoroacetate-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
600,1.0
600.060265,1.0
600.12053,1.0
600.180795,1.0
600.24106,1.0
600.301325,1.0
600.36159,1.0
600.421855,1.0
600.48212,1.0
600.542385,1.0
600.60265,1.0
600.662915,1.0
600.72318,1.0
600.783445,1.0
600.84371,1.0
600.903975,1.0
600.96424,1.0
601.024505,1.0
601.08477,1.0
601.145035,1.0
601.2053,1.0
601.265565,1.0
601.32583,1.0
601.386095,1.0
601.44636,1.0
601.506625,1.0
601.56689,1.0
601.627155,1.0
601.68742,1.0
601.747685,1.0
601.80795,1.0
601.868215,1.0
601.92848,1.0
601.988745,1.0
602.04901,1.0
602.109275,1.0
602.16954,1.0
602.229805,1.0
602.29007,1.0
602.350335,1.0
602.4106,1.0
602.470865,1.0
602.53113,1.0
602.591395,1.0
602.65166,1.0
602.711925,1.0
602.77219,1.0
602.832455,1.0
602.89272,1.0
602.952985,1.0
603.01325,1.0
603.073515,1.0
603.13378,1.0
603.194045,1.0
603.25431,1.0
603.314575,1.0
603.37484,1.0
603.435105,1.0
603.49537,1.0
603.555635,1.0
603.6159,1.0
603.676165,1.0
603.73643,1.0
603.796695,1.0
603.85696,1.0
603.917225,1.0
603.97749,1.0
604.037755,1.0
604.09802,1.0
604.158285,1.0
604.21855,1.0
604.278815,1.0
604.33908,1.0
604.399345,1.0
604.45961,1.0
604.519875,1.0
604.58014,1.0
604.640405,1.0
604.70067,1.0
604.760935,1.0
604.8212,1.0
604.881465,1.0
604.94173,1.0
605.001995,1.0
605.06226,1.0
605.122525,1.0
605.18279,1.0
605.243055,1.0
605.30332,1.0
605.363585,1.0
605.42385,1.0
605.484115,1.0
605.54438,1.0
605.604645,1.0
605.66491,1.0
605.725175,1.0
605.78544,1.0
605.845705,1.0
605.90597,1.0
605.966235,1.0
606.0265,1.0
606.086765,1.0
606.14703,1.0
606.207295,1.0
606.26756,1.0
606.327825,1.0
606.38809,1.0
606.448355,1.0
606.50862,1.0
606.568885,1.0
606.62915,1.0
606.689415,1.0
606.74968,1.0
606.809945,1.0
606.87021,1.0
606.930475,1.0
606.99074,1.0
607.051005,1.0
607.11127,1.0
607.171535,1.0
607.2318,1.0
607.292065,1.0
607.35233,1.0
607.412595,1.0
607.47286,1.0
607.533125,1.0
607.59339,1.0
607.653655,1.0
607.71392,1.0
607.774185,1.0
607.83445,1.0
607.894715,1.0
607.95498,1.0
608.015245,1.0
608.07551,1.0
608.135775,1.0
608.19604,1.0
608.256305,1.0
608.31657,1.0
608.376835,1.0
608.4371,1.0
608.497365,1.0
608.55763,1.0
608.617895,1.0
608.67816,1.0
608.738425,1.0
608.79869,1.0
608.858955,1.0
608.91922,1.0
608.979485,1.0
609.03975,1.0
609.100015,1.0
609.16028,1.0
609.220545,1.0
609.28081,1.0
609.341075,1.0
609.40134,1.0
609.461605,1.0
609.52187,1.0
609.582135,1.0
609.6424,1.0
609.702665,1.0
609.76293,1.0
609.823195,1.0
