nu,[0]HFE-365mcf3-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
434.8693,1.0
435.351417,1.0
435.833533,1.0
436.31565,1.0
436.797767,1.0
437.279883,1.0
437.762,1.0
438.244117,1.0
438.726234,1.0
439.20835,1.0
439.690467,1.0
440.172584,1.0
440.6547,1.0
441.136817,1.0
441.618934,1.0
442.10105,1.0
442.583167,1.0
443.065284,1.0
443.5474,1.0
444.029517,1.0
444.511634,1.0
444.99375,1.0
445.475867,1.0
445.957984,1.0
446.440101,1.0
446.922217,1.0
447.404334,1.0
447.886451,1.0
448.368567,1.0
448.850684,1.0
449.332801,1.0
449.814917,1.0
450.297034,1.0
450.779151,1.0
451.261267,1.0
451.743384,1.0
452.225501,1.0
452.707618,1.0
453.189734,1.0
453.671851,1.0
454.153968,1.0
454.636084,1.0
455.118201,1.0
455.600318,1.0
456.082434,1.0
456.564551,1.0
457.046668,1.0
457.528784,1.0
458.010901,1.0
458.493018,1.0
458.975135,1.0
459.457251,1.0
459.939368,1.0
460.421485,1.0
460.903601,1.0
461.385718,1.0
461.867835,1.0
462.349951,1.0
462.832068,1.0
463.314185,1.0
463.796301,1.0
464.278418,1.0
464.760535,1.0
465.242651,1.0
465.724768,1.0
466.206885,1.0
466.689002,1.0
467.171118,1.0
467.653235,1.0
468.135352,1.0
468.617468,1.0
469.099585,1.0
469.581702,1.0
470.063818,1.0
470.545935,1.0
471.028052,1.0
471.510168,1.0
471.992285,1.0
472.474402,1.0
472.956519,1.0
473.438635,1.0
473.920752,1.0
474.402869,1.0
474.884985,1.0
475.367102,1.0
475.849219,1.0
476.331335,1.0
476.813452,1.0
477.295569,1.0
477.777685,1.0
478.259802,1.0
478.741919,1.0
479.224036,1.0
479.706152,1.0
480.188269,1.0
480.670386,1.0
481.152502,1.0
481.634619,1.0
482.116736,1.0
482.598852,1.0
483.080969,1.0
483.563086,1.0
484.045202,1.0
484.527319,1.0
485.009436,1.0
485.491552,1.0
485.973669,1.0
486.455786,1.0
486.937903,1.0
487.420019,1.0
487.902136,1.0
488.384253,1.0
488.866369,1.0
489.348486,1.0
489.830603,1.0
490.312719,0.9999997594000289
490.794836,0.9999992636102711
491.276953,0.9999988480006635
491.759069,0.9999994240101658
492.241186,0.9999999659750006
492.723303,0.9999996403100647
493.20542,0.9999993462402137
493.687536,0.9999995649700947
494.169653,0.999999776410025
494.65177,0.9999993097902382
495.133886,0.9999997934200213
495.616003,0.9999990983504065
496.09812,0.9999982526015267
496.580236,0.9999982915014595
497.062353,0.9999989258005769
497.54447,0.9999992976402466
498.026586,0.9999990278704726
498.508703,0.9999985297010809
498.99082,0.9999980606018807
499.472937,0.9999975478030066
499.955053,0.9999973315035604
500.43717,0.9999976766026991
500.919287,0.9999984324012287
501.401403,0.9999992247303006
501.88352,0.9999993875601876
502.365637,0.9999988893006169
502.847753,0.9999982380015523
503.32987,0.9999977665024943
503.811987,0.9999975843029179
504.294103,0.9999975162030846
504.77622,0.9999973728034511
505.258337,0.999997078704267
505.740453,0.9999967798051849
506.22257,0.9999968430049834
506.704687,0.9999969864045409
507.186804,0.9999967993051222
507.66892,0.9999964298063732
508.151037,0.9999965028061152
508.633154,0.9999973412035346
509.11527,0.999998072801857
