nu,[0]HFC-245cb-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
400.0388,1.0
400.15933,1.0
400.279859,1.0
400.400389,1.0
400.520919,1.0
400.641448,1.0
400.761978,1.0
400.882508,1.0
401.003037,1.0
401.123567,1.0
401.244097,1.0
401.364626,1.0
401.485156,1.0
401.605686,1.0
401.726215,1.0
401.846745,1.0
401.967275,1.0
402.087804,1.0
402.208334,1.0
402.328863,1.0
402.449393,1.0
402.569923,1.0
402.690452,1.0
402.810982,1.0
402.931512,1.0
403.052041,1.0
403.172571,1.0
403.293101,1.0
403.41363,1.0
403.53416,1.0
403.65469,1.0
403.775219,1.0
403.895749,1.0
404.016279,1.0
404.136808,1.0
404.257338,1.0
404.377868,1.0
404.498397,1.0
404.618927,1.0
404.739457,1.0
404.859986,1.0
404.980516,1.0
405.101046,1.0
405.221575,1.0
405.342105,1.0
405.462635,1.0
405.583164,1.0
405.703694,1.0
405.824224,1.0
405.944753,1.0
406.065283,1.0
406.185813,1.0
406.306342,1.0
406.426872,1.0
406.547401,1.0
406.667931,1.0
406.788461,1.0
406.90899,1.0
407.02952,1.0
407.15005,1.0
407.270579,1.0
407.391109,1.0
407.511639,1.0
407.632168,1.0
407.752698,1.0
407.873228,1.0
407.993757,1.0
408.114287,1.0
408.234817,1.0
408.355346,1.0
408.475876,1.0
408.596406,1.0
408.716935,1.0
408.837465,1.0
408.957995,1.0
409.078524,1.0
409.199054,1.0
409.319584,1.0
409.440113,1.0
409.560643,1.0
409.681173,1.0
409.801702,1.0
409.922232,1.0
410.042762,1.0
410.163291,1.0
410.283821,1.0
410.404351,1.0
410.52488,1.0
410.64541,1.0
410.765939,1.0
410.886469,1.0
411.006999,1.0
411.127528,1.0
411.248058,1.0
411.368588,1.0
411.489117,1.0
411.609647,1.0
411.730177,1.0
411.850706,1.0
411.971236,1.0
412.091766,1.0
412.212295,1.0
412.332825,1.0
412.453355,1.0
412.573884,1.0
412.694414,1.0
412.814944,1.0
412.935473,1.0
413.056003,1.0
413.176533,1.0
413.297062,1.0
413.417592,1.0
413.538122,1.0
413.658651,1.0
413.779181,1.0
413.899711,1.0
414.02024,1.0
414.14077,1.0
414.2613,1.0
414.381829,1.0
414.502359,1.0
414.622889,1.0
414.743418,1.0
414.863948,1.0
414.984477,1.0
415.105007,1.0
415.225537,1.0
415.346066,1.0
415.466596,1.0
415.587126,1.0
415.707655,1.0
415.828185,1.0
415.948715,1.0
416.069244,1.0
416.189774,1.0
416.310304,1.0
416.430833,1.0
416.551363,1.0
416.671893,1.0
416.792422,1.0
416.912952,1.0
417.033482,1.0
417.154011,1.0
417.274541,1.0
417.395071,1.0
417.5156,1.0
417.63613,1.0
417.75666,1.0
417.877189,1.0
417.997719,1.0
418.118249,1.0
418.238778,1.0
418.359308,1.0
418.479838,1.0
418.600367,1.0
418.720897,1.0
418.841427,1.0
418.961956,1.0
419.082486,1.0
419.203015,1.0
419.323545,1.0
419.444075,1.0
419.564604,1.0
419.685134,1.0
419.805664,1.0
419.926193,1.0
420.046723,1.0
420.167253,1.0
420.287782,1.0
420.408312,1.0
420.528842,1.0
420.649371,1.0
420.769901,1.0
420.890431,1.0
421.01096,1.0
421.13149,1.0
421.25202,1.0
421.372549,1.0
421.493079,1.0
421.613609,1.0
421.734138,1.0
421.854668,1.0
421.975198,1.0
422.095727,1.0
422.216257,1.0
422.336787,1.0
422.457316,1.0
422.577846,1.0
422.698376,1.0
422.818905,1.0
422.939435,1.0
423.059965,1.0
423.180494,1.0
423.301024,1.0
423.421553,1.0
423.542083,1.0
423.662613,1.0
423.783142,1.0
423.903672,1.0
424.024202,1.0
424.144731,1.0
424.265261,1.0
424.385791,1.0
424.50632,1.0
424.62685,1.0
424.74738,1.0
424.867909,1.0
424.988439,1.0
425.108969,1.0
425.229498,1.0
425.350028,1.0
425.470558,1.0
425.591087,1.0
425.711617,1.0
425.832147,1.0
425.952676,1.0
426.073206,1.0
426.193736,1.0
426.314265,1.0
426.434795,1.0
426.555325,1.0
426.675854,1.0
426.796384,1.0
426.916914,1.0
427.037443,1.0
427.157973,1.0
427.278503,1.0
427.399032,1.0
427.519562,1.0
427.640091,1.0
427.760621,1.0
427.881151,1.0
428.00168,1.0
428.12221,1.0
428.24274,1.0
428.363269,1.0
428.483799,1.0
428.604329,1.0
428.724858,1.0
428.845388,1.0
428.965918,1.0
429.086447,1.0
429.206977,1.0
429.327507,1.0
429.448036,1.0
429.568566,1.0
429.689096,1.0
429.809625,1.0
429.930155,1.0
430.050685,1.0
430.171214,1.0
430.291744,1.0
430.412274,1.0
430.532803,1.0
430.653333,1.0
430.773863,1.0
430.894392,1.0
431.014922,1.0
431.135452,1.0
431.255981,1.0
431.376511,1.0
431.497041,1.0
431.61757,1.0
431.7381,1.0
431.858629,1.0
431.979159,1.0
432.099689,1.0
432.220218,1.0
432.340748,1.0
432.461278,1.0
432.581807,1.0
432.702337,1.0
432.822867,1.0
432.943396,1.0
433.063926,1.0
433.184456,1.0
433.304985,1.0
433.425515,1.0
433.546045,1.0
433.666574,1.0
433.787104,1.0
433.907634,1.0
434.028163,1.0
434.148693,1.0
434.269223,1.0
434.389752,1.0
434.510282,1.0
434.630812,1.0
434.751341,1.0
434.871871,1.0
434.992401,1.0
435.11293,1.0
435.23346,1.0
435.35399,1.0
435.474519,1.0
435.595049,1.0
435.715579,1.0
435.836108,1.0
435.956638,1.0
436.077168,1.0
436.197697,1.0
436.318227,1.0
436.438756,1.0
436.559286,1.0
436.679816,1.0
436.800345,1.0
436.920875,1.0
437.041405,1.0
437.161934,1.0
437.282464,1.0
437.402994,1.0
437.523523,1.0
437.644053,1.0
437.764583,1.0
437.885112,1.0
438.005642,1.0
438.126172,1.0
438.246701,1.0
438.367231,1.0
438.487761,1.0
438.60829,1.0
438.72882,1.0
438.84935,1.0
438.969879,1.0
439.090409,1.0
439.210939,1.0
439.331468,1.0
439.451998,1.0
439.572528,1.0
439.693057,1.0
439.813587,1.0
439.934117,1.0
440.054646,1.0
440.175176,1.0
440.295706,1.0
440.416235,1.0
440.536765,1.0
440.657294,1.0
440.777824,1.0
440.898354,1.0
