nu,[0]HFC-1345zfc-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.9211atm-L=15cm
650,0.9197071268504975
650.119002,0.9167751853300903
650.238004,0.9213567196154913
650.357006,0.9298258206494264
650.476008,1.0
650.59501,1.0
650.714012,1.0
650.833014,1.0
650.952016,1.0
651.071018,1.0
651.19002,1.0
651.309022,1.0
651.428024,1.0
651.547026,1.0
651.666028,1.0
651.78503,1.0
651.904032,1.0
652.023034,1.0
652.142036,1.0
652.261038,1.0
652.38004,1.0
652.499042,1.0
652.618044,1.0
652.737046,1.0
652.856048,1.0
652.97505,1.0
653.094052,1.0
653.213054,1.0
653.332056,1.0
653.451058,1.0
653.57006,1.0
653.689062,1.0
653.808064,1.0
653.927066,1.0
654.046068,1.0
654.16507,1.0
654.284072,1.0
654.403074,1.0
654.522076,1.0
654.641078,1.0
654.76008,1.0
654.879082,1.0
654.998084,1.0
655.117086,1.0
655.236088,1.0
655.35509,1.0
655.474092,1.0
655.593094,1.0
655.712096,1.0
655.831098,1.0
655.9501,1.0
656.069102,1.0
656.188104,1.0
656.307106,1.0
656.426108,1.0
656.54511,1.0
656.664112,1.0
656.783114,1.0
656.902116,1.0
657.021118,1.0
657.14012,1.0
657.259122,1.0
657.378124,1.0
657.497126,1.0
657.616128,1.0
657.73513,1.0
657.854132,1.0
657.973134,1.0
658.092136,1.0
658.211138,1.0
658.33014,1.0
658.449142,1.0
658.568144,1.0
658.687146,1.0
658.806148,1.0
658.92515,1.0
659.044152,1.0
659.163154,1.0
659.282156,1.0
659.401158,1.0
659.52016,1.0
659.639162,1.0
659.758164,1.0
659.877166,1.0
659.996168,1.0
660.11517,1.0
660.234172,1.0
660.353174,1.0
660.472176,1.0
660.591178,1.0
660.71018,1.0
660.829182,1.0
660.948184,1.0
661.067186,1.0
661.186188,1.0
661.30519,1.0
661.424192,1.0
661.543194,1.0
661.662196,1.0
661.781198,1.0
661.9002,1.0
662.019202,1.0
662.138204,1.0
662.257206,1.0
662.376208,1.0
662.49521,1.0
662.614212,1.0
662.733214,1.0
662.852216,1.0
662.971218,1.0
663.09022,1.0
663.209222,1.0
663.328224,1.0
663.447226,1.0
663.566228,1.0
663.68523,1.0
663.804232,1.0
663.923234,1.0
664.042236,1.0
664.161238,1.0
664.28024,1.0
664.399242,1.0
664.518244,1.0
664.637246,1.0
664.756248,1.0
664.87525,1.0
664.994252,1.0
665.113254,1.0
665.232256,1.0
665.351258,1.0
665.47026,1.0
665.589262,1.0
665.708264,1.0
665.827266,1.0
665.946268,1.0
666.06527,1.0
666.184272,1.0
666.303274,1.0
666.422276,1.0
666.541278,1.0
666.66028,0.9807379308593072
666.779282,0.852101182841925
666.898284,0.7448592534456235
667.017286,0.6568497353332626
667.136288,0.5851775345073551
667.25529,0.5328315212503598
667.374292,0.502650591182448
667.493294,0.5159992329668665
667.612296,0.5642036562615619
667.731298,0.6120385550539277
667.8503,0.6690141955638711
667.969302,0.7239014606022272
668.088304,0.7726724954932437
668.207306,0.8151851611094727
668.326308,0.8543195285170238
668.44531,0.8856619034671023
668.564312,0.9113994532990202
668.683314,0.9294586119787568
668.802316,1.0
668.921318,1.0
669.04032,1.0
669.159322,1.0
669.278324,1.0
669.397326,1.0
669.516328,1.0
669.63533,1.0
669.754332,1.0
669.873334,1.0
669.992336,1.0
670.111338,1.0
670.23034,1.0
670.349342,1.0
670.468344,1.0
670.587346,1.0
670.706348,1.0
670.82535,1.0
670.944352,1.0
671.063354,1.0
671.182356,1.0
671.301358,1.0
671.42036,1.0
671.539362,1.0
671.658364,1.0
671.777366,1.0
671.896368,1.0
672.01537,1.0
672.134372,1.0
672.253374,1.0
672.372376,1.0
672.491378,1.0
672.61038,1.0
672.729382,1.0
672.848384,1.0
672.967386,1.0
673.086388,1.0
673.20539,1.0
673.324392,1.0
673.443394,1.0
673.562396,1.0
673.681398,1.0
673.8004,1.0
673.919402,1.0
674.038404,1.0
674.157406,1.0
674.276408,1.0
674.39541,1.0
674.514412,1.0
