nu,[0]HFC-1234yf-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
700,1.0
700.119002,1.0
700.238004,1.0
700.357006,1.0
700.476008,1.0
700.59501,1.0
700.714012,1.0
700.833014,1.0
700.952016,1.0
701.071018,1.0
701.19002,1.0
701.309022,1.0
701.428024,1.0
701.547026,1.0
701.666028,1.0
701.78503,1.0
701.904032,1.0
702.023034,1.0
702.142036,1.0
702.261038,1.0
702.38004,1.0
702.499042,1.0
702.618044,1.0
702.737046,1.0
702.856048,1.0
702.97505,1.0
703.094052,1.0
703.213054,1.0
703.332056,1.0
703.451058,1.0
703.57006,1.0
703.689062,1.0
703.808064,1.0
703.927066,1.0
704.046068,1.0
704.16507,1.0
704.284072,1.0
704.403074,1.0
704.522076,1.0
704.641078,1.0
704.76008,1.0
704.879082,1.0
704.998084,1.0
705.117086,1.0
705.236088,1.0
705.35509,1.0
705.474092,1.0
705.593094,1.0
705.712096,1.0
705.831098,1.0
705.9501,1.0
706.069102,1.0
706.188104,1.0
706.307106,1.0
706.426108,1.0
706.54511,1.0
706.664112,1.0
706.783114,1.0
706.902116,1.0
707.021118,1.0
707.14012,1.0
707.259122,1.0
707.378124,1.0
707.497126,1.0
707.616128,1.0
707.73513,1.0
707.854132,1.0
707.973134,1.0
708.092136,1.0
708.211138,1.0
708.33014,1.0
708.449142,1.0
708.568144,1.0
708.687146,1.0
708.806148,1.0
708.92515,1.0
709.044152,1.0
709.163154,1.0
709.282156,1.0
709.401158,1.0
709.52016,1.0
709.639162,1.0
709.758164,1.0
709.877166,1.0
709.996168,1.0
710.11517,1.0
710.234172,1.0
710.353174,1.0
710.472176,1.0
710.591178,1.0
710.71018,1.0
710.829182,1.0
710.948184,1.0
711.067186,1.0
711.186188,1.0
711.30519,1.0
711.424192,1.0
711.543194,1.0
711.662196,1.0
711.781198,1.0
711.9002,1.0
712.019202,1.0
712.138204,1.0
712.257206,1.0
712.376208,1.0
712.49521,1.0
712.614212,1.0
712.733214,1.0
712.852216,1.0
712.971218,1.0
713.09022,1.0
713.209222,1.0
713.328224,1.0
713.447226,1.0
713.566228,1.0
713.68523,1.0
713.804232,1.0
713.923234,1.0
714.042236,1.0
714.161238,1.0
714.28024,1.0
714.399242,1.0
714.518244,1.0
714.637246,1.0
714.756248,1.0
714.87525,1.0
714.994252,1.0
715.113254,1.0
715.232256,1.0
715.351258,1.0
715.47026,1.0
715.589262,1.0
715.708264,1.0
715.827266,1.0
715.946268,1.0
716.06527,1.0
716.184272,1.0
716.303274,1.0
716.422276,1.0
716.541278,1.0
716.66028,1.0
716.779282,1.0
716.898284,1.0
717.017286,1.0
717.136288,1.0
717.25529,1.0
717.374292,1.0
717.493294,1.0
717.612296,1.0
717.731298,1.0
717.8503,1.0
717.969302,1.0
718.088304,1.0
718.207306,1.0
718.326308,1.0
718.44531,1.0
718.564312,1.0
718.683314,1.0
718.802316,1.0
718.921318,1.0
719.04032,1.0
719.159322,1.0
719.278324,1.0
719.397326,1.0
719.516328,1.0
719.63533,1.0
719.754332,1.0
719.873334,1.0
719.992336,1.0
720.111338,1.0
720.23034,1.0
720.349342,1.0
720.468344,1.0
720.587346,1.0
720.706348,1.0
720.82535,1.0
720.944352,1.0
721.063354,1.0
721.182356,1.0
721.301358,1.0
721.42036,1.0
721.539362,1.0
721.658364,1.0
721.777366,1.0
721.896368,1.0
722.01537,1.0
722.134372,1.0
722.253374,1.0
722.372376,1.0
722.491378,1.0
722.61038,1.0
722.729382,1.0
722.848384,1.0
722.967386,1.0
723.086388,1.0
723.20539,1.0
723.324392,1.0
723.443394,1.0
723.562396,1.0
723.681398,1.0
723.8004,1.0
723.919402,1.0
724.038404,1.0
724.157406,1.0
724.276408,1.0
724.39541,1.0
724.514412,1.0
724.633414,1.0
724.752416,1.0
724.871418,1.0
724.99042,1.0
725.109422,1.0
725.228424,1.0
725.347426,1.0
725.466428,1.0
725.58543,1.0
725.704432,1.0
725.823434,1.0
725.942436,1.0
726.061438,1.0
726.18044,1.0
726.299442,1.0
726.418444,1.0
726.537446,1.0
726.656448,1.0
726.77545,1.0
726.894452,1.0
727.013454,1.0
727.132456,1.0
727.251458,1.0
727.37046,1.0
727.489462,1.0
727.608464,1.0
727.727466,1.0
727.846468,1.0
727.96547,1.0
728.084472,1.0
728.203474,1.0
728.322476,1.0
728.441478,1.0
728.56048,1.0
728.679482,1.0
728.798484,1.0
728.917486,1.0
729.036488,1.0
729.15549,1.0
729.274492,1.0
729.393494,1.0
729.512496,1.0
729.631498,1.0
729.7505,1.0
729.869502,1.0
729.988504,1.0
730.107506,1.0
730.226508,1.0
730.34551,1.0
730.464512,1.0
730.583514,1.0
730.702516,1.0
730.821518,1.0
730.94052,1.0
731.059522,1.0
731.178524,1.0
731.297526,1.0
731.416528,1.0
731.53553,1.0
731.654532,1.0
731.773534,1.0
731.892536,1.0
732.011538,1.0
732.13054,1.0
732.249542,1.0
732.368544,1.0
732.487546,1.0
732.606548,1.0
732.72555,1.0
732.844552,1.0
732.963554,1.0
733.082556,1.0
733.201558,1.0
733.32056,1.0
733.439562,1.0
733.558564,1.0
733.677566,1.0
733.796568,1.0
733.91557,1.0
734.034572,1.0
734.153574,1.0
734.272576,1.0
734.391578,1.0
734.51058,1.0
734.629582,1.0
734.748584,1.0
734.867586,1.0
734.986588,1.0
735.10559,1.0
735.224592,1.0
735.343594,1.0
735.462596,1.0
735.581598,1.0
735.7006,1.0
735.819602,1.0
735.938604,1.0
736.057606,1.0
736.176608,1.0
736.29561,1.0
736.414612,1.0
736.533614,1.0
736.652616,1.0
736.771618,1.0
736.89062,1.0
737.009622,1.0
737.128624,1.0
737.247626,1.0
737.366628,1.0
737.48563,1.0
737.604632,1.0
737.723634,1.0
737.842636,1.0
737.961638,1.0
738.08064,1.0
738.199642,1.0
738.318644,1.0
738.437646,1.0
738.556648,1.0
738.67565,1.0
738.794652,1.0
738.913654,1.0
739.032656,1.0
739.151658,1.0
739.27066,1.0
739.389662,1.0
739.508664,1.0
739.627666,1.0
739.746668,1.0
739.86567,1.0
739.984672,1.0
740.103674,1.0
740.222676,1.0
740.341678,1.0
740.46068,1.0
740.579682,1.0
740.698684,1.0
740.817686,1.0
740.936688,1.0
741.05569,1.0
741.174692,1.0
741.293694,1.0
741.412696,1.0
741.531698,1.0
741.6507,1.0
741.769702,1.0
