nu,[0](E)-HFC-1225ye-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
650,1.0
650.119602,1.0
650.239204,1.0
650.358806,1.0
650.478408,1.0
650.59801,1.0
650.717612,1.0
650.837214,1.0
650.956816,1.0
651.076418,1.0
651.19602,1.0
651.315622,1.0
651.435224,1.0
651.554826,1.0
651.674428,1.0
651.79403,1.0
651.913632,1.0
652.033234,1.0
652.152836,1.0
652.272438,1.0
652.39204,1.0
652.511642,1.0
652.631244,1.0
652.750846,1.0
652.870448,1.0
652.99005,1.0
653.109652,1.0
653.229254,1.0
653.348856,1.0
653.468458,1.0
653.58806,1.0
653.707662,1.0
653.827264,1.0
653.946866,1.0
654.066468,1.0
654.18607,1.0
654.305672,1.0
654.425274,1.0
654.544876,1.0
654.664478,1.0
654.78408,1.0
654.903682,1.0
655.023284,1.0
655.142886,1.0
655.262488,1.0
655.38209,1.0
655.501692,1.0
655.621294,1.0
655.740896,1.0
655.860498,1.0
655.9801,1.0
656.099702,1.0
656.219304,1.0
656.338906,1.0
656.458508,1.0
656.57811,1.0
656.697712,1.0
656.817314,1.0
656.936916,1.0
657.056518,1.0
657.17612,1.0
657.295722,1.0
657.415324,1.0
657.534926,1.0
657.654528,1.0
657.77413,1.0
657.893732,1.0
658.013334,1.0
658.132936,1.0
658.252538,1.0
658.37214,1.0
658.491742,1.0
658.611344,1.0
658.730946,1.0
658.850548,1.0
658.97015,1.0
659.089752,1.0
659.209354,1.0
659.328956,1.0
659.448558,1.0
659.56816,1.0
659.687762,1.0
659.807364,1.0
659.926966,1.0
660.046568,1.0
660.16617,1.0
660.285772,1.0
660.405374,1.0
660.524976,1.0
660.644578,1.0
660.76418,1.0
660.883782,1.0
661.003384,1.0
661.122986,1.0
661.242588,1.0
661.36219,1.0
661.481792,1.0
661.601394,1.0
661.720996,1.0
661.840598,1.0
661.9602,1.0
662.079802,1.0
662.199404,1.0
662.319006,1.0
662.438608,1.0
662.55821,1.0
662.677812,1.0
662.797414,1.0
662.917016,1.0
663.036618,1.0
663.15622,1.0
663.275822,1.0
663.395424,1.0
663.515026,1.0
663.634628,1.0
663.75423,1.0
663.873832,1.0
663.993434,1.0
664.113036,1.0
664.232638,1.0
664.35224,1.0
664.471842,1.0
664.591444,1.0
664.711046,1.0
664.830648,1.0
664.95025,1.0
665.069852,1.0
665.189454,1.0
665.309056,1.0
665.428658,1.0
665.54826,1.0
665.667862,1.0
665.787464,1.0
665.907066,1.0
666.026668,1.0
666.14627,1.0
666.265872,1.0
666.385474,1.0
666.505076,1.0
666.624678,1.0
666.74428,1.0
666.863882,1.0
666.983484,1.0
667.103086,1.0
667.222688,1.0
667.34229,1.0
667.461892,1.0
667.581494,1.0
667.701096,1.0
667.820698,1.0
667.9403,1.0
668.059902,1.0
668.179504,1.0
668.299106,1.0
668.418708,1.0
668.53831,1.0
668.657912,1.0
668.777514,1.0
668.897116,1.0
669.016718,1.0
669.13632,1.0
669.255922,1.0
669.375524,1.0
669.495126,1.0
669.614728,1.0
669.73433,1.0
669.853932,1.0
669.973534,1.0
670.093136,1.0
670.212738,1.0
670.33234,1.0
670.451942,1.0
670.571544,1.0
670.691146,1.0
670.810748,1.0
670.93035,1.0
671.049952,1.0
671.169554,1.0
671.289156,1.0
671.408758,1.0
671.52836,1.0
671.647962,1.0
671.767564,1.0
671.887166,1.0
672.006768,1.0
672.12637,1.0
672.245972,1.0
672.365574,1.0
672.485176,1.0
672.604778,1.0
672.72438,1.0
672.843982,1.0
672.963584,1.0
673.083186,1.0
673.202788,1.0
673.32239,1.0
673.441992,1.0
673.561594,1.0
673.681196,1.0
673.800798,1.0
673.9204,1.0
674.040002,1.0
674.159604,1.0
674.279206,1.0
674.398808,1.0
674.51841,1.0
674.638012,1.0
674.757614,1.0
674.877216,1.0
674.996818,1.0
675.11642,1.0
675.236022,1.0
675.355624,1.0
675.475226,1.0
675.594828,1.0
675.71443,1.0
675.834032,1.0
675.953634,1.0
676.073236,1.0
676.192838,1.0
676.31244,1.0
676.432042,1.0
676.551644,1.0
676.671246,1.0
676.790848,1.0
676.91045,1.0
677.030052,1.0
677.149654,1.0
677.269256,1.0
677.388858,1.0
677.50846,1.0
677.628062,1.0
677.747664,1.0
677.867266,1.0
677.986868,1.0
678.10647,1.0
678.226072,1.0
678.345674,1.0
678.465276,1.0
678.584878,1.0
678.70448,1.0
678.824082,1.0
678.943684,1.0
679.063286,1.0
679.182888,1.0
679.30249,1.0
679.422092,1.0
679.541694,1.0
679.661296,1.0
679.780898,1.0
679.9005,1.0
680.020102,1.0
680.139704,1.0
680.259306,1.0
680.378908,1.0
680.49851,1.0
680.618112,1.0
680.737714,1.0
680.857316,1.0
680.976918,1.0
681.09652,1.0
681.216122,1.0
681.335724,1.0
681.455326,1.0
681.574928,1.0
681.69453,1.0
681.814132,1.0
681.933734,1.0
682.053336,1.0
682.172938,1.0
682.29254,1.0
682.412142,1.0
682.531744,1.0
682.651346,1.0
682.770948,1.0
682.89055,1.0
683.010152,1.0
683.129754,1.0
683.249356,1.0
683.368958,1.0
683.48856,1.0
683.608162,1.0
683.727764,1.0
683.847366,1.0
683.966968,1.0
684.08657,1.0
684.206172,1.0
684.325774,1.0
684.445376,1.0
684.564978,1.0
684.68458,1.0
684.804182,1.0
684.923784,1.0
685.043386,1.0
685.162988,1.0
685.28259,1.0
685.402192,1.0
685.521794,1.0
685.641396,1.0
685.760998,1.0
685.8806,1.0
686.000202,1.0
686.119804,1.0
686.239406,1.0
686.359008,1.0
686.47861,1.0
686.598212,1.0
686.717814,1.0
686.837416,1.0
686.957018,1.0
687.07662,1.0
687.196222,1.0
687.315824,1.0
687.435426,1.0
687.555028,1.0
687.67463,1.0
687.794232,1.0
687.913834,1.0
688.033436,1.0
688.153038,1.0
688.27264,1.0
688.392242,1.0
688.511844,1.0
688.631446,1.0
688.751048,1.0
688.87065,1.0
688.990252,1.0
689.109854,1.0
689.229456,1.0
689.349058,1.0
689.46866,1.0
689.588262,1.0
689.707864,1.0
689.827466,1.0
689.947068,1.0
690.06667,1.0
690.186272,1.0
690.305874,1.0
690.425476,1.0
690.545078,1.0
690.66468,1.0
690.784282,1.0
690.903884,1.0
691.023486,1.0
691.143088,1.0
691.26269,1.0
691.382292,1.0
691.501894,1.0
691.621496,1.0
691.741098,1.0
691.8607,1.0
691.980302,1.0
692.099904,1.0
692.219506,1.0
692.339108,1.0
692.45871,1.0
692.578312,1.0
692.697914,1.0
692.817516,1.0
692.937118,1.0
693.05672,1.0
693.176322,1.0
693.295924,1.0
693.415526,1.0
693.535128,1.0
693.65473,1.0
693.774332,1.0
693.893934,1.0
694.013536,1.0
694.133138,1.0
694.25274,1.0
694.372342,1.0
694.491944,1.0
694.611546,1.0
694.731148,1.0
694.85075,1.0
694.970352,1.0
695.089954,1.0
695.209556,1.0
695.329158,1.0
695.44876,1.0
695.568362,1.0
695.687964,1.0
695.807566,1.0
695.927168,1.0
696.04677,1.0
696.166372,1.0
696.285974,1.0
696.405576,1.0
696.525178,1.0
696.64478,1.0
696.764382,1.0
696.883984,1.0
697.003586,1.0
697.123188,1.0
697.24279,1.0
697.362392,1.0
697.481994,1.0
697.601596,1.0
697.721198,1.0
697.8408,1.0
697.960402,1.0
698.080004,1.0
698.199606,1.0
698.319208,1.0
698.43881,1.0
698.558412,1.0
698.678014,1.0
698.797616,1.0
698.917218,1.0
699.03682,1.0
699.156422,1.0
699.276024,1.0
699.395626,1.0
699.515228,1.0
699.63483,1.0
699.754432,1.0
699.874034,1.0
699.993636,1.0
700.113238,1.0
700.23284,1.0
700.352442,1.0
700.472044,1.0
700.591646,1.0
700.711248,1.0
700.83085,1.0
700.950452,1.0
701.070054,1.0
701.189656,1.0
701.309258,1.0
701.42886,1.0
701.548462,1.0
701.668064,1.0
701.787666,1.0
701.907268,1.0
702.02687,1.0
702.146472,1.0
702.266074,1.0
702.385676,1.0
702.505278,1.0
702.62488,1.0
702.744482,1.0
702.864084,1.0
702.983686,1.0
703.103288,1.0
703.22289,1.0
703.342492,1.0
703.462094,1.0
703.581696,1.0
703.701298,1.0
703.8209,1.0
703.940502,1.0
704.060104,1.0
704.179706,1.0
704.299308,1.0
704.41891,1.0
704.538512,1.0
704.658114,1.0
704.777716,1.0
704.897318,1.0
705.01692,1.0
705.136522,1.0
705.256124,1.0
705.375726,1.0
705.495328,1.0
705.61493,1.0
705.734532,1.0
705.854134,1.0
705.973736,1.0
706.093338,1.0
706.21294,1.0
706.332542,1.0
706.452144,1.0
706.571746,1.0
706.691348,1.0
706.81095,1.0
706.930552,1.0
707.050154,1.0
707.169756,1.0
707.289358,1.0
707.40896,1.0
707.528562,1.0
707.648164,1.0
707.767766,1.0
707.887368,1.0
708.00697,1.0
708.126572,1.0
708.246174,1.0
708.365776,1.0
708.485378,1.0
708.60498,1.0
708.724582,1.0
708.844184,1.0
708.963786,1.0
709.083388,1.0
709.20299,1.0
709.322592,1.0
709.442194,1.0
709.561796,1.0
709.681398,1.0
709.801,1.0
709.920602,1.0
710.040204,1.0
710.159806,1.0
710.279408,1.0
710.39901,1.0
710.518612,1.0
710.638214,1.0
710.757816,1.0
710.877418,1.0
710.99702,1.0
711.116622,1.0
711.236224,1.0
711.355826,1.0
711.475428,1.0
711.59503,1.0
711.714632,1.0
711.834234,1.0
711.953836,1.0
712.073438,1.0
712.19304,1.0
712.312642,1.0
712.432244,1.0
712.551846,1.0
