nu,[1](Z)-HFC-1225ye-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
650.0179,1.0
650.078165,1.0
650.13843,1.0
650.198695,1.0
650.25896,1.0
650.319225,1.0
650.37949,1.0
650.439755,1.0
650.50002,1.0
650.560285,1.0
650.62055,1.0
650.680815,1.0
650.74108,1.0
650.801345,1.0
650.86161,1.0
650.921875,1.0
650.98214,1.0
651.042405,1.0
651.10267,1.0
651.162935,1.0
651.223199,1.0
651.283464,1.0
651.343729,1.0
651.403994,1.0
651.464259,1.0
651.524524,1.0
651.584789,1.0
651.645054,1.0
651.705319,1.0
651.765584,1.0
651.825849,1.0
651.886114,1.0
651.946379,1.0
652.006644,1.0
652.066909,1.0
652.127174,1.0
652.187439,1.0
652.247704,1.0
652.307969,1.0
652.368234,1.0
652.428499,1.0
652.488764,1.0
652.549029,1.0
652.609294,1.0
652.669559,1.0
652.729824,1.0
652.790089,1.0
652.850354,1.0
652.910619,1.0
652.970884,1.0
653.031149,1.0
653.091414,1.0
653.151679,1.0
653.211944,1.0
653.272209,1.0
653.332474,1.0
653.392739,1.0
653.453004,1.0
653.513269,1.0
653.573534,1.0
653.633798,1.0
653.694063,1.0
653.754328,1.0
653.814593,1.0
653.874858,1.0
653.935123,1.0
653.995388,1.0
654.055653,1.0
654.115918,1.0
654.176183,1.0
654.236448,1.0
654.296713,1.0
654.356978,1.0
654.417243,1.0
654.477508,1.0
654.537773,1.0
654.598038,1.0
654.658303,1.0
654.718568,1.0
654.778833,1.0
654.839098,1.0
654.899363,1.0
654.959628,1.0
655.019893,1.0
655.080158,1.0
655.140423,1.0
655.200688,1.0
655.260953,1.0
655.321218,1.0
655.381483,1.0
655.441748,1.0
655.502013,1.0
655.562278,1.0
655.622543,1.0
655.682808,1.0
655.743073,1.0
655.803338,1.0
655.863603,1.0
655.923868,1.0
655.984133,1.0
656.044397,1.0
656.104662,1.0
656.164927,1.0
656.225192,1.0
656.285457,1.0
656.345722,1.0
656.405987,1.0
656.466252,1.0
656.526517,1.0
656.586782,1.0
656.647047,1.0
656.707312,1.0
656.767577,1.0
656.827842,1.0
656.888107,1.0
656.948372,1.0
657.008637,1.0
657.068902,1.0
657.129167,1.0
657.189432,1.0
657.249697,1.0
657.309962,1.0
657.370227,1.0
657.430492,1.0
657.490757,1.0
657.551022,1.0
657.611287,1.0
657.671552,1.0
657.731817,1.0
657.792082,1.0
657.852347,1.0
657.912612,1.0
657.972877,1.0
658.033142,1.0
658.093407,1.0
658.153672,1.0
658.213937,1.0
658.274202,1.0
658.334467,1.0
658.394731,1.0
658.454996,1.0
658.515261,1.0
658.575526,1.0
658.635791,1.0
658.696056,1.0
658.756321,1.0
658.816586,1.0
658.876851,1.0
658.937116,1.0
658.997381,1.0
659.057646,1.0
659.117911,1.0
659.178176,1.0
659.238441,1.0
659.298706,1.0
659.358971,1.0
659.419236,1.0
659.479501,1.0
659.539766,1.0
659.600031,1.0
659.660296,1.0
659.720561,1.0
659.780826,1.0
659.841091,1.0
659.901356,1.0
659.961621,1.0
660.021886,1.0
660.082151,1.0
660.142416,1.0
660.202681,1.0
660.262946,1.0
660.323211,1.0
660.383476,1.0
660.443741,1.0
660.504006,1.0
660.564271,1.0
660.624536,1.0
660.684801,1.0
660.745066,1.0
660.80533,1.0
660.865595,1.0
660.92586,1.0
660.986125,1.0
661.04639,1.0
661.106655,1.0
661.16692,1.0
661.227185,1.0
661.28745,1.0
661.347715,1.0
661.40798,1.0
661.468245,1.0
661.52851,1.0
661.588775,1.0
661.64904,1.0
661.709305,1.0
661.76957,1.0
661.829835,1.0
661.8901,1.0
661.950365,1.0
662.01063,1.0
662.070895,1.0
662.13116,1.0
662.191425,1.0
662.25169,1.0
662.311955,1.0
662.37222,1.0
662.432485,1.0
662.49275,1.0
662.553015,1.0
662.61328,1.0
662.673545,1.0
662.73381,1.0
662.794075,1.0
662.85434,1.0
662.914605,1.0
662.97487,1.0
663.035135,1.0
663.0954,1.0
663.155665,1.0
663.215929,1.0
663.276194,1.0
663.336459,1.0
663.396724,1.0
663.456989,1.0
663.517254,1.0
663.577519,1.0
663.637784,1.0
663.698049,1.0
663.758314,1.0
663.818579,1.0
663.878844,1.0
663.939109,1.0
663.999374,1.0
664.059639,1.0
664.119904,1.0
664.180169,1.0
664.240434,1.0
664.300699,1.0
664.360964,1.0
664.421229,1.0
664.481494,1.0
664.541759,1.0
664.602024,1.0
664.662289,1.0
664.722554,1.0
664.782819,1.0
664.843084,1.0
664.903349,1.0
664.963614,1.0
665.023879,1.0
665.084144,1.0
665.144409,1.0
665.204674,1.0
665.264939,1.0
665.325204,1.0
665.385469,1.0
665.445734,1.0
665.505999,1.0
665.566263,1.0
665.626528,1.0
665.686793,1.0
665.747058,1.0
665.807323,1.0
665.867588,1.0
665.927853,1.0
665.988118,1.0
666.048383,1.0
666.108648,1.0
666.168913,1.0
666.229178,1.0
666.289443,1.0
666.349708,1.0
666.409973,1.0
666.470238,1.0
666.530503,1.0
666.590768,1.0
666.651033,1.0
666.711298,1.0
666.771563,1.0
666.831828,1.0
666.892093,1.0
666.952358,1.0
667.012623,1.0
667.072888,1.0
667.133153,1.0
667.193418,1.0
667.253683,1.0
667.313948,1.0
667.374213,1.0
667.434478,1.0
667.494743,1.0
667.555008,1.0
667.615273,1.0
667.675538,1.0
667.735803,1.0
667.796068,1.0
667.856333,1.0
667.916598,1.0
667.976862,1.0
668.037127,1.0
668.097392,1.0
668.157657,1.0
668.217922,1.0
668.278187,1.0
668.338452,1.0
668.398717,1.0
668.458982,1.0
668.519247,1.0
668.579512,1.0
668.639777,1.0
668.700042,1.0
668.760307,1.0
668.820572,1.0
668.880837,1.0
668.941102,1.0
669.001367,1.0
669.061632,1.0
669.121897,1.0
669.182162,1.0
669.242427,1.0
669.302692,1.0
669.362957,1.0
669.423222,1.0
669.483487,1.0
669.543752,1.0
669.604017,1.0
669.664282,1.0
669.724547,1.0
669.784812,1.0
669.845077,1.0
669.905342,1.0
669.965607,1.0
670.025872,1.0
670.086137,1.0
670.146402,1.0
670.206667,1.0
670.266932,1.0
670.327197,1.0
670.387461,1.0
670.447726,1.0
670.507991,1.0
670.568256,1.0
670.628521,1.0
670.688786,1.0
670.749051,1.0
670.809316,1.0
670.869581,1.0
670.929846,1.0
670.990111,1.0
671.050376,1.0
671.110641,1.0
671.170906,1.0
671.231171,1.0
671.291436,1.0
671.351701,1.0
671.411966,1.0
671.472231,1.0
671.532496,1.0
671.592761,1.0
671.653026,1.0
671.713291,1.0
671.773556,1.0
671.833821,1.0
671.894086,1.0
671.954351,1.0
672.014616,1.0
672.074881,1.0
672.135146,1.0
672.195411,1.0
672.255676,1.0
672.315941,1.0
672.376206,1.0
672.436471,1.0
672.496736,1.0
672.557001,1.0
672.617266,1.0
672.677531,1.0
672.737795,1.0
672.79806,1.0
672.858325,1.0
672.91859,1.0
672.978855,1.0
673.03912,1.0
673.099385,1.0
673.15965,1.0
673.219915,1.0
673.28018,1.0
673.340445,1.0
673.40071,1.0
673.460975,1.0
673.52124,1.0
673.581505,1.0
673.64177,1.0
673.702035,1.0
673.7623,1.0
673.822565,1.0
673.88283,1.0
673.943095,1.0
674.00336,1.0
674.063625,1.0
674.12389,1.0
674.184155,1.0
674.24442,1.0
674.304685,1.0
674.36495,1.0
674.425215,1.0
674.48548,1.0
674.545745,1.0
674.60601,1.0
674.666275,1.0
674.72654,1.0
674.786805,1.0
674.84707,1.0
674.907335,1.0
674.9676,1.0
675.027865,1.0
675.08813,1.0
675.148394,1.0
675.208659,1.0
675.268924,1.0
675.329189,1.0
675.389454,1.0
675.449719,1.0
675.509984,1.0
675.570249,1.0
675.630514,1.0
675.690779,1.0
675.751044,1.0
675.811309,1.0
675.871574,1.0
675.931839,1.0
675.992104,1.0
676.052369,1.0
676.112634,1.0
676.172899,1.0
676.233164,1.0
676.293429,1.0
676.353694,1.0
676.413959,1.0
676.474224,1.0
676.534489,1.0
676.594754,1.0
676.655019,1.0
676.715284,1.0
676.775549,1.0
676.835814,1.0
676.896079,1.0
676.956344,1.0
677.016609,1.0
677.076874,1.0
677.137139,1.0
677.197404,1.0
677.257669,1.0
677.317934,1.0
677.378199,1.0
677.438464,1.0
677.498728,1.0
677.558993,1.0
677.619258,1.0
677.679523,1.0
677.739788,1.0
677.800053,1.0
677.860318,1.0
677.920583,1.0
677.980848,1.0
678.041113,1.0
678.101378,1.0
678.161643,1.0
678.221908,1.0
678.282173,1.0
678.342438,1.0
678.402703,1.0
678.462968,1.0
678.523233,1.0
678.583498,1.0
678.643763,1.0
678.704028,1.0
678.764293,1.0
678.824558,1.0
678.884823,1.0
678.945088,1.0
679.005353,1.0
679.065618,1.0
679.125883,1.0
679.186148,1.0
679.246413,1.0
679.306678,1.0
679.366943,1.0
679.427208,1.0
679.487473,1.0
679.547738,1.0
679.608003,1.0
679.668268,1.0
679.728533,1.0
679.788798,1.0
679.849063,1.0
679.909327,1.0
679.969592,1.0
680.029857,1.0
680.090122,1.0
680.150387,1.0
680.210652,1.0
680.270917,1.0
680.331182,1.0
680.391447,1.0
680.451712,1.0
680.511977,1.0
680.572242,1.0
680.632507,1.0
680.692772,1.0
680.753037,1.0
680.813302,1.0
680.873567,1.0
680.933832,1.0
680.994097,1.0
681.054362,1.0
681.114627,1.0
681.174892,1.0
681.235157,1.0
681.295422,1.0
681.355687,1.0
681.415952,1.0
681.476217,1.0
681.536482,1.0
681.596747,1.0
681.657012,1.0
681.717277,1.0
681.777542,1.0
681.837807,1.0
681.898072,1.0
681.958337,1.0
682.018602,1.0
682.078867,1.0
682.139132,1.0
682.199397,1.0
682.259662,1.0
682.319926,1.0
682.380191,1.0
682.440456,1.0
682.500721,1.0
682.560986,1.0
682.621251,1.0
682.681516,1.0
682.741781,1.0
682.802046,1.0
682.862311,1.0
682.922576,1.0
682.982841,1.0
683.043106,1.0
683.103371,1.0
683.163636,1.0
683.223901,1.0
683.284166,1.0
683.344431,1.0
683.404696,1.0
683.464961,1.0
683.525226,1.0
683.585491,1.0
683.645756,1.0
683.706021,1.0
683.766286,1.0
683.826551,1.0
683.886816,1.0
683.947081,1.0
684.007346,1.0
684.067611,1.0
684.127876,1.0
684.188141,1.0
684.248406,1.0
684.308671,1.0
684.368936,1.0
684.429201,1.0
684.489466,1.0
684.549731,1.0
684.609996,1.0
684.67026,1.0
684.730525,1.0
684.79079,1.0
684.851055,1.0
684.91132,1.0
684.971585,1.0
685.03185,1.0
685.092115,1.0
685.15238,1.0
685.212645,1.0
685.27291,1.0
685.333175,1.0
685.39344,1.0
685.453705,1.0
685.51397,1.0
685.574235,1.0
685.6345,1.0
685.694765,1.0
685.75503,1.0
685.815295,1.0
685.87556,1.0
685.935825,1.0
685.99609,1.0
686.056355,1.0
686.11662,1.0
686.176885,1.0
686.23715,1.0
686.297415,1.0
686.35768,1.0
686.417945,1.0
686.47821,1.0
686.538475,1.0
686.59874,1.0
686.659005,1.0
686.71927,1.0
686.779535,1.0
686.8398,1.0
686.900065,1.0
686.96033,1.0
687.020595,1.0
687.080859,1.0
687.141124,1.0
687.201389,1.0
687.261654,1.0
687.321919,1.0
687.382184,1.0
687.442449,1.0
687.502714,1.0
