nu,[0]HFC-236fa-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
350.0189,1.0
350.139429,1.0
350.259959,1.0
350.380488,1.0
350.501018,1.0
350.621547,1.0
350.742077,1.0
350.862606,1.0
350.983135,1.0
351.103665,1.0
351.224194,1.0
351.344724,1.0
351.465253,1.0
351.585783,1.0
351.706312,1.0
351.826842,1.0
351.947371,1.0
352.0679,1.0
352.18843,1.0
352.308959,1.0
352.429489,1.0
352.550018,1.0
352.670548,1.0
352.791077,1.0
352.911606,1.0
353.032136,1.0
353.152665,1.0
353.273195,1.0
353.393724,1.0
353.514254,1.0
353.634783,1.0
353.755312,1.0
353.875842,1.0
353.996371,1.0
354.116901,1.0
354.23743,1.0
354.35796,1.0
354.478489,1.0
354.599018,1.0
354.719548,1.0
354.840077,1.0
354.960607,1.0
355.081136,1.0
355.201666,1.0
355.322195,1.0
355.442725,1.0
355.563254,1.0
355.683783,1.0
355.804313,1.0
355.924842,1.0
356.045372,1.0
356.165901,1.0
356.286431,1.0
356.40696,1.0
356.527489,1.0
356.648019,1.0
356.768548,1.0
356.889078,1.0
357.009607,1.0
357.130137,1.0
357.250666,1.0
357.371195,1.0
357.491725,1.0
357.612254,1.0
357.732784,1.0
357.853313,1.0
357.973843,1.0
358.094372,1.0
358.214902,1.0
358.335431,1.0
358.45596,1.0
358.57649,1.0
358.697019,1.0
358.817549,1.0
358.938078,1.0
359.058608,1.0
359.179137,1.0
359.299666,1.0
359.420196,1.0
359.540725,1.0
359.661255,1.0
359.781784,1.0
359.902314,1.0
360.022843,1.0
360.143372,1.0
360.263902,1.0
360.384431,1.0
360.504961,1.0
360.62549,1.0
360.74602,1.0
360.866549,1.0
360.987078,1.0
361.107608,1.0
361.228137,1.0
361.348667,1.0
361.469196,1.0
361.589726,1.0
361.710255,1.0
361.830785,1.0
361.951314,1.0
362.071843,1.0
362.192373,1.0
362.312902,1.0
362.433432,1.0
362.553961,1.0
362.674491,1.0
362.79502,1.0
362.915549,1.0
363.036079,1.0
363.156608,1.0
363.277138,1.0
363.397667,1.0
363.518197,1.0
363.638726,1.0
363.759255,1.0
363.879785,1.0
364.000314,1.0
364.120844,1.0
364.241373,1.0
364.361903,1.0
364.482432,1.0
364.602962,1.0
364.723491,1.0
364.84402,1.0
364.96455,1.0
365.085079,1.0
365.205609,1.0
365.326138,1.0
365.446668,1.0
365.567197,1.0
365.687726,1.0
365.808256,1.0
365.928785,1.0
366.049315,1.0
366.169844,1.0
366.290374,1.0
366.410903,1.0
366.531432,1.0
366.651962,1.0
366.772491,1.0
366.893021,1.0
367.01355,1.0
367.13408,1.0
367.254609,1.0
367.375138,1.0
367.495668,1.0
367.616197,1.0
367.736727,1.0
367.857256,1.0
367.977786,1.0
368.098315,1.0
368.218845,1.0
368.339374,1.0
368.459903,1.0
368.580433,1.0
368.700962,1.0
368.821492,1.0
368.942021,1.0
369.062551,1.0
369.18308,1.0
369.303609,1.0
369.424139,1.0
369.544668,1.0
369.665198,1.0
369.785727,1.0
369.906257,1.0
370.026786,1.0
370.147315,1.0
370.267845,1.0
370.388374,1.0
370.508904,1.0
370.629433,1.0
370.749963,1.0
370.870492,1.0
370.991022,1.0
371.111551,1.0
371.23208,1.0
371.35261,1.0
371.473139,1.0
371.593669,1.0
371.714198,1.0
371.834728,1.0
371.955257,1.0
372.075786,1.0
372.196316,1.0
372.316845,1.0
372.437375,1.0
372.557904,1.0
372.678434,1.0
372.798963,1.0
372.919492,1.0
373.040022,1.0
373.160551,1.0
373.281081,1.0
373.40161,1.0
373.52214,1.0
373.642669,1.0
373.763198,1.0
373.883728,1.0
374.004257,1.0
374.124787,1.0
374.245316,1.0
374.365846,1.0
374.486375,1.0
374.606905,1.0
374.727434,1.0
374.847963,1.0
374.968493,1.0
375.089022,1.0
375.209552,1.0
375.330081,1.0
375.450611,1.0
375.57114,1.0
375.691669,1.0
375.812199,1.0
375.932728,1.0
376.053258,1.0
376.173787,1.0
376.294317,1.0
376.414846,1.0
376.535375,1.0
376.655905,1.0
376.776434,1.0
376.896964,1.0
377.017493,1.0
377.138023,1.0
377.258552,1.0
377.379082,1.0
377.499611,1.0
377.62014,1.0
377.74067,1.0
377.861199,1.0
377.981729,1.0
378.102258,1.0
378.222788,1.0
378.343317,1.0
378.463846,1.0
378.584376,1.0
378.704905,1.0
378.825435,1.0
378.945964,1.0
379.066494,1.0
379.187023,1.0
379.307552,1.0
379.428082,1.0
379.548611,1.0
379.669141,1.0
379.78967,1.0
379.9102,1.0
380.030729,1.0
380.151258,1.0
380.271788,1.0
380.392317,1.0
380.512847,1.0
380.633376,1.0
380.753906,1.0
380.874435,1.0
380.994965,1.0
381.115494,1.0
381.236023,1.0
381.356553,1.0
381.477082,1.0
381.597612,1.0
381.718141,1.0
381.838671,1.0
381.9592,1.0
382.079729,1.0
382.200259,1.0
382.320788,1.0
382.441318,1.0
382.561847,1.0
382.682377,1.0
382.802906,1.0
382.923435,1.0
383.043965,1.0
383.164494,1.0
383.285024,1.0
383.405553,1.0
383.526083,1.0
383.646612,1.0
383.767142,1.0
383.887671,1.0
384.0082,1.0
384.12873,1.0
384.249259,1.0
384.369789,1.0
384.490318,1.0
384.610848,1.0
384.731377,1.0
384.851906,1.0
384.972436,1.0
385.092965,1.0
385.213495,1.0
385.334024,1.0
385.454554,1.0
385.575083,1.0
385.695612,1.0
385.816142,1.0
385.936671,1.0
386.057201,1.0
386.17773,1.0
386.29826,1.0
386.418789,1.0
386.539318,1.0
386.659848,1.0
386.780377,1.0
386.900907,1.0
387.021436,1.0
387.141966,1.0
387.262495,1.0
387.383025,1.0
387.503554,1.0
387.624083,1.0
387.744613,1.0
387.865142,1.0
387.985672,1.0
388.106201,1.0
388.226731,1.0
388.34726,1.0
388.467789,1.0
388.588319,1.0
388.708848,1.0
388.829378,1.0
388.949907,1.0
389.070437,1.0
389.190966,1.0
389.311495,1.0
389.432025,1.0
389.552554,1.0
