nu,[0]HFE-263fb1-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
500,1.0
500.241054,1.0
500.482108,1.0
500.723162,1.0
500.964216,1.0
501.20527,1.0
501.446324,1.0
501.687378,1.0
501.928432,1.0
502.169486,1.0
502.41054,1.0
502.651594,1.0
502.892648,1.0
503.133702,1.0
503.374756,1.0
503.61581,1.0
503.856864,1.0
504.097918,1.0
504.338972,1.0
504.580026,1.0
504.82108,1.0
505.062134,1.0
505.303188,1.0
505.544242,1.0
505.785296,1.0
506.02635,1.0
506.267404,1.0
506.508458,1.0
506.749512,1.0
506.990566,1.0
507.23162,1.0
507.472674,1.0
507.713728,1.0
507.954782,1.0
508.195836,1.0
508.43689,1.0
508.677944,1.0
508.918998,1.0
509.160052,1.0
509.401106,1.0
509.64216,1.0
509.883214,1.0
510.124268,1.0
510.365322,1.0
510.606376,1.0
510.84743,1.0
511.088484,1.0
511.329538,1.0
511.570592,1.0
511.811646,1.0
512.0527,1.0
512.293754,1.0
512.534808,1.0
512.775862,1.0
513.016916,1.0
513.25797,1.0
513.499024,1.0
513.740078,1.0
513.981132,1.0
514.222186,1.0
514.46324,1.0
514.704294,1.0
514.945348,1.0
515.186402,1.0
515.427456,1.0
515.66851,1.0
515.909564,1.0
516.150618,1.0
516.391672,1.0
516.632726,1.0
516.87378,1.0
517.114834,1.0
517.355888,1.0
517.596942,1.0
517.837996,1.0
518.07905,1.0
518.320104,1.0
518.561158,1.0
518.802212,1.0
519.043266,1.0
519.28432,1.0
519.525374,1.0
519.766428,1.0
520.007482,1.0
520.248536,1.0
520.48959,1.0
520.730644,1.0
520.971698,1.0
521.212752,1.0
521.453806,1.0
521.69486,1.0
521.935914,1.0
522.176968,1.0
522.418022,1.0
522.659076,1.0
522.90013,1.0
523.141184,1.0
523.382238,1.0
523.623292,1.0
523.864346,1.0
524.1054,1.0
524.346454,1.0
524.587508,1.0
524.828562,1.0
525.069616,1.0
525.31067,1.0
525.551724,1.0
525.792778,1.0
526.033832,1.0
526.274886,1.0
526.51594,1.0
526.756994,1.0
526.998048,1.0
527.239102,1.0
527.480156,1.0
527.72121,1.0
527.962264,1.0
528.203318,1.0
528.444372,1.0
528.685426,1.0
528.92648,1.0
529.167534,1.0
529.408588,1.0
529.649642,1.0
529.890696,1.0
530.13175,1.0
530.372804,1.0
530.613858,1.0
530.854912,1.0
531.095966,1.0
531.33702,1.0
531.578074,1.0
531.819128,1.0
532.060182,1.0
532.301236,1.0
532.54229,1.0
532.783344,1.0
533.024398,1.0
533.265452,1.0
533.506506,1.0
533.74756,1.0
533.988614,1.0
534.229668,1.0
534.470722,1.0
534.711776,1.0
534.95283,1.0
535.193884,1.0
535.434938,1.0
535.675992,1.0
535.917046,1.0
536.1581,1.0
536.399154,1.0
536.640208,1.0
536.881262,1.0
537.122316,1.0
537.36337,1.0
537.604424,1.0
537.845478,1.0
538.086532,1.0
538.327586,1.0
538.56864,1.0
538.809694,1.0
539.050748,1.0
539.291802,1.0
539.532856,1.0
539.77391,1.0
540.014964,1.0
540.256018,1.0
540.497072,1.0
540.738126,1.0
540.97918,1.0
541.220234,1.0
541.461288,1.0
541.702342,1.0
541.943396,1.0
542.18445,1.0
542.425504,1.0
542.666558,1.0
542.907612,1.0
543.148666,1.0
543.38972,1.0
543.630774,1.0
543.871828,1.0
544.112882,1.0
544.353936,1.0
544.59499,1.0
544.836044,1.0
545.077098,1.0
545.318152,1.0
545.559206,1.0
545.80026,1.0
546.041314,1.0
546.282368,1.0
546.523422,1.0
546.764476,1.0
547.00553,1.0
547.246584,1.0
547.487638,1.0
547.728692,1.0
547.969746,1.0
548.2108,1.0
548.451854,1.0
548.692908,1.0
548.933962,1.0
549.175016,1.0
549.41607,1.0
549.657124,1.0
549.898178,1.0
550.139232,1.0
550.380286,1.0
550.62134,1.0
550.862394,1.0
551.103448,1.0
551.344502,1.0
551.585556,1.0
551.82661,1.0
552.067664,1.0
552.308718,1.0
552.549772,1.0
552.790826,1.0
553.03188,1.0
553.272934,1.0
553.513988,1.0
553.755042,1.0
553.996096,1.0
554.23715,1.0
554.478204,1.0
554.719258,1.0
554.960312,1.0
555.201366,1.0
555.44242,1.0
555.683474,1.0
555.924528,1.0
556.165582,1.0
556.406636,1.0
556.64769,1.0
556.888744,1.0
557.129798,1.0
557.370852,1.0
557.611906,1.0
557.85296,1.0
558.094014,1.0
558.335068,1.0
558.576122,1.0
558.817176,1.0
559.05823,1.0
559.299284,1.0
559.540338,1.0
559.781392,1.0
560.022446,1.0
560.2635,1.0
560.504554,1.0
560.745608,1.0
560.986662,1.0
561.227716,1.0
561.46877,1.0
561.709824,1.0
561.950878,1.0
562.191932,1.0
562.432986,1.0
562.67404,1.0
562.915094,1.0
563.156148,1.0
563.397202,1.0
563.638256,1.0
563.87931,1.0
564.120364,1.0
564.361418,1.0
564.602472,1.0
564.843526,1.0
565.08458,1.0
565.325634,1.0
565.566688,1.0
565.807742,1.0
566.048796,1.0
566.28985,1.0
566.530904,1.0
566.771958,1.0
567.013012,1.0
567.254066,1.0
567.49512,1.0
567.736174,1.0
567.977228,1.0
568.218282,1.0
568.459336,1.0
568.70039,1.0
568.941444,1.0
569.182498,1.0
569.423552,1.0
569.664606,1.0
569.90566,1.0
570.146714,1.0
570.387768,1.0
570.628822,1.0
570.869876,1.0
571.11093,1.0
571.351984,1.0
571.593038,1.0
571.834092,1.0
572.075146,1.0
572.3162,1.0
572.557254,1.0
572.798308,1.0
573.039362,1.0
573.280416,1.0
573.52147,1.0
573.762524,1.0
574.003578,1.0
574.244632,1.0
574.485686,1.0
574.72674,1.0
574.967794,1.0
575.208848,1.0
575.449902,1.0
575.690956,1.0
575.93201,1.0
576.173064,1.0
576.414118,1.0
576.655172,1.0
576.896226,1.0
577.13728,1.0
577.378334,1.0
577.619388,1.0
577.860442,1.0
578.101496,1.0
578.34255,1.0
578.583604,1.0
578.824658,1.0
579.065712,1.0
579.306766,1.0
579.54782,1.0
579.788874,1.0
580.029928,1.0
580.270982,1.0
580.512036,1.0
580.75309,1.0
580.994144,1.0
581.235198,1.0
581.476252,1.0
581.717306,1.0
581.95836,1.0
582.199414,1.0
582.440468,1.0
582.681522,1.0
582.922576,1.0
583.16363,1.0
583.404684,1.0
583.645738,1.0
583.886792,1.0
584.127846,1.0
584.3689,1.0
584.609954,1.0
584.851008,1.0
585.092062,1.0
585.333116,1.0
585.57417,1.0
585.815224,1.0
586.056278,1.0
586.297332,1.0
586.538386,1.0
586.77944,1.0
587.020494,1.0
587.261548,1.0
587.502602,1.0
587.743656,1.0
587.98471,1.0
588.225764,1.0
588.466818,1.0
588.707872,1.0
588.948926,1.0
589.18998,1.0
589.431034,1.0
589.672088,1.0
589.913142,1.0
590.154196,1.0
590.39525,1.0
590.636304,1.0
590.877358,1.0
591.118412,1.0
591.359466,1.0
591.60052,1.0
591.841574,1.0
592.082628,1.0
592.323682,1.0
592.564736,1.0
592.80579,1.0
593.046844,1.0
593.287898,1.0
593.528952,1.0
593.770006,1.0
594.01106,1.0
594.252114,1.0
594.493168,1.0
594.734222,1.0
594.975276,1.0
595.21633,1.0
595.457384,1.0
595.698438,1.0
595.939492,1.0
596.180546,1.0
596.4216,1.0
596.662654,1.0
596.903708,1.0
597.144762,1.0
597.385816,1.0
597.62687,1.0
597.867924,1.0
598.108978,1.0
598.350032,1.0
598.591086,1.0
598.83214,1.0
599.073194,1.0
599.314248,1.0
599.555302,1.0
599.796356,1.0
600.03741,0.9818615189215524
600.278464,0.9936225229842564
600.519518,0.9824066033114804
600.760572,0.992048977932738
601.001626,0.9842286903897334
601.24268,0.9990746484020919
601.483734,0.9961836010322282
601.724788,0.9855040921882126
601.965842,0.9719956012450437
602.206896,0.9821571037220286
602.44795,0.982964768766144
602.689004,0.9806967407312098
602.930058,0.9979834360027912
603.171112,0.9839925038475587
603.412166,0.9916075151874825
603.65322,0.9813491209561793
603.894274,1.0
604.135328,0.9886093701032377
604.376382,0.9846342761551045
604.617436,0.9853355853961897
604.85849,0.9995296406536567
605.099544,0.9904937725910943
605.340598,0.9830758500609895
605.581652,0.9870012234352812
605.822706,0.9984212475428742
606.06376,0.985555339733431
606.304814,1.0
606.545868,1.0
606.786922,0.9928505795754586
607.027976,0.9911217465280816
607.26903,0.9820245214625299
607.510084,1.0
607.751138,0.9870466265358225
607.992192,0.9812166477669917
608.233246,0.9985794099946205
608.4743,0.9904850562842472
608.715354,0.989613318031275
608.956408,1.0
609.197462,0.9884729514232689
609.438516,0.9990285122001219
609.67957,0.9984956326966288
609.920624,0.9958894714452143
610.161678,1.0
610.402732,0.9944897374972766
610.643786,0.9882683586984018
610.88484,0.9920717953216295
611.125894,0.9833462330957196
611.366948,0.9865847967911934
611.608002,0.9861064191806973
611.849056,0.9972794075376659
612.09011,0.9940255186191694
612.331164,0.9964815044632804
612.572218,0.9878227501609071
612.813272,0.9957747515860946
613.054326,0.9904486071048451
613.29538,0.9907795712689638
613.536434,0.9939826770425595
613.777488,0.9799320955238379
614.018542,0.9894698345029677
614.259596,0.9864230101513867
614.50065,0.9913458644905525
614.741704,0.9857169840636201
614.982758,0.9893036175333875
615.223812,0.9923698584557854
615.464866,0.9880559038409973
615.70592,0.9902929208210707
615.946974,0.989340222444423
616.188028,0.9934494490159328
616.429082,0.9989790215535209
616.670136,0.9857455702706559
616.91119,0.9928210923511327
617.152244,0.9905921335062512
617.393298,1.0
617.634352,0.9984280368304411
617.875406,0.9925543571610956
618.11646,0.9945526906901078
618.357514,0.9798458652936176
618.598568,0.9874494237244881
618.839622,0.9999208431330702
619.080676,0.9945336949151258
619.32173,0.9909695219189641
619.562784,0.9924968899275085
619.803838,1.0
620.044892,0.9862020761426455
620.285946,0.9928612031334961
620.527,0.9850006282430978
620.768054,0.9863490311998706
621.009108,0.9898132401129678
621.250162,0.9924099510079311
621.491216,0.9953094352201092
621.73227,0.9941009680193011
621.973324,0.9950027281181666
622.214378,0.9880559038409973
622.455432,0.98340425223502
622.696486,0.9861074052876095
622.93754,0.992215854604761
623.178594,0.9862809754646678
623.419648,0.9984347263206976
623.660702,0.9800820366046532
623.901756,0.9981408304008709
624.14281,0.9933998771252559
624.383864,0.9979422201379977
624.624918,0.9951535819661821
624.865972,0.9996269695931497
625.107026,0.9799771734370161
625.34808,0.9851277015201914
625.589134,0.9918422564668617
625.830188,0.9780162436853735
626.071242,0.9937758507684872
626.312296,0.9921514618853635
626.55335,0.9841873536528146
626.794404,0.9933443476241886
627.035458,0.9790662183255036
627.276512,0.9921310237757619
627.517566,0.9834917791083571
627.75862,1.0
627.999674,0.9940841678549034
628.240728,0.983382617579453
628.481782,0.9862799891841854
628.722836,0.9867367425494222
628.96389,0.9868413421878154
629.204944,0.9954801454262312
629.445998,0.9877871891820028
629.687052,0.9953282467462032
629.928106,0.9811136254277436
630.16916,0.9854360947517902
630.410214,0.9939678668110081
630.651268,0.9938370692464042
630.892322,0.9876676741629163
631.133376,0.9929747929523484
631.37443,0.9889119308599242
631.615484,0.9940335702584793
631.856538,0.98409189210947
632.097592,0.9859072458012115
632.338646,0.9908196986541742
632.5797,0.9857317699292747
632.820754,0.9882772531536551
633.061808,0.973183132714591
633.302862,0.9873862289836229
633.543916,0.995229415558351
633.78497,0.9940803903422428
634.026024,0.9852794228684694
634.267078,0.996155509050778
634.508132,0.9852784375895391
634.749186,0.9833560666072181
634.99024,0.9867485834613782
635.231294,0.9961989423778123
635.472348,0.9922981127086591
635.713402,0.9874089391280553
635.954456,0.9792689060101486
636.19551,0.9911553461247988
636.436564,0.9878978275428237
636.677618,0.9846805550536294
636.918672,0.992922762436409
637.159726,0.9874602857278899
637.40078,0.9808850525827895
637.641834,0.989570765573484
637.882888,0.9813196809241533
638.123942,0.9862533599839732
638.364996,0.9937163253778294
638.60605,0.9842080218042562
638.847104,0.9904113669373374
639.088158,0.9882317934455913
639.329212,0.9829667346976475
639.570266,0.9845358176504962
639.81132,0.9842109744327505
640.052374,0.9825186040481786
640.293428,0.9906522642737053
640.534482,0.9878770819062753
640.775536,0.9886340856464333
641.01659,0.9799918732048656
641.257644,0.9809272315468918
641.498698,0.9816955983455382
641.739752,0.9715719035357134
641.980806,0.9897399966432412
642.22186,0.9857485275118025
642.462914,0.9787236051098999
642.703968,0.9915559529373228
642.945022,0.9794177661969496
643.186076,0.9714640650395682
643.42713,0.977421790541281
643.668184,0.9731695082461045
643.909238,0.9840761467651593
644.150292,0.9750017627862761
644.391346,0.9780866633899978
644.6324,0.9783057793426677
644.873454,0.972019901438826
645.114508,0.9651497580448906
645.355562,0.9665463741050844
645.596616,0.9691624830326864
645.83767,0.9767622534514753
646.078724,0.964038545704822
646.319778,0.9616583855098941
646.560832,0.9639026258524523
646.801886,0.9595930410219602
647.04294,0.9562537234930799
