nu,[0]1-Butanol-2-2-3-4-4-4-hexafluoro--HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
400.1569,1.0
400.639017,1.0
401.121133,1.0
401.60325,1.0
402.085367,1.0
402.567483,1.0
403.0496,1.0
403.531717,1.0
404.013833,1.0
404.49595,1.0
404.978067,1.0
405.460184,1.0
405.9423,1.0
406.424417,1.0
406.906534,1.0
407.38865,1.0
407.870767,1.0
408.352884,1.0
408.835,1.0
409.317117,1.0
409.799234,1.0
410.28135,1.0
410.763467,1.0
411.245584,1.0
411.7277,1.0
412.209817,1.0
412.691934,1.0
413.174051,1.0
413.656167,1.0
414.138284,1.0
414.620401,1.0
415.102517,1.0
415.584634,1.0
416.066751,1.0
416.548867,1.0
417.030984,1.0
417.513101,1.0
417.995217,1.0
418.477334,1.0
418.959451,1.0
419.441567,1.0
419.923684,1.0
420.405801,1.0
420.887918,1.0
421.370034,1.0
421.852151,1.0
422.334268,1.0
422.816384,1.0
423.298501,1.0
423.780618,1.0
424.262734,1.0
424.744851,1.0
425.226968,1.0
425.709084,1.0
426.191201,1.0
426.673318,1.0
427.155434,1.0
427.637551,1.0
428.119668,1.0
428.601785,1.0
429.083901,1.0
429.566018,1.0
430.048135,1.0
430.530251,1.0
431.012368,1.0
431.494485,1.0
431.976601,1.0
432.458718,1.0
432.940835,1.0
433.422951,1.0
433.905068,1.0
434.387185,1.0
434.869301,1.0
435.351418,1.0
435.833535,1.0
436.315652,1.0
436.797768,1.0
437.279885,1.0
437.762002,1.0
438.244118,1.0
438.726235,1.0
439.208352,1.0
439.690468,1.0
440.172585,1.0
440.654702,1.0
441.136818,1.0
441.618935,1.0
442.101052,1.0
442.583168,1.0
443.065285,1.0
443.547402,1.0
444.029518,1.0
444.511635,1.0
444.993752,1.0
445.475869,1.0
445.957985,1.0
446.440102,1.0
446.922219,1.0
447.404335,1.0
447.886452,1.0
448.368569,1.0
448.850685,1.0
449.332802,1.0
449.814919,1.0
450.297035,0.9999886750641276
450.779152,0.999988650064411
451.261269,0.9999883100683278
451.743385,0.9999882370691838
452.225502,0.99998826206889
452.707619,0.9999881400703295
453.189736,0.999987897073241
453.671852,0.9999876540762116
454.153969,0.9999874840783248
454.636086,0.9999875080780247
455.118202,0.9999879940720717
455.600319,0.9999888690619494
456.082436,0.9999891360590131
456.564552,0.9999883100683278
457.046669,0.9999878480738352
457.528786,0.9999883830674771
458.010902,0.999987897073241
458.493019,0.9999858071007202
458.975136,0.9999851021109747
459.457252,0.9999865850899807
459.939369,0.9999875810771155
460.421486,0.9999875080780247
460.903603,0.9999875080780247
461.385719,0.9999873870795436
461.867836,0.9999870460839027
462.349953,0.9999868520864346
462.832069,0.9999871680823298
463.314186,0.9999881890697496
463.796303,0.9999887960627646
464.278419,0.9999884070671986
464.760536,0.9999879700723602
465.242653,0.9999875810771155
465.724769,0.9999866090896591
466.206886,0.9999857831010611
466.689003,0.9999861470959523
467.171119,0.99998680308708
467.653236,0.9999868520864346
468.135353,0.9999868520864346
468.61747,0.9999873870795436
469.099586,0.9999876300765081
469.581703,0.99998680308708
470.06382,0.9999854671056035
470.545936,0.9999847861157323
471.028053,0.9999852721084564
471.51017,0.9999864870913002
471.992286,0.999987144082638
472.474403,0.9999861470959523
472.95652,0.9999844461209628
473.438636,0.9999840811267066
473.920753,0.9999848101153674
474.40287,0.9999847621160978
474.884986,0.9999838141309926
475.367103,0.999983061143464
475.84922,0.9999828661467861
476.331337,0.9999826231509792
476.813453,0.9999817971656736
477.29557,0.9999807521852415
477.777687,0.999979950201
478.259803,0.9999794152118696
478.74192,0.9999796822064092
479.224037,0.9999804121918436
479.706153,0.9999803871923336
480.18827,0.9999795122098777
480.670387,0.9999782002376183
481.152503,0.999976693271606
481.63462,0.9999758182923822
482.116737,0.9999758182923822
482.598853,0.9999763532795881
483.08097,0.9999770582631656
483.563087,0.9999772762581881
484.045203,0.9999765722744335
484.52732,0.9999754543012506
485.009437,0.9999744823255814
485.491554,0.9999744823255814
485.97367,0.9999754543012506
486.455787,0.9999765962738715
486.937904,0.999977447254317
487.42002,0.9999773492565319
