nu,[0]1-Ethoxy-1-1-2-3-3-3-hexafluoropropane-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
400.156817,1.0
400.638933,1.0
401.12105,1.0
401.603167,1.0
402.085284,1.0
402.5674,1.0
403.049517,1.0
403.531634,1.0
404.01375,1.0
404.495867,1.0
404.977984,1.0
405.4601,1.0
405.942217,1.0
406.424334,1.0
406.906451,1.0
407.388567,1.0
407.870684,1.0
408.352801,1.0
408.834917,1.0
409.317034,1.0
409.799151,1.0
410.281267,1.0
410.763384,1.0
411.245501,1.0
411.727618,1.0
412.209734,1.0
412.691851,1.0
413.173968,1.0
413.656084,1.0
414.138201,1.0
414.620318,1.0
415.102434,1.0
415.584551,1.0
416.066668,1.0
416.548785,1.0
417.030901,1.0
417.513018,1.0
417.995135,1.0
418.477251,1.0
418.959368,1.0
419.441485,1.0
419.923601,1.0
420.405718,1.0
420.887835,1.0
421.369952,1.0
421.852068,1.0
422.334185,1.0
422.816302,1.0
423.298418,1.0
423.780535,1.0
424.262652,1.0
424.744768,1.0
425.226885,1.0
425.709002,1.0
426.191119,1.0
426.673235,1.0
427.155352,1.0
427.637469,1.0
428.119585,1.0
428.601702,1.0
429.083819,1.0
429.565935,1.0
430.048052,1.0
430.530169,1.0
431.012286,1.0
431.494402,1.0
431.976519,1.0
432.458636,1.0
432.940752,1.0
433.422869,1.0
433.904986,1.0
434.387102,1.0
434.869219,1.0
435.351336,1.0
435.833453,1.0
436.315569,1.0
436.797686,1.0
437.279803,1.0
437.761919,1.0
438.244036,1.0
438.726153,1.0
439.208269,1.0
439.690386,1.0
440.172503,1.0
440.65462,1.0
441.136736,1.0
441.618853,1.0
442.10097,1.0
442.583086,1.0
443.065203,1.0
443.54732,1.0
444.029436,1.0
444.511553,1.0
444.99367,1.0
445.475787,1.0
445.957903,1.0
446.44002,1.0
446.922137,1.0
447.404253,1.0
447.88637,1.0
448.368487,1.0
448.850603,1.0
449.33272,1.0
449.814837,1.0
450.296954,1.0
450.77907,1.0
451.261187,1.0
451.743304,1.0
452.22542,1.0
452.707537,1.0
453.189654,1.0
453.67177,1.0
454.153887,1.0
454.636004,1.0
455.118121,1.0
455.600237,1.0
456.082354,1.0
456.564471,1.0
457.046587,1.0
457.528704,1.0
458.010821,1.0
458.492937,1.0
458.975054,1.0
459.457171,1.0
459.939288,1.0
460.421404,1.0
460.903521,1.0
461.385638,1.0
461.867754,1.0
462.349871,1.0
462.831988,1.0
463.314104,1.0
463.796221,1.0
464.278338,1.0
464.760455,1.0
465.242571,1.0
465.724688,1.0
466.206805,1.0
466.688921,1.0
467.171038,1.0
467.653155,1.0
468.135271,1.0
468.617388,1.0
469.099505,1.0
469.581622,1.0
470.063738,1.0
470.545855,1.0
471.027972,1.0
471.510088,1.0
471.992205,1.0
472.474322,1.0
472.956438,1.0
473.438555,1.0
473.920672,1.0
474.402789,1.0
474.884905,1.0
475.367022,1.0
475.849139,1.0
476.331255,1.0
476.813372,1.0
477.295489,1.0
477.777605,1.0
478.259722,1.0
478.741839,1.0
479.223956,1.0
479.706072,1.0
480.188189,1.0
480.670306,1.0
481.152422,1.0
481.634539,1.0
482.116656,1.0
482.598772,1.0
483.080889,1.0
483.563006,1.0
484.045123,1.0
484.527239,1.0
485.009356,1.0
485.491473,1.0
485.973589,1.0
486.455706,1.0
486.937823,1.0
487.419939,1.0
487.902056,1.0
488.384173,1.0
488.86629,1.0
489.348406,1.0
489.830523,1.0
490.31264,1.0
490.794756,1.0
491.276873,1.0
491.75899,1.0
492.241106,1.0
492.723223,1.0
493.20534,1.0
493.687457,1.0
494.169573,1.0
494.65169,1.0
495.133807,1.0
495.615923,1.0
496.09804,1.0
496.580157,1.0
497.062273,1.0
497.54439,1.0
498.026507,1.0
498.508624,1.0
498.99074,1.0
499.472857,1.0
499.954974,1.0
500.43709,1.0
500.919207,1.0
501.401324,1.0
501.88344,1.0
502.365557,1.0
502.847674,1.0
503.329791,1.0
503.811907,1.0
504.294024,1.0
504.776141,1.0
505.258257,1.0
505.740374,1.0
506.222491,1.0
506.704607,1.0
507.186724,1.0
507.668841,1.0
508.150958,1.0
508.633074,1.0
509.115191,1.0
509.597308,1.0
510.079424,1.0
510.561541,1.0
511.043658,1.0
511.525774,1.0
512.007891,1.0
512.490008,1.0
512.972125,1.0
513.454241,1.0
513.936358,1.0
514.418475,1.0
514.900591,1.0
515.382708,1.0
515.864825,1.0
516.346941,1.0
516.829058,1.0
517.311175,1.0
517.793292,1.0
518.275408,1.0
518.757525,1.0
519.239642,1.0
519.721758,1.0
520.203875,1.0
520.685992,1.0
521.168108,1.0
521.650225,1.0
522.132342,1.0
522.614459,1.0
523.096575,1.0
523.578692,1.0
524.060809,1.0
524.542925,1.0
525.025042,1.0
525.507159,1.0
525.989275,1.0
526.471392,1.0
526.953509,1.0
527.435626,1.0
527.917742,1.0
528.399859,1.0
528.881976,1.0
529.364092,1.0
529.846209,1.0
530.328326,1.0
530.810442,1.0
531.292559,1.0
531.774676,1.0
532.256793,1.0
532.738909,1.0
533.221026,1.0
533.703143,1.0
534.185259,1.0
534.667376,1.0
535.149493,1.0
535.63161,1.0
536.113726,1.0
536.595843,1.0
537.07796,1.0
537.560076,1.0
538.042193,1.0
538.52431,1.0
539.006426,1.0
539.488543,1.0
539.97066,1.0
540.452777,1.0
540.934893,1.0
541.41701,1.0
541.899127,1.0
542.381243,1.0
542.86336,1.0
543.345477,1.0
543.827593,1.0
544.30971,1.0
544.791827,1.0
545.273944,1.0
545.75606,1.0
546.238177,1.0
546.720294,1.0
547.20241,1.0
547.684527,1.0
548.166644,1.0
548.64876,1.0
549.130877,1.0
549.612994,1.0
550.095111,1.0
550.577227,1.0
551.059344,1.0
551.541461,1.0
552.023577,1.0
552.505694,1.0
552.987811,1.0
553.469927,1.0
553.952044,1.0
554.434161,1.0
554.916278,1.0
555.398394,1.0
555.880511,1.0
556.362628,1.0
556.844744,1.0
557.326861,1.0
557.808978,1.0
558.291094,1.0
558.773211,1.0
559.255328,1.0
559.737445,1.0
560.219561,1.0
560.701678,1.0
561.183795,1.0
561.665911,1.0
562.148028,1.0
562.630145,1.0
563.112261,1.0
563.594378,1.0
564.076495,1.0
564.558612,1.0
565.040728,1.0
565.522845,1.0
566.004962,1.0
566.487078,1.0
566.969195,1.0
567.451312,1.0
567.933428,1.0
568.415545,1.0
568.897662,1.0
569.379779,1.0
569.861895,1.0
570.344012,1.0
570.826129,1.0
571.308245,1.0
571.790362,1.0
572.272479,1.0
572.754595,1.0
573.236712,1.0
573.718829,1.0
574.200946,1.0
574.683062,1.0
575.165179,1.0
575.647296,1.0
576.129412,1.0
576.611529,1.0
577.093646,1.0
577.575762,1.0
578.057879,1.0
578.539996,1.0
579.022113,1.0
579.504229,1.0
579.986346,1.0
580.468463,1.0
580.950579,1.0
581.432696,1.0
581.914813,1.0
582.396929,1.0
582.879046,1.0
583.361163,1.0
583.84328,1.0
584.325396,1.0
584.807513,1.0
585.28963,1.0
585.771746,1.0
586.253863,1.0
586.73598,1.0
587.218096,1.0
587.700213,1.0
588.18233,1.0
588.664447,1.0
589.146563,1.0
589.62868,1.0
590.110797,1.0
590.592913,1.0
591.07503,1.0
591.557147,1.0
592.039263,1.0
592.52138,1.0
593.003497,1.0
593.485614,1.0
593.96773,1.0
594.449847,1.0
594.931964,1.0
595.41408,1.0
595.896197,1.0
596.378314,1.0
596.86043,1.0
597.342547,1.0
597.824664,1.0
598.306781,1.0
598.788897,1.0
599.271014,1.0
599.753131,1.0
600.235247,1.0
600.717364,1.0
601.199481,1.0
601.681597,1.0
602.163714,1.0
602.645831,1.0
603.127948,1.0
603.610064,1.0
604.092181,1.0
604.574298,1.0
605.056414,1.0
605.538531,1.0
606.020648,1.0
606.502764,1.0
606.984881,1.0
607.466998,1.0
607.949115,1.0
608.431231,1.0
608.913348,1.0
609.395465,1.0
609.877581,1.0
610.359698,1.0
610.841815,1.0
611.323931,1.0
611.806048,1.0
612.288165,1.0
612.770282,1.0
613.252398,1.0
613.734515,1.0
614.216632,1.0
614.698748,1.0
615.180865,1.0
615.662982,1.0
616.145098,1.0
616.627215,1.0
617.109332,1.0
617.591449,1.0
618.073565,1.0
618.555682,1.0
619.037799,1.0
619.519915,1.0
620.002032,1.0
620.484149,1.0
620.966265,1.0
621.448382,1.0
621.930499,1.0
622.412616,1.0
622.894732,1.0
623.376849,1.0
623.858966,1.0
624.341082,1.0
624.823199,1.0
625.305316,1.0
625.787432,1.0
626.269549,1.0
626.751666,1.0
627.233783,1.0
627.715899,1.0
628.198016,1.0
628.680133,1.0
629.162249,1.0
629.644366,1.0
630.126483,1.0
630.608599,1.0
631.090716,1.0
631.572833,1.0
632.05495,1.0
632.537066,1.0
633.019183,1.0
633.5013,1.0
633.983416,1.0
634.465533,1.0
634.94765,1.0
635.429766,1.0
635.911883,1.0
636.394,1.0
636.876117,1.0
637.358233,1.0
637.84035,1.0
638.322467,1.0
638.804583,1.0
639.2867,1.0
639.768817,1.0
640.250933,1.0
640.73305,1.0
641.215167,1.0
641.697284,1.0
642.1794,1.0
642.661517,1.0
643.143634,1.0
643.62575,1.0
644.107867,1.0
644.589984,1.0
645.0721,1.0
645.554217,1.0
646.036334,1.0
646.518451,1.0
647.000567,1.0
647.482684,1.0
647.964801,1.0
648.446917,1.0
648.929034,1.0
649.411151,1.0
649.893267,1.0
650.375384,1.0
650.857501,1.0
651.339618,1.0
651.821734,1.0
652.303851,1.0
652.785968,1.0
653.268084,1.0
653.750201,1.0
654.232318,1.0
654.714434,1.0
655.196551,1.0
655.678668,1.0
656.160785,1.0
656.642901,1.0
657.125018,1.0
657.607135,1.0
658.089251,1.0
658.571368,1.0
659.053485,1.0
659.535601,1.0
660.017718,1.0
660.499835,1.0
660.981952,1.0
661.464068,1.0
661.946185,1.0
662.428302,1.0
662.910418,1.0
663.392535,1.0
663.874652,1.0
664.356768,1.0
664.838885,1.0
665.321002,1.0
