nu,[0]HFE-227ea-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
400.1569,1.0
400.639017,1.0
401.121133,1.0
401.60325,1.0
402.085367,1.0
402.567483,1.0
403.0496,1.0
403.531717,1.0
404.013833,1.0
404.49595,1.0
404.978067,1.0
405.460184,1.0
405.9423,1.0
406.424417,1.0
406.906534,1.0
407.38865,1.0
407.870767,1.0
408.352884,1.0
408.835,1.0
409.317117,1.0
409.799234,1.0
410.28135,1.0
410.763467,1.0
411.245584,1.0
411.7277,1.0
412.209817,1.0
412.691934,1.0
413.17405,1.0
413.656167,1.0
414.138284,1.0
414.620401,1.0
415.102517,1.0
415.584634,1.0
416.066751,1.0
416.548867,1.0
417.030984,1.0
417.513101,1.0
417.995217,1.0
418.477334,1.0
418.959451,1.0
419.441567,1.0
419.923684,1.0
420.405801,1.0
420.887917,1.0
421.370034,1.0
421.852151,1.0
422.334267,1.0
422.816384,1.0
423.298501,1.0
423.780618,1.0
424.262734,1.0
424.744851,1.0
425.226968,1.0
425.709084,1.0
426.191201,1.0
426.673318,1.0
427.155434,1.0
427.637551,1.0
428.119668,1.0
428.601784,1.0
429.083901,1.0
429.566018,1.0
430.048134,1.0
430.530251,1.0
431.012368,1.0
431.494484,1.0
431.976601,1.0
432.458718,1.0
432.940835,1.0
433.422951,1.0
433.905068,1.0
434.387185,1.0
434.869301,1.0
435.351418,1.0
435.833535,1.0
436.315651,1.0
436.797768,1.0
437.279885,1.0
437.762001,1.0
438.244118,1.0
438.726235,1.0
439.208351,1.0
439.690468,1.0
440.172585,1.0
440.654701,1.0
441.136818,1.0
441.618935,1.0
442.101051,1.0
442.583168,1.0
443.065285,1.0
443.547402,1.0
444.029518,1.0
444.511635,1.0
444.993752,1.0
445.475868,1.0
445.957985,1.0
446.440102,1.0
446.922218,1.0
447.404335,1.0
447.886452,1.0
448.368568,1.0
448.850685,1.0
449.332802,1.0
449.814918,1.0
450.297035,1.0
450.779152,1.0
451.261268,1.0
451.743385,1.0
452.225502,1.0
452.707619,1.0
453.189735,1.0
453.671852,1.0
454.153969,1.0
454.636085,1.0
455.118202,1.0
455.600319,1.0
456.082435,1.0
456.564552,1.0
457.046669,1.0
457.528785,1.0
458.010902,1.0
458.493019,1.0
458.975135,1.0
459.457252,1.0
459.939369,1.0
460.421485,1.0
460.903602,1.0
461.385719,1.0
461.867836,1.0
462.349952,1.0
462.832069,1.0
463.314186,1.0
463.796302,1.0
464.278419,1.0
464.760536,1.0
465.242652,1.0
465.724769,1.0
466.206886,1.0
466.689002,1.0
467.171119,1.0
467.653236,1.0
468.135352,1.0
468.617469,1.0
469.099586,1.0
469.581702,1.0
470.063819,1.0
470.545936,1.0
471.028053,1.0
471.510169,1.0
471.992286,1.0
472.474403,1.0
472.956519,1.0
473.438636,1.0
473.920753,1.0
474.402869,1.0
474.884986,1.0
475.367103,1.0
475.849219,1.0
476.331336,1.0
476.813453,1.0
477.295569,1.0
477.777686,1.0
478.259803,1.0
478.741919,1.0
479.224036,1.0
479.706153,1.0
480.18827,1.0
480.670386,1.0
481.152503,1.0
481.63462,1.0
482.116736,1.0
482.598853,1.0
483.08097,1.0
483.563086,1.0
484.045203,1.0
484.52732,1.0
485.009436,0.9999972537037711
485.491553,0.9999985418010632
485.97367,0.999995917108335
486.455786,0.9999964760062093
486.937903,0.999999465330143
487.42002,0.9999985904009935
487.902136,0.9999999756970003
488.384253,0.9999973752034448
488.86637,0.9999969378046886
489.348487,0.9999986390009261
489.830603,0.9999998784800074
490.31272,1.0
490.794837,0.9999992223003024
491.276953,0.9999980314019377
491.75907,0.9999973995033813
492.241187,0.9999968892048385
492.723303,0.9999971079041822
493.20542,0.9999981530017057
493.687537,0.9999990521704492
494.169653,0.9999995868400854
494.65177,0.9999990278704726
495.133887,0.9999973752034448
495.616003,0.9999964274063817
496.09812,0.9999966705055428
496.580237,0.9999960386078464
497.062353,0.9999942401165882
497.54447,0.9999940457177268
498.026587,0.9999956983092523
498.508704,0.999996208707187
498.99082,0.9999952852111147
499.472937,0.9999953581107736
499.955054,0.9999968892048385
500.43717,0.9999982988014471
