nu,[0]HFE-263m1-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
450.297,1.0
450.779117,1.0
451.261233,1.0
451.74335,1.0
452.225467,1.0
452.707583,1.0
453.1897,1.0
453.671817,1.0
454.153934,1.0
454.63605,1.0
455.118167,1.0
455.600284,1.0
456.0824,1.0
456.564517,1.0
457.046634,1.0
457.52875,1.0
458.010867,1.0
458.492984,1.0
458.9751,1.0
459.457217,1.0
459.939334,1.0
460.42145,1.0
460.903567,1.0
461.385684,1.0
461.867801,1.0
462.349917,1.0
462.832034,1.0
463.314151,1.0
463.796267,1.0
464.278384,1.0
464.760501,1.0
465.242617,1.0
465.724734,1.0
466.206851,1.0
466.688967,1.0
467.171084,1.0
467.653201,1.0
468.135318,1.0
468.617434,1.0
469.099551,1.0
469.581668,1.0
470.063784,1.0
470.545901,1.0
471.028018,1.0
471.510134,1.0
471.992251,1.0
472.474368,1.0
472.956484,1.0
473.438601,1.0
473.920718,1.0
474.402835,1.0
474.884951,1.0
475.367068,1.0
475.849185,1.0
476.331301,1.0
476.813418,1.0
477.295535,1.0
477.777651,1.0
478.259768,1.0
478.741885,1.0
479.224001,1.0
479.706118,1.0
480.188235,1.0
480.670351,1.0
481.152468,1.0
481.634585,1.0
482.116702,1.0
482.598818,1.0
483.080935,1.0
483.563052,1.0
484.045168,1.0
484.527285,1.0
485.009402,1.0
485.491518,1.0
485.973635,1.0
486.455752,1.0
486.937868,1.0
487.419985,1.0
487.902102,1.0
488.384219,1.0
488.866335,1.0
489.348452,1.0
489.830569,1.0
490.312685,1.0
490.794802,1.0
491.276919,1.0
491.759035,1.0
492.241152,1.0
492.723269,1.0
493.205385,1.0
493.687502,1.0
494.169619,1.0
494.651735,1.0
495.133852,1.0
495.615969,1.0
496.098086,1.0
496.580202,1.0
497.062319,1.0
497.544436,1.0
498.026552,1.0
498.508669,1.0
498.990786,1.0
499.472902,1.0
499.955019,1.0
500.437136,1.0
500.919252,1.0
501.401369,1.0
501.883486,1.0
502.365603,1.0
502.847719,1.0
503.329836,1.0
503.811953,1.0
504.294069,1.0
504.776186,1.0
505.258303,1.0
505.740419,1.0
506.222536,1.0
506.704653,1.0
507.186769,1.0
507.668886,1.0
508.151003,1.0
508.633119,1.0
509.115236,1.0
509.597353,1.0
510.07947,1.0
510.561586,1.0
511.043703,1.0
511.52582,1.0
512.007936,1.0
512.490053,1.0
512.97217,1.0
513.454286,1.0
513.936403,1.0
514.41852,1.0
514.900636,1.0
515.382753,1.0
515.86487,1.0
516.346987,1.0
516.829103,1.0
517.31122,1.0
517.793337,1.0
518.275453,1.0
518.75757,1.0
519.239687,1.0
519.721803,1.0
520.20392,1.0
520.686037,1.0
521.168153,1.0
521.65027,1.0
522.132387,1.0
522.614504,1.0
523.09662,1.0
523.578737,1.0
524.060854,1.0
524.54297,1.0
525.025087,1.0
525.507204,1.0
525.98932,1.0
526.471437,1.0
526.953554,1.0
527.43567,1.0
527.917787,1.0
528.399904,1.0
528.88202,1.0
529.364137,1.0
529.846254,1.0
530.328371,1.0
530.810487,1.0
531.292604,1.0
531.774721,1.0
532.256837,1.0
532.738954,1.0
533.221071,1.0
533.703187,1.0
534.185304,1.0
534.667421,1.0
535.149537,1.0
535.631654,1.0
536.113771,1.0
536.595888,1.0
537.078004,1.0
537.560121,1.0
538.042238,1.0
538.524354,1.0
539.006471,1.0
539.488588,1.0
539.970704,1.0
540.452821,1.0
540.934938,1.0
541.417054,1.0
541.899171,1.0
542.381288,1.0
542.863404,1.0
543.345521,1.0
543.827638,1.0
544.309755,1.0
544.791871,1.0
545.273988,1.0
545.756105,1.0
546.238221,1.0
546.720338,1.0
547.202455,1.0
547.684571,1.0
548.166688,1.0
548.648805,1.0
549.130921,1.0
549.613038,1.0
550.095155,0.9999991736903414
550.577272,0.9999995455301033
551.059388,0.999999385130189
551.541505,0.9999990570304446
552.023622,0.9999991323703764
552.505738,0.9999995358101077
552.987855,0.9999999027870047
553.469972,0.9999998371700133
553.952088,0.9999993827001905
554.434205,0.9999992247303006
554.916322,0.9999994118601729
555.398438,0.9999994094301744
555.880555,0.9999991858403314
556.362672,0.9999989890005111
556.844788,0.9999989987005014
557.326905,0.9999991858403314
557.809022,0.9999992733302641
558.291139,0.9999990983504065
558.773255,0.9999988553006551
559.255372,0.9999987994007207
559.737489,0.9999989501005512
560.219605,0.9999989307005717
560.701722,0.9999986001009799
561.183839,0.9999984956011316
561.665955,0.9999988820006249
562.148072,0.9999993486702121
562.630189,0.9999994847701328
563.112305,0.9999992101403119
563.594422,0.9999987557007741
564.076539,0.9999984738011647
564.558656,0.9999984810011536
565.040772,0.9999986099009662
565.522889,0.9999987241008139
566.005006,0.9999988699006386
566.487122,0.9999990375904632
566.969239,0.9999990278704726
567.451356,0.9999987946007265
567.933472,0.9999985880009968
568.415589,0.9999985758010141
568.897706,0.9999985588010385
569.379822,0.9999984397012173
569.861939,0.9999983741013218
570.344056,0.9999982259015737
570.826173,0.9999980071019858
571.308289,0.999998012001976
571.790406,0.9999981724016701
572.272523,0.9999983206014101
572.754639,0.9999982769014846
573.236756,0.9999979731020542
573.718873,0.9999977544025214
574.200989,0.9999977228025928
574.683106,0.999997499203127
575.165223,0.9999969913045261
575.647339,0.9999966802055106
576.129456,0.9999968260050371
576.611573,0.9999969402046812
577.093689,0.9999965635059047
577.575806,0.9999961139075508
578.057923,0.9999959900080401
578.54004,0.9999959608081576
579.022156,0.9999958417086457
579.504273,0.9999956497094625
579.98639,0.9999955233100204
580.468506,0.9999955792097717
580.950623,0.999995647309473
581.43274,0.9999954699102609
581.914856,0.9999951709116601
582.396973,0.9999950737121341
582.87909,0.9999948574132231
583.361206,0.999994040817756
583.843323,0.9999930541241228
584.32544,0.9999924976281429
584.807557,0.9999922691298834
585.289673,0.9999920966312318
585.77179,0.9999919775321802
586.253907,0.9999918292333809
586.736023,0.9999916883345421
587.21814,0.9999917247342403
587.700257,0.9999917758338186
588.182373,0.9999917952336593
588.66449,0.9999919094327289
589.146607,0.9999919070327482
589.628723,0.9999917515340188
590.11084,0.9999917320341798
590.592957,0.9999918876329055
591.075073,0.9999919775321802
591.55719,0.9999920528315789
592.039307,0.9999922351301468
592.521424,0.9999922375301281
593.00354,0.9999919605323166
593.485657,0.9999917976336395
593.967774,0.9999920407316751
594.44989,0.9999925438277973
594.932007,0.9999930177243762
595.414124,0.9999933385221877
595.89624,0.9999935353208961
596.378357,0.9999934697213224
596.860474,0.9999931611233852
597.34259,0.9999922691298834
597.824707,0.9999905679444822
598.306824,0.9999900697493053
598.788941,0.9999922789298076
599.271057,0.9999946460143326
599.753174,0.9999950737121341
600.235291,0.9999947213139323
600.717407,0.9999946533142936
601.199524,0.9999946727141901
601.681641,0.9999947894135751
602.163757,0.999995217111438
602.645874,0.9999958271087065
603.127991,0.9999963302067337
603.610107,0.9999966899054784
604.092224,0.9999969888045337
604.574341,0.9999971249041331
605.056458,0.999997078704267
605.538574,0.9999972100038921
606.020691,0.9999975721029474
606.502808,0.9999978637022819
606.984924,0.99999812380176
607.467041,0.9999984786011573
607.949158,0.9999986633008934
608.431274,0.9999985734010176
608.913391,0.9999985418010632
609.395508,0.9999986560009032
609.877624,0.9999986390009261
610.359741,0.9999986001009799
610.841858,0.9999987411007925
611.323974,0.9999988893006169
611.806091,0.9999988723006359
612.288208,0.9999987387007955
612.770325,0.999998422701244
613.252441,0.9999980533018948
613.734558,0.9999979561020887
614.216675,0.9999979877020246
614.698791,0.9999979731020542
615.180908,0.9999980606018807
615.663025,0.9999982550015225
616.145141,0.9999982866014678
616.627258,0.9999980023019954
617.109375,0.9999976742027047
617.591491,0.9999976669027216
618.073608,0.9999978540023027
618.555725,0.9999979439021137
619.037842,0.9999979221021589
619.519958,0.9999978370023392
620.002075,0.9999977471025377
620.484192,0.999997713102615
620.966308,0.9999977981024242
621.448425,0.9999979731020542
621.930542,0.9999979731020542
622.412658,0.9999977665024943
622.894775,0.9999976645027273
623.376892,0.9999977519025269
623.859008,0.9999978783022508
624.341125,0.9999978686022715
624.823242,0.9999976912026652
625.305358,0.9999975843029179
625.787475,0.9999977690024887
626.269592,0.999998063001876
626.751709,0.9999981894016391
627.233825,0.9999981700016745
627.715942,0.9999981724016701
628.198059,0.9999981408017283
628.680175,0.9999980849018338
629.162292,0.9999981627016878
629.644409,0.9999982210015824
630.126525,0.9999981918016347
630.608642,0.9999983061014347
631.090759,0.9999984835011498
631.572875,0.999998449501202
632.054992,0.9999983328013897
632.537109,0.9999984324012287
633.019226,0.9999986244009461
633.501342,0.9999986001009799
633.983459,0.9999984665011759
634.465576,0.9999984956011316
634.947692,0.9999987314008046
635.429809,0.9999990716204309
635.911926,0.9999992174303062
636.394042,0.9999989720005283
636.876159,0.9999985953009866
637.358276,0.999998566101028
637.840392,0.9999987703007561
638.322509,0.9999987678007591
638.804626,0.9999987241008139
639.286742,0.9999989039006008
639.768859,0.9999990375904632
640.250976,0.9999989744005259
640.733093,0.999998959800541
641.215209,0.9999991032104021
641.697326,0.9999992514602801
642.179443,0.999999300070245
642.661559,0.9999992757602623
643.143676,0.9999992466002838
643.625793,0.9999994167201701
