nu,[0]HFC-236cb-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
300.0592,1.0
300.179729,1.0
300.300257,1.0
300.420786,1.0
300.541314,1.0
300.661843,1.0
300.782371,1.0
300.9029,1.0
301.023428,1.0
301.143957,1.0
301.264485,1.0
301.385014,1.0
301.505543,1.0
301.626071,1.0
301.7466,1.0
301.867128,1.0
301.987657,1.0
302.108185,1.0
302.228714,1.0
302.349242,1.0
302.469771,1.0
302.590299,1.0
302.710828,1.0
302.831357,1.0
302.951885,1.0
303.072414,1.0
303.192942,1.0
303.313471,1.0
303.433999,1.0
303.554528,1.0
303.675056,1.0
303.795585,1.0
303.916113,1.0
304.036642,1.0
304.157171,1.0
304.277699,1.0
304.398228,1.0
304.518756,1.0
304.639285,1.0
304.759813,1.0
304.880342,1.0
305.00087,1.0
305.121399,1.0
305.241928,1.0
305.362456,1.0
305.482985,1.0
305.603513,1.0
305.724042,1.0
305.84457,1.0
305.965099,1.0
306.085627,1.0
306.206156,1.0
306.326684,1.0
306.447213,1.0
306.567742,1.0
306.68827,1.0
306.808799,1.0
306.929327,1.0
307.049856,1.0
307.170384,1.0
307.290913,1.0
307.411441,1.0
307.53197,1.0
307.652498,1.0
307.773027,1.0
307.893556,1.0
308.014084,1.0
308.134613,1.0
308.255141,1.0
308.37567,1.0
308.496198,1.0
308.616727,1.0
308.737255,1.0
308.857784,1.0
308.978312,1.0
309.098841,1.0
309.21937,1.0
309.339898,1.0
309.460427,1.0
309.580955,1.0
309.701484,1.0
309.822012,1.0
309.942541,1.0
310.063069,1.0
310.183598,1.0
310.304126,1.0
310.424655,1.0
310.545184,1.0
310.665712,1.0
310.786241,1.0
310.906769,1.0
311.027298,1.0
311.147826,1.0
311.268355,1.0
311.388883,1.0
311.509412,1.0
311.62994,1.0
311.750469,1.0
311.870998,1.0
311.991526,1.0
312.112055,1.0
312.232583,1.0
312.353112,1.0
312.47364,1.0
312.594169,1.0
312.714697,1.0
312.835226,1.0
312.955754,1.0
313.076283,1.0
313.196812,1.0
313.31734,1.0
313.437869,1.0
313.558397,1.0
313.678926,1.0
313.799454,1.0
313.919983,1.0
314.040511,1.0
314.16104,1.0
314.281569,1.0
314.402097,1.0
314.522626,1.0
314.643154,1.0
314.763683,1.0
314.884211,1.0
315.00474,1.0
315.125268,1.0
315.245797,1.0
315.366325,1.0
315.486854,1.0
315.607383,1.0
315.727911,1.0
315.84844,1.0
315.968968,1.0
316.089497,1.0
316.210025,1.0
316.330554,1.0
316.451082,1.0
316.571611,1.0
316.692139,1.0
316.812668,1.0
316.933197,1.0
317.053725,1.0
317.174254,1.0
317.294782,1.0
317.415311,1.0
317.535839,1.0
317.656368,1.0
317.776896,1.0
317.897425,1.0
318.017953,1.0
318.138482,1.0
318.259011,1.0
318.379539,1.0
318.500068,1.0
318.620596,1.0
318.741125,1.0
318.861653,1.0
318.982182,1.0
319.10271,1.0
319.223239,1.0
319.343767,1.0
319.464296,1.0
319.584825,1.0
319.705353,1.0
319.825882,1.0
319.94641,1.0
320.066939,1.0
320.187467,1.0
320.307996,1.0
320.428524,1.0
320.549053,1.0
320.669581,1.0
320.79011,1.0
320.910639,1.0
321.031167,1.0
321.151696,1.0
321.272224,1.0
321.392753,1.0
321.513281,1.0
321.63381,1.0
321.754338,1.0
321.874867,1.0
321.995395,1.0
322.115924,1.0
322.236453,1.0
322.356981,1.0
322.47751,1.0
322.598038,1.0
322.718567,1.0
322.839095,1.0
322.959624,1.0
323.080152,1.0
323.200681,1.0
323.321209,1.0
323.441738,1.0
323.562267,1.0
323.682795,1.0
323.803324,1.0
323.923852,1.0
324.044381,1.0
324.164909,1.0
324.285438,1.0
324.405966,1.0
324.526495,1.0
324.647024,1.0
324.767552,1.0
324.888081,1.0
325.008609,1.0
325.129138,1.0
325.249666,1.0
325.370195,1.0
325.490723,1.0
325.611252,1.0
325.73178,1.0
325.852309,1.0
325.972838,1.0
326.093366,1.0
326.213895,1.0
326.334423,1.0
326.454952,1.0
326.57548,1.0
326.696009,1.0
326.816537,1.0
326.937066,1.0
327.057594,1.0
327.178123,1.0
327.298652,1.0
327.41918,1.0
327.539709,1.0
327.660237,1.0
327.780766,1.0
327.901294,1.0
328.021823,1.0
328.142351,1.0
328.26288,1.0
328.383408,1.0
328.503937,1.0
328.624466,1.0
328.744994,1.0
328.865523,1.0
328.986051,1.0
329.10658,1.0
329.227108,1.0
329.347637,1.0
329.468165,1.0
329.588694,1.0
329.709222,1.0
329.829751,1.0
329.95028,1.0
330.070808,1.0
330.191337,1.0
330.311865,1.0
330.432394,1.0
330.552922,1.0
330.673451,1.0
330.793979,1.0
330.914508,1.0
331.035036,1.0
331.155565,1.0
331.276094,1.0
331.396622,1.0
331.517151,1.0
331.637679,1.0
331.758208,1.0
331.878736,1.0
331.999265,1.0
332.119793,1.0
332.240322,1.0
332.36085,1.0
332.481379,1.0
332.601908,1.0
332.722436,1.0
332.842965,1.0
332.963493,1.0
333.084022,1.0
333.20455,1.0
333.325079,1.0
333.445607,1.0
333.566136,1.0
333.686665,1.0
333.807193,1.0
333.927722,1.0
334.04825,1.0
334.168779,1.0
334.289307,1.0
334.409836,1.0
334.530364,1.0
334.650893,1.0
334.771421,1.0
334.89195,1.0
335.012479,1.0
335.133007,1.0
335.253536,1.0
335.374064,1.0
335.494593,1.0
335.615121,1.0
335.73565,1.0
335.856178,1.0
335.976707,1.0
336.097235,1.0
336.217764,1.0
336.338293,1.0
