nu,[0]HFC-143-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
350.0189,1.0
350.139429,1.0
350.259958,1.0
350.380487,1.0
350.501016,1.0
350.621545,1.0
350.742074,1.0
350.862603,1.0
350.983132,1.0
351.103661,1.0
351.22419,1.0
351.344719,1.0
351.465248,1.0
351.585777,1.0
351.706306,1.0
351.826835,1.0
351.947364,1.0
352.067893,1.0
352.188422,1.0
352.308951,1.0
352.42948,1.0
352.550009,1.0
352.670538,1.0
352.791067,1.0
352.911596,1.0
353.032125,1.0
353.152654,1.0
353.273183,1.0
353.393712,1.0
353.514241,1.0
353.63477,1.0
353.755299,1.0
353.875828,1.0
353.996357,1.0
354.116886,1.0
354.237415,1.0
354.357944,1.0
354.478473,1.0
354.599002,1.0
354.719531,1.0
354.84006,1.0
354.960589,1.0
355.081118,1.0
355.201647,1.0
355.322176,1.0
355.442705,1.0
355.563234,1.0
355.683763,1.0
355.804292,1.0
355.924821,1.0
356.04535,1.0
356.165879,1.0
356.286408,1.0
356.406937,1.0
356.527466,1.0
356.647995,1.0
356.768524,1.0
356.889053,1.0
357.009582,1.0
357.130111,1.0
357.25064,1.0
357.371169,1.0
357.491698,1.0
357.612227,1.0
357.732756,1.0
357.853285,1.0
357.973814,1.0
358.094343,1.0
358.214872,1.0
358.335401,1.0
358.45593,1.0
358.576459,1.0
358.696988,1.0
358.817517,1.0
358.938046,1.0
359.058575,1.0
359.179103,1.0
359.299632,1.0
359.420161,1.0
359.54069,1.0
359.661219,1.0
359.781748,1.0
359.902277,1.0
360.022806,1.0
360.143335,1.0
360.263864,1.0
360.384393,1.0
360.504922,1.0
360.625451,1.0
360.74598,1.0
360.866509,1.0
360.987038,1.0
361.107567,1.0
361.228096,1.0
361.348625,1.0
361.469154,1.0
361.589683,1.0
361.710212,1.0
361.830741,1.0
361.95127,1.0
362.071799,1.0
362.192328,1.0
362.312857,1.0
362.433386,1.0
362.553915,1.0
362.674444,1.0
362.794973,1.0
362.915502,1.0
363.036031,1.0
363.15656,1.0
363.277089,1.0
363.397618,1.0
363.518147,1.0
363.638676,1.0
363.759205,1.0
363.879734,1.0
364.000263,1.0
364.120792,1.0
364.241321,1.0
364.36185,1.0
364.482379,1.0
364.602908,1.0
364.723437,1.0
364.843966,1.0
364.964495,1.0
365.085024,1.0
365.205553,1.0
365.326082,1.0
365.446611,1.0
365.56714,1.0
365.687669,1.0
365.808198,1.0
365.928727,1.0
366.049256,1.0
366.169785,1.0
366.290314,1.0
366.410843,1.0
366.531372,1.0
366.651901,1.0
366.77243,1.0
366.892959,1.0
367.013488,1.0
367.134017,1.0
367.254546,1.0
367.375075,1.0
367.495604,1.0
367.616133,1.0
367.736662,1.0
367.857191,1.0
367.97772,1.0
368.098249,1.0
368.218778,1.0
368.339307,1.0
368.459836,1.0
368.580365,1.0
368.700894,1.0
368.821423,1.0
368.941952,1.0
369.062481,1.0
369.18301,1.0
369.303539,1.0
369.424068,1.0
369.544597,1.0
369.665126,1.0
369.785655,1.0
369.906184,1.0
370.026713,1.0
370.147242,1.0
370.267771,1.0
370.3883,1.0
370.508829,1.0
370.629358,1.0
370.749887,1.0
370.870416,1.0
370.990945,1.0
371.111474,1.0
371.232003,1.0
371.352532,1.0
371.473061,1.0
371.59359,1.0
371.714119,1.0
371.834648,1.0
371.955177,1.0
372.075706,1.0
372.196235,1.0
372.316764,1.0
372.437293,1.0
372.557822,1.0
372.678351,1.0
372.79888,1.0
372.919409,1.0
373.039938,1.0
373.160467,1.0
373.280996,1.0
373.401525,1.0
373.522054,1.0
373.642583,1.0
373.763112,1.0
373.883641,1.0
374.00417,1.0
374.124699,1.0
374.245228,1.0
374.365757,1.0
374.486286,1.0
374.606815,1.0
374.727344,1.0
374.847873,1.0
374.968402,1.0
375.088931,1.0
375.20946,1.0
375.329989,1.0
375.450518,1.0
375.571047,1.0
375.691576,1.0
375.812105,1.0
375.932634,1.0
376.053163,1.0
376.173692,1.0
376.294221,1.0
376.41475,1.0
376.535279,1.0
376.655808,1.0
376.776337,1.0
376.896866,1.0
377.017395,1.0
377.137924,1.0
377.258453,1.0
377.378981,1.0
377.49951,1.0
377.620039,1.0
377.740568,1.0
377.861097,1.0
377.981626,1.0
378.102155,1.0
378.222684,1.0
378.343213,1.0
378.463742,1.0
378.584271,1.0
378.7048,1.0
378.825329,1.0
378.945858,1.0
379.066387,1.0
379.186916,1.0
379.307445,1.0
379.427974,1.0
379.548503,1.0
379.669032,1.0
379.789561,1.0
379.91009,1.0
380.030619,1.0
380.151148,1.0
380.271677,1.0
380.392206,1.0
380.512735,1.0
380.633264,1.0
380.753793,1.0
380.874322,1.0
380.994851,1.0
381.11538,1.0
381.235909,1.0
381.356438,1.0
381.476967,1.0
381.597496,1.0
381.718025,1.0
381.838554,1.0
381.959083,1.0
382.079612,1.0
382.200141,1.0
382.32067,1.0
382.441199,1.0
382.561728,1.0
382.682257,1.0
382.802786,1.0
382.923315,1.0
383.043844,1.0
383.164373,1.0
383.284902,1.0
383.405431,1.0
383.52596,1.0
383.646489,1.0
383.767018,1.0
383.887547,1.0
384.008076,1.0
384.128605,1.0
384.249134,1.0
384.369663,1.0
384.490192,1.0
384.610721,1.0
384.73125,1.0
384.851779,1.0
384.972308,1.0
385.092837,1.0
385.213366,1.0
385.333895,1.0
385.454424,1.0
385.574953,1.0
385.695482,1.0
385.816011,1.0
385.93654,1.0
386.057069,1.0
386.177598,1.0
386.298127,1.0
386.418656,1.0
386.539185,1.0
386.659714,1.0
386.780243,1.0
386.900772,1.0
387.021301,1.0
387.14183,1.0
387.262359,1.0
387.382888,1.0
387.503417,1.0
387.623946,1.0
387.744475,1.0
387.865004,1.0
387.985533,1.0
388.106062,1.0
388.226591,1.0
388.34712,1.0
388.467649,1.0
388.588178,1.0
388.708707,1.0
388.829236,1.0
388.949765,1.0
389.070294,1.0
389.190823,1.0
389.311352,1.0
389.431881,1.0
389.55241,1.0
389.672939,1.0
