nu,[0]HFC-161-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
350.0189,1.0
350.139427,1.0
350.259953,1.0
350.38048,1.0
350.501007,1.0
350.621533,1.0
350.74206,1.0
350.862587,1.0
350.983113,1.0
351.10364,1.0
351.224167,1.0
351.344693,1.0
351.46522,1.0
351.585746,1.0
351.706273,1.0
351.8268,1.0
351.947326,1.0
352.067853,1.0
352.18838,1.0
352.308906,1.0
352.429433,1.0
352.54996,1.0
352.670486,1.0
352.791013,1.0
352.91154,1.0
353.032066,1.0
353.152593,1.0
353.27312,1.0
353.393646,1.0
353.514173,1.0
353.6347,1.0
353.755226,1.0
353.875753,1.0
353.99628,1.0
354.116806,1.0
354.237333,1.0
354.35786,1.0
354.478386,1.0
354.598913,1.0
354.719439,1.0
354.839966,1.0
354.960493,1.0
355.081019,1.0
355.201546,1.0
355.322073,1.0
355.442599,1.0
355.563126,1.0
355.683653,1.0
355.804179,1.0
355.924706,1.0
356.045233,1.0
356.165759,1.0
356.286286,1.0
356.406813,1.0
356.527339,1.0
356.647866,1.0
356.768393,1.0
356.888919,1.0
357.009446,1.0
357.129973,1.0
357.250499,1.0
357.371026,1.0
357.491553,1.0
357.612079,1.0
357.732606,1.0
357.853132,1.0
357.973659,1.0
358.094186,1.0
358.214712,1.0
358.335239,1.0
358.455766,1.0
358.576292,1.0
358.696819,1.0
358.817346,1.0
358.937872,1.0
359.058399,1.0
359.178926,1.0
359.299452,1.0
359.419979,1.0
359.540506,1.0
359.661032,1.0
359.781559,1.0
359.902086,1.0
360.022612,1.0
360.143139,1.0
360.263666,1.0
360.384192,1.0
360.504719,1.0
360.625246,1.0
360.745772,1.0
360.866299,1.0
360.986825,1.0
361.107352,1.0
361.227879,1.0
361.348405,1.0
361.468932,1.0
361.589459,1.0
361.709985,1.0
361.830512,1.0
361.951039,1.0
362.071565,1.0
362.192092,1.0
362.312619,1.0
362.433145,1.0
362.553672,1.0
362.674199,1.0
362.794725,1.0
362.915252,1.0
363.035779,1.0
363.156305,1.0
363.276832,1.0
363.397359,1.0
363.517885,1.0
363.638412,1.0
363.758939,1.0
363.879465,1.0
363.999992,1.0
364.120518,1.0
364.241045,1.0
364.361572,1.0
364.482098,1.0
364.602625,1.0
364.723152,1.0
