nu,[0]Methanol-HITRAN(x-sec)-X=0.01-T=203.9K-P=0.0987atm-L=15cm
877,1.0
877.0058,1.0
877.0116,1.0
877.0174,1.0
877.0232,0.999668394993098
877.029001,0.9944180373720236
877.034801,0.9941742359605346
877.040601,0.9975026236460236
877.046401,0.9960555996637597
877.052201,0.9953918502532807
877.058001,1.0
877.063801,1.0
877.069601,1.0
877.075402,1.0
877.081202,1.0
877.087002,1.0
877.092802,1.0
877.098602,1.0
877.104402,1.0
877.110202,1.0
877.116002,1.0
877.121802,1.0
877.127603,1.0
877.133403,1.0
877.139203,1.0
877.145003,1.0
877.150803,0.9999642446392382
877.156603,0.9952098097319826
877.162403,0.9976432814320986
877.168203,1.0
877.174003,1.0
877.179804,1.0
877.185604,1.0
877.191404,1.0
877.197204,1.0
877.203004,1.0
877.208804,0.999967807518189
877.214604,0.9992113511471079
877.220404,0.9963087295504244
877.226205,0.9936598838935012
877.232005,0.9966090622593765
877.237805,0.9996628268556451
877.243605,1.0
877.249405,1.0
877.255205,1.0
877.261005,1.0
877.266805,1.0
877.272605,1.0
877.278406,1.0
877.284206,0.9999903355467011
877.290006,0.9973744527940387
877.295806,0.9953207818123462
877.301606,1.0
877.307406,1.0
877.313206,1.0
877.319006,1.0
877.324806,1.0
877.330607,1.0
877.336407,1.0
877.342207,1.0
877.348007,1.0
877.353807,1.0
877.359607,0.998878029879657
877.365407,1.0
877.371207,1.0
877.377008,1.0
877.382808,1.0
877.388608,1.0
877.394408,1.0
877.400208,1.0
877.406008,1.0
877.411808,1.0
877.417608,0.998472567713915
877.423408,0.996062273258634
877.429209,0.9900591402613458
877.435009,0.9890523663247883
877.440809,0.9957001708502843
877.446609,0.996091657529111
877.452409,0.9910378020712486
877.458209,0.99310309358364
877.464009,0.9974383865455176
877.469809,0.997021544426014
877.47561,0.9961039095318482
877.48141,0.99449252207244
877.48721,0.992030129181221
877.49301,0.9960450415303614
877.49881,1.0
877.50461,0.9990210994360628
877.51041,0.9962814310652256
877.51621,0.9986174565949244
877.52201,0.9996147042454808
877.527811,1.0
877.533611,1.0
877.539411,1.0
877.545211,0.9940319798060393
877.551011,0.9930329829801665
877.556811,0.9981892414051027
877.562611,1.0
877.568411,1.0
877.574211,1.0
877.580012,1.0
