nu,[0]Halon-1201-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
500.0184,1.0
500.138928,1.0
500.259456,1.0
500.379985,1.0
500.500513,1.0
500.621041,1.0
500.741569,1.0
500.862098,1.0
500.982626,1.0
501.103154,1.0
501.223682,1.0
501.34421,1.0
501.464739,1.0
501.585267,1.0
501.705795,1.0
501.826323,1.0
501.946852,1.0
502.06738,1.0
502.187908,1.0
502.308436,1.0
502.428964,1.0
502.549493,1.0
502.670021,1.0
502.790549,1.0
502.911077,1.0
503.031606,1.0
503.152134,1.0
503.272662,1.0
503.39319,1.0
503.513718,1.0
503.634247,1.0
503.754775,1.0
503.875303,1.0
503.995831,1.0
504.116359,1.0
504.236888,1.0
504.357416,1.0
504.477944,1.0
504.598472,1.0
504.719001,1.0
504.839529,1.0
504.960057,1.0
505.080585,1.0
505.201113,1.0
505.321642,1.0
505.44217,1.0
505.562698,1.0
505.683226,1.0
505.803755,1.0
505.924283,1.0
506.044811,1.0
506.165339,1.0
506.285867,1.0
506.406396,1.0
506.526924,1.0
506.647452,1.0
506.76798,1.0
506.888509,1.0
507.009037,1.0
507.129565,1.0
507.250093,1.0
507.370621,1.0
507.49115,1.0
507.611678,1.0
507.732206,1.0
507.852734,1.0
507.973263,1.0
508.093791,1.0
508.214319,1.0
508.334847,1.0
508.455375,1.0
508.575904,1.0
508.696432,1.0
508.81696,1.0
508.937488,1.0
509.058017,1.0
509.178545,1.0
509.299073,1.0
509.419601,1.0
509.540129,1.0
509.660658,1.0
509.781186,1.0
509.901714,1.0
510.022242,1.0
510.142771,1.0
510.263299,1.0
510.383827,1.0
510.504355,1.0
510.624883,1.0
510.745412,1.0
510.86594,1.0
510.986468,1.0
511.106996,1.0
511.227525,1.0
511.348053,1.0
511.468581,1.0
511.589109,1.0
511.709637,1.0
511.830166,1.0
511.950694,1.0
512.071222,1.0
512.19175,1.0
512.312278,1.0
512.432807,1.0
512.553335,1.0
512.673863,1.0
512.794391,1.0
512.91492,1.0
513.035448,1.0
513.155976,1.0
513.276504,1.0
513.397032,1.0
513.517561,1.0
513.638089,1.0
513.758617,1.0
513.879145,1.0
513.999674,1.0
514.120202,1.0
514.24073,1.0
514.361258,1.0
514.481786,1.0
514.602315,1.0
514.722843,1.0
514.843371,1.0
514.963899,1.0
515.084428,1.0
515.204956,1.0
515.325484,1.0
515.446012,1.0
515.56654,1.0
515.687069,1.0
515.807597,1.0
515.928125,1.0
516.048653,1.0
516.169182,1.0
516.28971,1.0
516.410238,1.0
516.530766,1.0
516.651294,1.0
516.771823,1.0
516.892351,1.0
517.012879,1.0
517.133407,1.0
517.253936,1.0
517.374464,1.0
517.494992,1.0
517.61552,1.0
517.736048,1.0
517.856577,1.0
517.977105,1.0
518.097633,1.0
518.218161,1.0
518.33869,1.0
518.459218,1.0
518.579746,1.0
518.700274,1.0
518.820802,1.0
518.941331,1.0
519.061859,1.0
519.182387,1.0
519.302915,1.0
519.423443,1.0
519.543972,1.0
519.6645,1.0
519.785028,1.0
519.905556,1.0
520.026085,1.0
520.146613,1.0
520.267141,1.0
520.387669,1.0
520.508197,1.0
520.628726,1.0
520.749254,1.0
520.869782,1.0
520.99031,1.0
521.110839,1.0
521.231367,1.0
521.351895,1.0
521.472423,1.0
521.592951,1.0
521.71348,1.0
521.834008,1.0
521.954536,1.0
522.075064,1.0
522.195593,1.0
522.316121,1.0
522.436649,1.0
522.557177,1.0
522.677705,1.0
522.798234,1.0
522.918762,1.0
523.03929,1.0
523.159818,1.0
523.280347,1.0
523.400875,1.0
523.521403,1.0
523.641931,1.0
523.762459,1.0
523.882988,1.0
524.003516,1.0
524.124044,1.0
524.244572,1.0
524.365101,1.0
524.485629,1.0
524.606157,1.0
524.726685,1.0
524.847213,1.0
524.967742,1.0
525.08827,1.0
525.208798,1.0
525.329326,1.0
525.449855,1.0
525.570383,1.0
525.690911,1.0
525.811439,1.0
525.931967,1.0
526.052496,1.0
526.173024,1.0
526.293552,1.0
526.41408,1.0
526.534608,1.0
526.655137,1.0
526.775665,1.0
526.896193,1.0
527.016721,1.0
527.13725,1.0
527.257778,1.0
527.378306,1.0
527.498834,1.0
527.619362,1.0
527.739891,1.0
527.860419,1.0
527.980947,1.0
528.101475,1.0
528.222004,1.0
528.342532,1.0
528.46306,1.0
528.583588,1.0
528.704116,1.0
528.824645,1.0
528.945173,1.0
529.065701,1.0
529.186229,1.0
529.306758,1.0
529.427286,1.0
529.547814,1.0
529.668342,1.0
529.78887,1.0
529.909399,1.0
530.029927,1.0
530.150455,1.0
530.270983,1.0
530.391512,1.0
530.51204,1.0
530.632568,1.0
530.753096,1.0
530.873624,1.0
530.994153,1.0
531.114681,1.0
531.235209,1.0
531.355737,1.0
531.476266,1.0
531.596794,1.0
531.717322,1.0
531.83785,1.0
531.958378,1.0
532.078907,1.0
532.199435,1.0
532.319963,1.0
532.440491,1.0
532.56102,1.0
532.681548,1.0
532.802076,1.0
532.922604,1.0
533.043132,1.0
533.163661,1.0
533.284189,1.0
533.404717,1.0
533.525245,1.0
533.645774,1.0
533.766302,1.0
533.88683,1.0
534.007358,1.0
534.127886,1.0
534.248415,1.0
534.368943,1.0
534.489471,1.0
534.609999,1.0
534.730527,1.0
534.851056,1.0
534.971584,1.0
535.092112,1.0
535.21264,1.0
535.333169,1.0
535.453697,1.0
535.574225,1.0
535.694753,1.0
535.815281,1.0
535.93581,1.0
536.056338,1.0
536.176866,1.0
536.297394,1.0
536.417923,1.0
536.538451,1.0
536.658979,1.0
536.779507,1.0
536.900035,1.0
537.020564,1.0
537.141092,1.0
537.26162,1.0
537.382148,1.0
537.502677,1.0
537.623205,1.0
537.743733,1.0
537.864261,1.0
537.984789,1.0
538.105318,1.0
538.225846,1.0
538.346374,1.0
538.466902,1.0
538.587431,1.0
538.707959,1.0
538.828487,1.0
538.949015,1.0
539.069543,1.0
539.190072,1.0
539.3106,1.0
539.431128,1.0
539.551656,1.0
539.672185,1.0
539.792713,1.0
539.913241,1.0
540.033769,1.0
540.154297,1.0
540.274826,1.0
540.395354,1.0
540.515882,1.0
540.63641,1.0
540.756939,1.0
540.877467,1.0
540.997995,1.0
541.118523,1.0
541.239051,1.0
541.35958,1.0
541.480108,1.0
541.600636,1.0
541.721164,1.0
541.841692,1.0
541.962221,1.0
542.082749,1.0
542.203277,1.0
542.323805,1.0
542.444334,1.0
542.564862,1.0
542.68539,1.0
542.805918,1.0
542.926446,1.0
543.046975,1.0
543.167503,1.0
543.288031,1.0
543.408559,1.0
543.529088,1.0
543.649616,1.0
543.770144,1.0
543.890672,1.0
544.0112,1.0
544.131729,1.0
544.252257,1.0
544.372785,1.0
544.493313,1.0
544.613842,1.0
544.73437,1.0
544.854898,1.0
544.975426,1.0
545.095954,1.0
545.216483,1.0
545.337011,1.0
545.457539,1.0
545.578067,1.0
545.698596,1.0
545.819124,1.0
545.939652,1.0
546.06018,1.0
546.180708,1.0
546.301237,1.0
546.421765,1.0
546.542293,1.0
546.662821,1.0
546.78335,1.0
546.903878,1.0
547.024406,1.0
547.144934,1.0
547.265462,1.0
547.385991,1.0
547.506519,1.0
547.627047,1.0
547.747575,1.0
547.868104,1.0
547.988632,1.0
548.10916,1.0
548.229688,1.0
548.350216,1.0
548.470745,1.0
548.591273,1.0
548.711801,1.0
548.832329,1.0
548.952857,1.0
549.073386,1.0
549.193914,1.0
549.314442,1.0
549.43497,1.0
549.555499,1.0
549.676027,1.0
549.796555,1.0
549.917083,1.0
550.037611,1.0
550.15814,1.0
550.278668,1.0
550.399196,1.0
550.519724,1.0
550.640253,1.0
550.760781,1.0
550.881309,1.0
551.001837,1.0
551.122365,1.0
551.242894,1.0
551.363422,1.0
551.48395,1.0
551.604478,1.0
551.725007,1.0
551.845535,1.0
551.966063,1.0
552.086591,1.0
552.207119,1.0
552.327648,1.0
552.448176,1.0
552.568704,1.0
552.689232,1.0
552.809761,1.0
552.930289,1.0
553.050817,1.0
553.171345,1.0
553.291873,1.0
553.412402,1.0
553.53293,1.0
553.653458,1.0
553.773986,1.0
553.894515,1.0
554.015043,1.0
554.135571,1.0
554.256099,1.0
554.376627,1.0
554.497156,1.0
554.617684,1.0
554.738212,1.0
554.85874,1.0
554.979269,1.0
555.099797,1.0
555.220325,1.0
555.340853,1.0
555.461381,1.0
555.58191,1.0
555.702438,1.0
555.822966,1.0
555.943494,1.0
556.064023,1.0
556.184551,1.0
556.305079,1.0
556.425607,1.0
556.546135,1.0
556.666664,1.0
556.787192,1.0
556.90772,1.0
557.028248,1.0
557.148776,1.0
557.269305,1.0
557.389833,1.0
557.510361,1.0
557.630889,1.0
557.751418,1.0
557.871946,1.0
557.992474,1.0
558.113002,0.9899528136195246
558.23353,0.9948784600381277
558.354059,0.9949363636494807
558.474587,0.9910960768072709
558.595115,0.9998874463346391
558.715643,1.0
558.836172,1.0
558.9567,0.9936353407974776
559.077228,1.0
559.197756,0.9924447852085481
559.318284,0.9986728814017897
559.438813,1.0
559.559341,0.9848587983646271
559.679869,0.9808958423777117
559.800397,0.9884680090708676
559.920926,0.9847681955229722
560.041454,0.9771637852467755
560.161982,0.9858678103000946
560.28251,0.9999248488239911
560.403038,0.9924651305351838
560.523567,0.9784466655184543
560.644095,0.9947625634486408
560.764623,1.0
