nu,[0]HG-01-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.0atm-L=15cm
25.07317,0.9999944948151536
25.555341,0.9999947640137078
26.037511,0.9999945438148851
26.519682,0.9999945682147522
27.001852,0.9999952288113821
27.484022,0.9999956937092721
27.966193,0.9999956693093774
28.448363,0.9999954246104671
28.930533,0.9999954001105795
29.412704,0.9999960118079528
29.894874,0.9999968926048279
30.377045,0.9999970394043826
30.859215,0.9999965256060357
31.341385,0.9999968437049811
31.823556,0.9999977196026001
32.305726,0.9999976829026844
32.787897,0.9999974064033634
33.270067,0.9999974064033634
33.752237,0.9999970884042387
34.234408,0.9999969416046769
34.716578,0.9999971618040276
35.198748,0.9999971128041679
35.680919,0.9999971373040976
36.163089,0.9999973575034914
36.64526,0.9999975679029576
37.12743,0.9999978909022241
37.6096,0.9999976095028572
38.091771,0.9999969660046025
38.573941,0.9999967703052155
39.056112,0.9999967458052949
39.538282,0.9999971128041679
40.020452,0.9999976780026958
40.502623,0.99999787870225
40.984793,0.9999982212015821
41.466963,0.9999988011007187
41.949134,0.9999987644007634
42.431304,0.9999981576016972
42.913475,0.9999979790020422
43.395645,0.9999979398021223
43.877815,0.9999976756027014
44.359986,0.9999978420023284
44.842156,0.9999982481015346
45.324327,0.9999984855011469
45.806497,0.9999986372009286
46.288667,0.9999984855011469
46.770838,0.999998341101376
47.253008,0.9999983533013558
47.735178,0.9999981674016792
48.217349,0.9999980695018634
48.699519,0.9999983117014252
49.18169,0.9999985711010209
49.66386,0.9999987448007878
50.14603,0.9999988745006334
50.628201,0.9999987986007217
51.110371,0.9999986861008632
51.592542,0.9999987546007755
52.074712,0.9999987644007634
52.556882,0.9999987693007573
53.039053,0.9999988647006445
53.521223,0.9999988427006696
54.003393,0.9999988623006472
54.485564,0.9999990604504414
54.967734,0.9999990702404322
55.449905,0.9999989210005821
55.932075,0.9999990604504414
56.414245,0.9999992586402748
56.896416,0.9999991974703221
57.378586,0.9999992194903046
57.860757,0.9999994054401767
58.342927,0.9999994812901345
58.825097,0.9999994470301529
59.307268,0.9999993540602086
59.789438,0.9999993124602363
60.271608,0.9999993369302198
60.753779,0.999999344270215
61.235949,0.9999994543801488
61.71812,0.9999995057601221
62.20029,0.9999993051202414
62.68246,0.9999992635302712
63.164631,0.9999994812901345
63.646801,0.9999995913900834
64.128972,0.9999996158600738
64.611142,0.9999997112800417
65.093312,0.9999997577700294
65.575483,0.9999996427700638
66.057653,0.9999995840500865
66.539823,0.9999997063900431
67.021994,0.9999997822400237
67.504164,0.9999998018100197
67.986335,0.999999743090033
68.468505,0.9999996085200766
68.950675,0.9999996452200629
69.432846,0.9999997161800402
69.915016,0.9999997357500349
70.397186,0.9999997871300227
70.879357,0.9999997333000356
71.361527,0.9999996917100475
71.843698,0.9999997479800318
72.325868,0.9999998556400104
72.808038,0.9999999681920005
73.290209,0.9999998947900055
73.772379,0.9999997210700389
74.25455,0.999999662350057
74.73672,0.9999997186200396
75.21889,0.9999997700100265
75.701061,0.9999998409600126
76.183231,0.9999999241510029
76.665401,0.9999999192570033
77.147572,0.9999998385100131
77.629742,0.9999997553300299
78.111913,0.9999997553300299
78.594083,0.999999826280015
79.076253,0.9999998116000177
79.558424,0.9999997700100265
80.040594,0.9999998336200139
80.522765,0.9999998678800087
81.004935,0.99999985809001
81.487105,0.9999998556400104
81.969276,0.9999998336200139
82.451446,0.9999998850000066
82.933616,0.9999999730860004
83.415787,1.0
83.897957,0.9999999730860004
84.380128,0.9999999437250016
84.862298,0.9999999510650012
85.344468,0.9999999314910023
85.826639,0.9999999217040031
86.308809,0.9999999584050009
86.79098,0.9999999755330004
87.27315,0.9999998923400057
87.75532,0.9999996134100747
88.237491,0.9999995424601047
88.719661,0.9999998336200139
89.201831,0.9999999632990006
89.684002,0.9999999143640037
90.166172,0.9999999192570033
90.648343,0.9999999265980027
91.130513,0.9999999461720015
91.612683,0.9999999217040031
92.094854,0.9999996672400554
92.577024,0.9999995008601246
93.059195,0.9999997333000356
93.541365,0.9999999290440025
94.023535,0.9999999510650012
94.505706,0.9999999730860004
94.987876,0.9999999657460006
95.470046,0.9999999192570033
95.952217,0.9999998678800087
96.434387,0.9999998874500063
96.916558,0.9999999730860004
97.398728,1.0
97.880898,0.9999999926598
98.363069,0.9999999339380021
98.845239,0.9999997724500259
99.32741,0.9999997773500248
99.80958,0.9999998483000115
100.29175,0.9999996770300521
100.773921,0.9999996721400537
101.256091,0.9999998605400098
101.738261,0.9999999045770046
102.220432,0.9999999632990006
102.702602,0.9999999828730002
103.184773,0.9999999632990006
103.666943,0.99999998532
104.149113,0.9999998654300091
104.631284,0.9999997626700282
105.113454,0.9999998042600191
105.595625,0.999999826280015
106.077795,0.9999998899000061
106.559965,0.9999999681920005
107.042136,0.9999999730860004
107.524306,0.9999999755330004
108.006476,1.0
108.488647,1.0
108.970817,1.0
109.452988,1.0
109.935158,1.0
110.417328,0.9999999779790002
110.899499,0.9999998556400104
111.381669,0.9999998532000107
111.86384,0.9999999437250016
112.34601,0.9999999828730002
112.82818,0.9999999926598
113.310351,1.0
113.792521,1.0
114.274691,1.0
114.756862,1.0
115.239032,1.0
115.721203,1.0
116.203373,1.0
116.685543,1.0
117.167714,1.0
117.649884,1.0
118.132055,0.9999999755330004
118.614225,0.9999999804260002
119.096395,1.0
119.578566,0.9999999486180013
120.060736,0.9999998409600126
120.542906,0.9999998947900055
121.025077,0.9999999926598
121.507247,0.9999998018100197
121.989418,0.9999996501100612
122.471588,0.9999998532000107
122.953758,0.9999999828730002
123.435929,0.9999999951065
123.918099,1.0
124.40027,1.0
124.88244,1.0
125.36461,1.0
125.846781,1.0
126.328951,0.9999998801100072
126.811121,0.9999995865000855
127.293292,0.9999996843700498
127.775462,0.9999999510650012
128.257633,1.0
128.739803,1.0
129.221973,1.0
129.704144,1.0
130.186314,1.0
130.668485,1.0
131.150655,1.0
131.632825,0.9999999951065
132.114996,0.999999826280015
132.597166,0.999999623200071
133.079336,0.9999997308600362
133.561507,0.9999999535120011
134.043677,1.0
134.525848,1.0
135.008018,1.0
135.490188,1.0
135.972359,1.0
136.454529,1.0
136.9367,1.0
137.41887,1.0
137.90104,1.0
138.383211,0.9999998947900055
138.865381,0.9999996721400537
139.347551,0.9999996305400682
139.829722,0.999999743090033
140.311892,0.9999997822400237
140.794063,0.9999997846900232
141.276233,0.9999998091500182
141.758403,0.9999998507500112
142.240574,0.9999998947900055
142.722744,0.9999998801100072
143.204915,0.9999997969200206
143.687085,0.9999997333000356
144.169255,0.9999997186200396
144.651426,0.9999997259600375
145.133596,0.9999997259600375
145.615766,0.9999997063900431
146.097937,0.9999996550100595
146.580107,0.9999995962900815
147.062278,0.9999995473501024
147.544448,0.9999994984201258
148.026618,0.9999994739501383
148.508789,0.9999993344802215
148.990959,0.9999991265103815
149.47313,0.9999991558703563
149.9553,0.9999990213004789
150.43747,0.9999985833010036
150.919641,0.9999985882009966
151.401811,0.999998889200617
151.883981,0.9999990213004789
152.366152,0.9999990653404368
152.848322,0.9999989185005849
153.330493,0.9999986959008503
153.812663,0.9999987644007634
154.294833,0.999998933200569
154.777004,0.9999989357005664
155.259174,0.9999989136005901
155.741344,0.9999989357005664
156.223515,0.9999989430005586
156.705685,0.9999989552005458
157.187856,0.9999988402006725
157.670026,0.9999986421009219
158.152196,0.9999987179008218
158.634367,0.9999989406005612
159.116537,0.9999990482104529
159.598708,0.9999990971504076
160.080878,0.9999991289603793
160.563048,0.9999991411903688
161.045219,0.9999991558703563
161.527389,0.99999919991032
162.009559,0.9999992415102876
162.49173,0.9999992537402784
162.9739,0.9999993026802432
163.456071,0.9999993589502054
163.938241,0.9999993834201901
164.420411,0.9999994054401767
164.902582,0.9999994519301502
165.384752,0.9999995033101233
165.866923,0.9999995057601221
166.349093,0.9999994592701462
166.831263,0.9999994812901345
167.313434,0.9999995546900992
167.795604,0.9999996060700775
168.277774,0.9999996329900673
168.759945,0.9999996427700638
169.242115,0.9999996574600587
169.724286,0.9999994519301502
170.206456,0.999999092260412
170.688626,0.9999992586402748
171.170797,0.999999662350057
171.652967,0.9999997626700282
