nu,[0]HCFE-235ca2-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
600,1.0
600.119002,1.0
600.238004,1.0
600.357006,1.0
600.476008,1.0
600.59501,1.0
600.714012,1.0
600.833014,1.0
600.952016,1.0
601.071018,1.0
601.19002,1.0
601.309022,1.0
601.428024,1.0
601.547026,1.0
601.666028,1.0
601.78503,1.0
601.904032,1.0
602.023034,1.0
602.142036,1.0
602.261038,1.0
602.38004,1.0
602.499042,1.0
602.618044,1.0
602.737046,1.0
602.856048,1.0
602.97505,1.0
603.094052,1.0
603.213054,1.0
603.332056,1.0
603.451058,1.0
603.57006,1.0
603.689062,1.0
603.808064,1.0
603.927066,1.0
604.046068,1.0
604.16507,1.0
604.284072,1.0
604.403074,1.0
604.522076,1.0
604.641078,1.0
604.76008,1.0
604.879082,1.0
604.998084,1.0
605.117086,1.0
605.236088,1.0
605.35509,1.0
605.474092,1.0
605.593094,1.0
605.712096,1.0
605.831098,1.0
605.9501,1.0
606.069102,1.0
606.188104,1.0
606.307106,1.0
606.426108,1.0
606.54511,1.0
606.664112,1.0
606.783114,1.0
606.902116,1.0
607.021118,1.0
607.14012,1.0
607.259122,1.0
607.378124,1.0
607.497126,1.0
607.616128,1.0
607.73513,1.0
607.854132,1.0
607.973134,1.0
608.092136,1.0
608.211138,1.0
608.33014,1.0
608.449142,1.0
608.568144,1.0
608.687146,1.0
608.806148,1.0
608.92515,1.0
609.044152,1.0
609.163154,1.0
609.282156,1.0
609.401158,1.0
609.52016,1.0
609.639162,1.0
609.758164,1.0
609.877166,1.0
609.996168,1.0
610.11517,1.0
610.234172,1.0
610.353174,1.0
610.472176,1.0
610.591178,1.0
610.71018,1.0
610.829182,1.0
610.948184,1.0
611.067186,1.0
611.186188,1.0
611.30519,1.0
611.424192,1.0
611.543194,1.0
611.662196,1.0
611.781198,1.0
611.9002,1.0
612.019202,1.0
612.138204,1.0
612.257206,1.0
612.376208,1.0
612.49521,1.0
612.614212,1.0
612.733214,1.0
612.852216,1.0
612.971218,1.0
613.09022,1.0
613.209222,1.0
613.328224,1.0
613.447226,1.0
613.566228,1.0
613.68523,1.0
613.804232,1.0
613.923234,1.0
614.042236,1.0
614.161238,1.0
614.28024,1.0
614.399242,1.0
614.518244,1.0
614.637246,1.0
614.756248,1.0
614.87525,1.0
614.994252,1.0
615.113254,1.0
615.232256,1.0
615.351258,1.0
615.47026,1.0
615.589262,1.0
615.708264,1.0
615.827266,1.0
615.946268,1.0
616.06527,1.0
616.184272,1.0
616.303274,1.0
616.422276,1.0
616.541278,1.0
616.66028,1.0
616.779282,1.0
616.898284,1.0
617.017286,1.0
617.136288,1.0
617.25529,1.0
617.374292,1.0
617.493294,1.0
617.612296,1.0
617.731298,1.0
617.8503,1.0
617.969302,1.0
618.088304,1.0
618.207306,1.0
618.326308,1.0
618.44531,1.0
618.564312,1.0
618.683314,1.0
618.802316,1.0
618.921318,1.0
619.04032,1.0
619.159322,1.0
619.278324,1.0
619.397326,1.0
619.516328,1.0
619.63533,1.0
619.754332,1.0
619.873334,1.0
619.992336,1.0
620.111338,1.0
620.23034,1.0
620.349342,1.0
620.468344,1.0
620.587346,1.0
620.706348,1.0
620.82535,1.0
620.944352,1.0
621.063354,1.0
621.182356,1.0
621.301358,1.0
621.42036,1.0
621.539362,1.0
621.658364,1.0
621.777366,1.0
621.896368,1.0
622.01537,1.0
622.134372,1.0
622.253374,1.0
622.372376,1.0
622.491378,1.0
622.61038,1.0
622.729382,1.0
622.848384,1.0
622.967386,1.0
623.086388,1.0
623.20539,1.0
623.324392,1.0
623.443394,1.0
623.562396,1.0
623.681398,1.0
623.8004,1.0
623.919402,1.0
624.038404,1.0
624.157406,1.0
624.276408,1.0
624.39541,1.0
624.514412,1.0
624.633414,1.0
624.752416,1.0
624.871418,1.0
624.99042,1.0
625.109422,1.0
625.228424,1.0
625.347426,1.0
625.466428,1.0
625.58543,1.0
625.704432,1.0
625.823434,1.0
625.942436,1.0
626.061438,1.0
626.18044,1.0
626.299442,1.0
626.418444,1.0
626.537446,1.0
626.656448,1.0
626.77545,1.0
626.894452,1.0
627.013454,1.0
627.132456,1.0
627.251458,1.0
627.37046,1.0
627.489462,1.0
627.608464,1.0
627.727466,1.0
627.846468,1.0
627.96547,1.0
628.084472,1.0
628.203474,1.0
628.322476,1.0
628.441478,1.0
628.56048,1.0
628.679482,1.0
628.798484,1.0
628.917486,1.0
629.036488,1.0
629.15549,1.0
629.274492,1.0
629.393494,1.0
629.512496,1.0
629.631498,1.0
629.7505,1.0
629.869502,1.0
629.988504,1.0
630.107506,1.0
630.226508,1.0
630.34551,1.0
630.464512,1.0
630.583514,1.0
630.702516,1.0
630.821518,1.0
630.94052,1.0
631.059522,1.0
631.178524,1.0
631.297526,1.0
631.416528,1.0
631.53553,1.0
631.654532,1.0
631.773534,1.0
631.892536,1.0
632.011538,1.0
632.13054,1.0
632.249542,1.0
632.368544,1.0
632.487546,1.0
632.606548,1.0
632.72555,1.0
632.844552,1.0
632.963554,1.0
633.082556,1.0
633.201558,1.0
633.32056,1.0
633.439562,1.0
633.558564,1.0
633.677566,1.0
633.796568,1.0
633.91557,1.0
634.034572,1.0
634.153574,1.0
634.272576,1.0
634.391578,1.0
634.51058,1.0
634.629582,1.0
634.748584,1.0
634.867586,1.0
634.986588,1.0
635.10559,1.0
635.224592,1.0
635.343594,1.0
635.462596,1.0
