nu,[0]HFE-125-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
400,1.0
400.241054,1.0
400.482108,1.0
400.723162,1.0
400.964216,1.0
401.20527,1.0
401.446324,1.0
401.687378,1.0
401.928432,1.0
402.169486,1.0
402.41054,1.0
402.651594,1.0
402.892648,1.0
403.133702,1.0
403.374756,1.0
403.61581,1.0
403.856864,1.0
404.097918,1.0
404.338972,1.0
404.580026,1.0
404.82108,1.0
405.062134,1.0
405.303188,1.0
405.544242,1.0
405.785296,1.0
406.02635,1.0
406.267404,1.0
406.508458,1.0
406.749512,1.0
406.990566,1.0
407.23162,1.0
407.472674,1.0
407.713728,1.0
407.954782,1.0
408.195836,1.0
408.43689,1.0
408.677944,1.0
408.918998,1.0
409.160052,1.0
409.401106,1.0
409.64216,1.0
409.883214,1.0
410.124268,1.0
410.365322,1.0
410.606376,1.0
410.84743,1.0
411.088484,1.0
411.329538,1.0
411.570592,1.0
411.811646,1.0
412.0527,1.0
412.293754,1.0
412.534808,1.0
412.775862,1.0
413.016916,1.0
413.25797,1.0
413.499024,1.0
413.740078,1.0
413.981132,1.0
414.222186,1.0
414.46324,1.0
414.704294,1.0
414.945348,1.0
415.186402,1.0
415.427456,1.0
415.66851,1.0
415.909564,1.0
416.150618,1.0
416.391672,1.0
416.632726,1.0
416.87378,1.0
417.114834,1.0
417.355888,1.0
417.596942,1.0
417.837996,1.0
418.07905,1.0
418.320104,1.0
418.561158,1.0
418.802212,1.0
419.043266,1.0
419.28432,1.0
419.525374,1.0
419.766428,1.0
420.007482,1.0
420.248536,1.0
420.48959,1.0
420.730644,1.0
420.971698,1.0
421.212752,1.0
421.453806,1.0
421.69486,1.0
421.935914,1.0
422.176968,1.0
422.418022,1.0
422.659076,1.0
422.90013,1.0
423.141184,1.0
423.382238,1.0
423.623292,1.0
423.864346,1.0
424.1054,1.0
424.346454,1.0
424.587508,1.0
424.828562,1.0
425.069616,1.0
425.31067,1.0
425.551724,1.0
425.792778,1.0
426.033832,1.0
426.274886,1.0
426.51594,1.0
426.756994,1.0
426.998048,1.0
427.239102,1.0
427.480156,1.0
427.72121,1.0
427.962264,1.0
428.203318,1.0
428.444372,1.0
428.685426,1.0
428.92648,1.0
429.167534,1.0
429.408588,1.0
429.649642,1.0
429.890696,1.0
430.13175,1.0
430.372804,1.0
430.613858,1.0
430.854912,1.0
431.095966,1.0
431.33702,1.0
431.578074,1.0
431.819128,1.0
432.060182,1.0
432.301236,1.0
432.54229,1.0
432.783344,1.0
433.024398,1.0
433.265452,1.0
433.506506,1.0
433.74756,1.0
433.988614,1.0
434.229668,1.0
434.470722,1.0
434.711776,1.0
434.95283,1.0
435.193884,1.0
435.434938,1.0
435.675992,1.0
435.917046,1.0
436.1581,1.0
436.399154,1.0
436.640208,1.0
436.881262,1.0
437.122316,1.0
437.36337,1.0
437.604424,1.0
437.845478,1.0
438.086532,1.0
438.327586,1.0
438.56864,1.0
438.809694,1.0
439.050748,1.0
439.291802,1.0
439.532856,1.0
439.77391,1.0
440.014964,1.0
440.256018,1.0
440.497072,1.0
440.738126,1.0
440.97918,1.0
441.220234,1.0
441.461288,1.0
441.702342,1.0
441.943396,1.0
442.18445,1.0
442.425504,1.0
442.666558,1.0
442.907612,1.0
443.148666,1.0
443.38972,1.0
443.630774,1.0
443.871828,1.0
444.112882,1.0
444.353936,1.0
444.59499,1.0
444.836044,1.0
445.077098,1.0
445.318152,1.0
445.559206,1.0
445.80026,1.0
446.041314,1.0
446.282368,1.0
446.523422,1.0
446.764476,1.0
447.00553,1.0
447.246584,1.0
447.487638,1.0
447.728692,1.0
447.969746,1.0
448.2108,1.0
448.451854,1.0
448.692908,1.0
448.933962,1.0
449.175016,1.0
449.41607,1.0
449.657124,1.0
449.898178,1.0
450.139232,0.9377283288667972
450.380286,0.9483117315795414
450.62134,0.9394215175690874
450.862394,0.9448529236029407
451.103448,0.9583588391574226
451.344502,0.9469187374356587
451.585556,0.9411008235733407
451.82661,0.954187582026709
452.067664,0.9677359575890996
452.308718,0.9476017120281038
452.549772,0.9404563902528039
452.790826,0.9438405839798234
453.03188,0.9421224721110236
453.272934,0.9448529236029407
453.513988,0.9455712847675444
453.755042,0.9380547151131559
453.996096,0.9465760148892305
454.23715,0.9441766510441083
454.478204,0.9452347213020186
454.719258,0.9407451546876843
454.960312,0.9414669830071033
455.201366,0.941113999077099
455.44242,0.9336440651018251
455.683474,0.9441860928578277
455.924528,0.9360063671659105
456.165582,0.9465921068182647
456.406636,0.9483136282049013
456.64769,0.9414067310482741
456.888744,0.9373579993217951
457.129798,0.9414556854710926
457.370852,0.9259509643534659
457.611906,0.908639366544584
457.85296,0.9082532768636712
