nu,[0]HFE-245fa2-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
350,1.0
350.241054,1.0
350.482108,1.0
350.723162,1.0
350.964216,1.0
351.20527,1.0
351.446324,1.0
351.687378,1.0
351.928432,1.0
352.169486,1.0
352.41054,1.0
352.651594,1.0
352.892648,1.0
353.133702,1.0
353.374756,1.0
353.61581,1.0
353.856864,1.0
354.097918,1.0
354.338972,1.0
354.580026,1.0
354.82108,1.0
355.062134,1.0
355.303188,1.0
355.544242,1.0
355.785296,1.0
356.02635,1.0
356.267404,1.0
356.508458,1.0
356.749512,1.0
356.990566,1.0
357.23162,1.0
357.472674,1.0
357.713728,1.0
357.954782,1.0
358.195836,1.0
358.43689,1.0
358.677944,1.0
358.918998,1.0
359.160052,1.0
359.401106,1.0
359.64216,1.0
359.883214,1.0
360.124268,1.0
360.365322,1.0
360.606376,1.0
360.84743,1.0
361.088484,1.0
361.329538,1.0
361.570592,1.0
361.811646,1.0
362.0527,1.0
362.293754,1.0
362.534808,1.0
362.775862,1.0
363.016916,1.0
363.25797,1.0
363.499024,1.0
363.740078,1.0
363.981132,1.0
364.222186,1.0
364.46324,1.0
364.704294,1.0
364.945348,1.0
365.186402,1.0
365.427456,1.0
365.66851,1.0
365.909564,1.0
366.150618,1.0
366.391672,1.0
366.632726,1.0
366.87378,1.0
367.114834,1.0
367.355888,1.0
367.596942,1.0
367.837996,1.0
368.07905,1.0
368.320104,1.0
368.561158,1.0
368.802212,1.0
369.043266,1.0
369.28432,1.0
369.525374,1.0
369.766428,1.0
370.007482,1.0
370.248536,1.0
370.48959,1.0
370.730644,1.0
370.971698,1.0
371.212752,1.0
371.453806,1.0
371.69486,1.0
371.935914,1.0
372.176968,1.0
372.418022,1.0
372.659076,1.0
372.90013,1.0
373.141184,1.0
373.382238,1.0
373.623292,1.0
373.864346,1.0
374.1054,1.0
374.346454,1.0
374.587508,1.0
374.828562,1.0
375.069616,1.0
375.31067,1.0
375.551724,1.0
375.792778,1.0
376.033832,1.0
376.274886,1.0
376.51594,1.0
376.756994,1.0
376.998048,1.0
377.239102,1.0
377.480156,1.0
377.72121,1.0
377.962264,1.0
378.203318,1.0
378.444372,1.0
378.685426,1.0
378.92648,1.0
379.167534,1.0
379.408588,1.0
379.649642,1.0
379.890696,1.0
380.13175,1.0
380.372804,1.0
380.613858,1.0
380.854912,1.0
381.095966,1.0
381.33702,1.0
381.578074,1.0
381.819128,1.0
382.060182,1.0
382.301236,1.0
382.54229,1.0
382.783344,1.0
383.024398,1.0
383.265452,1.0
383.506506,1.0
383.74756,1.0
383.988614,1.0
384.229668,1.0
384.470722,1.0
384.711776,1.0
384.95283,1.0
385.193884,1.0
385.434938,1.0
385.675992,1.0
385.917046,1.0
386.1581,1.0
386.399154,1.0
386.640208,1.0
386.881262,1.0
387.122316,1.0
387.36337,1.0
387.604424,1.0
387.845478,1.0
388.086532,1.0
388.327586,1.0
388.56864,1.0
388.809694,1.0
389.050748,1.0
389.291802,1.0
389.532856,1.0
389.77391,1.0
390.014964,1.0
390.256018,1.0
390.497072,1.0
390.738126,1.0
390.97918,1.0
391.220234,1.0
391.461288,1.0
391.702342,1.0
391.943396,1.0
392.18445,1.0
392.425504,1.0
392.666558,1.0
392.907612,1.0
393.148666,1.0
393.38972,1.0
393.630774,1.0
393.871828,1.0
394.112882,1.0
394.353936,1.0
394.59499,1.0
394.836044,1.0
395.077098,1.0
395.318152,1.0
395.559206,1.0
395.80026,1.0
396.041314,1.0
396.282368,1.0
396.523422,1.0
396.764476,1.0
397.00553,1.0
397.246584,1.0
397.487638,1.0
397.728692,1.0
397.969746,1.0
398.2108,1.0
398.451854,1.0
398.692908,1.0
398.933962,1.0
399.175016,1.0
399.41607,1.0
399.657124,1.0
399.898178,1.0
400.139232,1.0
400.380286,1.0
400.62134,1.0
400.862394,1.0
401.103448,1.0
401.344502,1.0
401.585556,1.0
401.82661,1.0
402.067664,1.0
402.308718,1.0
402.549772,1.0
402.790826,1.0
403.03188,1.0
403.272934,1.0
403.513988,1.0
403.755042,1.0
403.996096,1.0
404.23715,1.0
404.478204,1.0
404.719258,1.0
404.960312,1.0
405.201366,1.0
405.44242,1.0
405.683474,1.0
405.924528,1.0
406.165582,1.0
406.406636,1.0
406.64769,1.0
406.888744,1.0
407.129798,1.0
407.370852,1.0
407.611906,1.0
407.85296,1.0
408.094014,1.0
408.335068,1.0
408.576122,1.0
408.817176,1.0
409.05823,1.0
409.299284,1.0
409.540338,1.0
409.781392,1.0
410.022446,1.0
410.2635,1.0
410.504554,1.0
410.745608,1.0
410.986662,1.0
411.227716,1.0
411.46877,1.0
411.709824,1.0
411.950878,1.0
412.191932,1.0
412.432986,1.0
412.67404,1.0
412.915094,1.0
413.156148,1.0
413.397202,1.0
413.638256,1.0
413.87931,1.0
414.120364,1.0
414.361418,1.0
414.602472,1.0
414.843526,1.0
415.08458,1.0
415.325634,1.0
415.566688,1.0
415.807742,1.0
416.048796,1.0
416.28985,1.0
416.530904,1.0
416.771958,1.0
417.013012,1.0
417.254066,1.0
417.49512,1.0
417.736174,1.0
417.977228,1.0
418.218282,1.0
418.459336,1.0
418.70039,1.0
418.941444,1.0
419.182498,1.0
419.423552,1.0
419.664606,1.0
419.90566,1.0
420.146714,1.0
420.387768,1.0
420.628822,1.0
420.869876,1.0
421.11093,1.0
421.351984,1.0
421.593038,1.0
421.834092,1.0
422.075146,1.0
422.3162,1.0
422.557254,1.0
422.798308,1.0
423.039362,1.0
423.280416,1.0
423.52147,1.0
423.762524,1.0
424.003578,1.0
424.244632,1.0
424.485686,1.0
424.72674,1.0
424.967794,1.0
425.208848,1.0
425.449902,1.0
425.690956,1.0
425.93201,1.0
