nu,[0]Perfluorotributylamine-HITRAN(x-sec)-X=0.01-T=298.2K-P=0.0atm-L=15cm
550.0391,1.0
550.099365,1.0
550.15963,0.9999982569015192
550.219895,1.0
550.28016,0.9999931122237209
550.340425,0.999992123731018
550.40069,1.0
550.460955,1.0
550.52122,0.9999969350046971
550.581485,1.0
550.64175,1.0
550.702016,0.9999984150012561
550.762281,0.9999927795260678
550.822546,0.9999972750037128
550.882811,1.0
550.943076,1.0
551.003341,1.0
551.063606,0.9999980852018332
551.123871,1.0
551.184136,0.999995744909053
551.244401,1.0
551.304666,0.9999976187028353
551.364931,1.0
551.425196,1.0
551.485461,1.0
551.545726,1.0
551.605991,1.0
551.666256,1.0
551.726521,1.0
551.786786,1.0
551.847051,1.0
551.907316,0.9999977945024321
551.967581,1.0
552.027847,0.999997767502492
552.088112,1.0
552.148377,1.0
552.208642,0.9999968597049307
552.268907,1.0
552.329172,1.0
552.389437,1.0
552.449702,0.999998043001915
552.509967,1.0
552.570232,0.9999957255091356
552.630497,1.0
552.690762,0.999994921612895
552.751027,0.9999999729440003
552.811292,1.0
552.871557,1.0
552.931822,0.9999980077019847
552.992087,0.9999993318702232
553.052352,0.9999958736085136
553.112617,1.0
553.172882,1.0
553.233147,1.0
553.293412,1.0
553.353678,0.9999965658058969
553.413943,1.0
553.474208,1.0
553.534473,1.0
553.594738,1.0
553.655003,1.0
553.715268,1.0
553.775533,0.9999952568112489
553.835798,0.9999989316005707
553.896063,1.0
553.956328,0.9999971414040858
554.016593,0.9999991230003845
554.076858,1.0
554.137123,1.0
554.197388,1.0
554.257653,1.0
554.317918,1.0
554.378183,0.999993879718729
554.438448,1.0
554.498713,0.9999999060580044
554.558978,0.999997813202391
554.619243,0.99999822240158
554.679509,1.0
554.739774,1.0
554.800039,1.0
554.860304,0.9999989877005123
554.920569,1.0
554.980834,1.0
555.041099,1.0
555.101364,0.9999968281050304
555.161629,1.0
555.221894,0.9999955773097802
555.282159,0.9999995812900877
555.342424,0.9999995419501049
555.402689,1.0
555.462954,0.9999986205009516
555.523219,1.0
555.583484,1.0
555.643749,1.0
555.704014,1.0
555.764279,1.0
555.824544,1.0
555.884809,1.0
555.945074,1.0
556.00534,1.0
556.065605,0.9999999071020043
556.12587,1.0
556.186135,0.9999980379019249
556.2464,1.0
556.306665,1.0
556.36693,1.0
556.427195,0.9999971924039414
556.48746,0.9999962112071775
556.547725,1.0
556.60799,1.0
556.668255,0.9999996378800655
556.72852,1.0
556.788785,1.0
556.84905,0.9999994205101679
556.909315,0.9999986778008741
556.96958,1.0
557.029845,0.9999977663024947
557.09011,0.9999988969006084
557.150375,1.0
557.21064,1.0
557.270905,1.0
557.331171,1.0
557.391436,1.0
557.451701,1.0
557.511966,0.9999965537059385
557.572231,0.9999984175012522
557.632496,0.999999217720306
557.692761,0.9999987087008337
557.753026,0.9999962817069129
557.813291,1.0
557.873556,1.0
557.933821,1.0
557.994086,1.0
558.054351,1.0
558.114616,1.0
558.174881,1.0
558.235146,1.0
558.295411,0.999997896702212
558.355676,1.0
558.415941,1.0
558.476206,1.0
558.536471,1.0
558.596736,1.0
558.657002,1.0
558.717267,1.0
558.777532,1.0
558.837797,0.9999966144057312
558.898062,1.0
558.958327,0.9999993940401836
559.018592,1.0
559.078857,1.0
559.139122,1.0
559.199387,1.0
559.259652,0.9999988799006273
559.319917,1.0
559.380182,1.0
559.440447,1.0
559.500712,1.0
559.560977,0.9999999294710025
559.621242,0.9999994559701479
559.681507,1.0
