nu,[0]Glyoxal-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
600,1.0
600.118002,1.0
600.236005,1.0
600.354007,1.0
600.472009,1.0
600.590012,1.0
600.708014,1.0
600.826017,1.0
600.944019,1.0
601.062021,1.0
601.180024,1.0
601.298026,1.0
601.416028,1.0
601.534031,1.0
601.652033,1.0
601.770035,1.0
601.888038,1.0
602.00604,1.0
602.124042,1.0
602.242045,1.0
602.360047,1.0
602.47805,1.0
602.596052,1.0
602.714054,1.0
602.832057,1.0
602.950059,1.0
603.068061,1.0
603.186064,1.0
603.304066,1.0
603.422068,1.0
603.540071,1.0
603.658073,1.0
603.776076,1.0
603.894078,1.0
604.01208,1.0
604.130083,1.0
604.248085,1.0
604.366087,1.0
604.48409,1.0
604.602092,1.0
604.720094,1.0
604.838097,1.0
604.956099,1.0
605.074101,1.0
605.192104,1.0
605.310106,1.0
605.428109,1.0
605.546111,1.0
605.664113,1.0
605.782116,1.0
605.900118,1.0
606.01812,1.0
606.136123,1.0
606.254125,1.0
606.372127,1.0
606.49013,1.0
606.608132,1.0
606.726135,1.0
606.844137,1.0
606.962139,1.0
607.080142,1.0
607.198144,1.0
607.316146,1.0
607.434149,1.0
607.552151,1.0
607.670153,1.0
607.788156,1.0
607.906158,1.0
608.02416,1.0
608.142163,1.0
608.260165,1.0
608.378168,1.0
608.49617,1.0
608.614172,1.0
608.732175,1.0
608.850177,1.0
608.968179,1.0
609.086182,1.0
609.204184,1.0
609.322186,1.0
609.440189,1.0
609.558191,1.0
609.676194,1.0
609.794196,1.0
609.912198,1.0
610.030201,1.0
610.148203,1.0
610.266205,1.0
610.384208,1.0
610.50221,1.0
610.620212,1.0
610.738215,1.0
610.856217,1.0
610.974219,1.0
611.092222,1.0
611.210224,1.0
611.328227,1.0
611.446229,1.0
611.564231,1.0
611.682234,1.0
611.800236,1.0
611.918238,1.0
612.036241,1.0
612.154243,1.0
612.272245,1.0
612.390248,1.0
612.50825,1.0
612.626253,1.0
612.744255,1.0
612.862257,1.0
612.98026,1.0
613.098262,1.0
613.216264,1.0
613.334267,1.0
613.452269,1.0
613.570271,1.0
613.688274,1.0
613.806276,1.0
613.924278,1.0
614.042281,1.0
614.160283,1.0
614.278286,1.0
614.396288,1.0
614.51429,1.0
614.632293,1.0
614.750295,1.0
614.868297,1.0
614.9863,1.0
615.104302,1.0
615.222304,1.0
615.340307,1.0
615.458309,1.0
615.576312,0.999983914129379
615.694314,1.0
615.812316,1.0
615.930319,1.0
616.048321,1.0
616.166323,1.0
616.284326,1.0
616.402328,1.0
616.52033,1.0
616.638333,1.0
616.756335,1.0
616.874337,1.0
616.99234,1.0
617.110342,1.0
617.228345,1.0
617.346347,1.0
617.464349,1.0
617.582352,1.0
617.700354,1.0
617.818356,1.0
617.936359,1.0
618.054361,1.0
618.172363,1.0
618.290366,1.0
618.408368,1.0
618.526371,1.0
618.644373,1.0
618.762375,1.0
618.880378,1.0
618.99838,1.0
619.116382,1.0
619.234385,1.0
619.352387,1.0
619.470389,1.0
619.588392,1.0
619.706394,1.0
619.824396,1.0
619.942399,1.0
620.060401,1.0
620.178404,1.0
620.296406,1.0
620.414408,1.0
620.532411,1.0
620.650413,1.0
620.768415,1.0
620.886418,1.0
621.00442,1.0
621.122422,1.0
621.240425,1.0
621.358427,1.0
621.47643,1.0
621.594432,1.0
621.712434,1.0
621.830437,1.0
621.948439,1.0
622.066441,1.0
622.184444,1.0
622.302446,1.0
622.420448,1.0
622.538451,1.0
622.656453,1.0
622.774455,1.0
622.892458,1.0
623.01046,1.0
623.128463,1.0
623.246465,1.0
623.364467,1.0
623.48247,1.0
623.600472,1.0
623.718474,1.0
623.836477,1.0
623.954479,1.0
624.072481,1.0
624.190484,1.0
624.308486,1.0
624.426489,1.0
624.544491,1.0
624.662493,1.0
624.780496,1.0
624.898498,1.0
625.0165,1.0
625.134503,1.0
625.252505,1.0
625.370507,1.0
625.48851,1.0
625.606512,1.0
625.724514,1.0
625.842517,1.0
625.960519,1.0
626.078522,1.0
626.196524,1.0
626.314526,1.0
626.432529,1.0
626.550531,1.0
626.668533,1.0
626.786536,1.0
626.904538,1.0
627.02254,1.0
627.140543,1.0
627.258545,1.0
627.376548,1.0
627.49455,1.0
627.612552,1.0
627.730555,1.0
627.848557,1.0
627.966559,1.0
628.084562,1.0
628.202564,1.0
628.320566,1.0
628.438569,1.0
628.556571,1.0
628.674573,1.0
628.792576,1.0
628.910578,1.0
629.028581,1.0
629.146583,1.0
629.264585,1.0
629.382588,1.0
629.50059,1.0
629.618592,1.0
629.736595,1.0
629.854597,1.0
629.972599,1.0
630.090602,1.0
630.208604,1.0
630.326607,1.0
630.444609,1.0
630.562611,1.0
630.680614,1.0
630.798616,1.0
630.916618,1.0
631.034621,1.0
631.152623,1.0
631.270625,1.0
631.388628,1.0
631.50663,1.0
631.624632,1.0
631.742635,1.0
631.860637,1.0
631.97864,1.0
632.096642,1.0
632.214644,1.0
632.332647,1.0
632.450649,1.0
632.568651,1.0
632.686654,1.0
632.804656,1.0
632.922658,1.0
633.040661,1.0
633.158663,1.0
633.276666,1.0
633.394668,1.0
633.51267,1.0
633.630673,1.0
633.748675,1.0
633.866677,1.0
633.98468,1.0
634.102682,1.0
634.220684,1.0
634.338687,1.0
634.456689,1.0
634.574691,1.0
634.692694,1.0
634.810696,1.0
634.928699,1.0
635.046701,1.0
635.164703,1.0
635.282706,1.0
635.400708,1.0
635.51871,1.0
635.636713,1.0
635.754715,1.0
635.872717,1.0
635.99072,1.0
636.108722,1.0
636.226725,1.0
636.344727,1.0
636.462729,1.0
636.580732,1.0
636.698734,1.0
636.816736,1.0
636.934739,1.0
637.052741,1.0
637.170743,1.0
637.288746,1.0
637.406748,1.0
637.52475,1.0
637.642753,1.0
637.760755,1.0
637.878758,1.0
637.99676,1.0
638.114762,1.0
638.232765,1.0
638.350767,1.0
638.468769,1.0
638.586772,1.0
638.704774,1.0
638.822776,1.0
638.940779,1.0
639.058781,1.0
