2024-06-26 17:08:52,240 INFO    MainThread:28588 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-06-26 17:08:52,241 INFO    MainThread:28588 [wandb_setup.py:_flush():76] Configure stats pid to 28588
2024-06-26 17:08:52,241 INFO    MainThread:28588 [wandb_setup.py:_flush():76] Loading settings from C:\Users\ljh\.config\wandb\settings
2024-06-26 17:08:52,241 INFO    MainThread:28588 [wandb_setup.py:_flush():76] Loading settings from G:\Research\Paper4-Code\2024_6_19\wandb\settings
2024-06-26 17:08:52,241 INFO    MainThread:28588 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'mode': 'dryrun'}
2024-06-26 17:08:52,241 INFO    MainThread:28588 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-26 17:08:52,241 INFO    MainThread:28588 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'use4dubug.py', 'program_abspath': 'G:\\Research\\Paper4-Code\\2024_6_19\\use4dubug.py', 'program': 'G:\\Research\\Paper4-Code\\2024_6_19\\use4dubug.py'}
2024-06-26 17:08:52,241 INFO    MainThread:28588 [wandb_init.py:_log_setup():521] Logging user logs to ./saved_exp\2024-06-26\wandb\offline-run-20240626_170852-t7w5xp5w\logs\debug.log
2024-06-26 17:08:52,241 INFO    MainThread:28588 [wandb_init.py:_log_setup():522] Logging internal logs to ./saved_exp\2024-06-26\wandb\offline-run-20240626_170852-t7w5xp5w\logs\debug-internal.log
2024-06-26 17:08:52,241 INFO    MainThread:28588 [wandb_init.py:init():561] calling init triggers
2024-06-26 17:08:52,242 INFO    MainThread:28588 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {}
2024-06-26 17:08:52,242 INFO    MainThread:28588 [wandb_init.py:init():611] starting backend
2024-06-26 17:08:52,242 INFO    MainThread:28588 [wandb_init.py:init():615] setting up manager
2024-06-26 17:08:52,244 INFO    MainThread:28588 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-06-26 17:08:52,246 INFO    MainThread:28588 [wandb_init.py:init():623] backend started and connected
2024-06-26 17:08:52,250 INFO    MainThread:28588 [wandb_init.py:init():715] updated telemetry
2024-06-26 17:08:52,251 INFO    MainThread:28588 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-06-26 17:08:52,258 INFO    MainThread:28588 [wandb_init.py:init():799] starting run threads in backend
2024-06-26 17:08:52,851 INFO    MainThread:28588 [wandb_run.py:_console_start():2335] atexit reg
2024-06-26 17:08:52,851 INFO    MainThread:28588 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-06-26 17:08:52,851 INFO    MainThread:28588 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-06-26 17:08:52,851 INFO    MainThread:28588 [wandb_run.py:_redirect():2280] Redirects installed.
2024-06-26 17:08:52,852 INFO    MainThread:28588 [wandb_init.py:init():842] run started, returning control to user process
2024-06-26 17:40:19,822 WARNING MsgRouterThr:28588 [router.py:message_loop():77] message_loop has been closed
