2024-12-06 11:27:22,465 INFO    MainThread:21984 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-12-06 11:27:22,466 INFO    MainThread:21984 [wandb_setup.py:_flush():76] Configure stats pid to 21984
2024-12-06 11:27:22,466 INFO    MainThread:21984 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Raytine\.config\wandb\settings
2024-12-06 11:27:22,466 INFO    MainThread:21984 [wandb_setup.py:_flush():76] Loading settings from f:\Code\Knowledge_graph_with_LLM_encoding-main\wandb\settings
2024-12-06 11:27:22,466 INFO    MainThread:21984 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-12-06 11:27:22,466 INFO    MainThread:21984 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-12-06 11:27:22,466 INFO    MainThread:21984 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-12-06 11:27:22,466 INFO    MainThread:21984 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-12-06 11:27:22,466 INFO    MainThread:21984 [wandb_init.py:_log_setup():521] Logging user logs to .\wandb\run-20241206_112722-unzqeeu0\logs\debug.log
2024-12-06 11:27:22,467 INFO    MainThread:21984 [wandb_init.py:_log_setup():522] Logging internal logs to .\wandb\run-20241206_112722-unzqeeu0\logs\debug-internal.log
2024-12-06 11:27:22,467 INFO    MainThread:21984 [wandb_init.py:_jupyter_setup():467] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x00000192DB197C90>
2024-12-06 11:27:22,467 INFO    MainThread:21984 [wandb_init.py:init():561] calling init triggers
2024-12-06 11:27:22,467 INFO    MainThread:21984 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {}
2024-12-06 11:27:22,467 INFO    MainThread:21984 [wandb_init.py:init():611] starting backend
2024-12-06 11:27:22,467 INFO    MainThread:21984 [wandb_init.py:init():615] setting up manager
2024-12-06 11:27:22,473 INFO    MainThread:21984 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-12-06 11:27:22,475 INFO    MainThread:21984 [wandb_init.py:init():623] backend started and connected
2024-12-06 11:27:22,484 INFO    MainThread:21984 [wandb_run.py:_label_probe_notebook():1299] probe notebook
2024-12-06 11:27:22,487 INFO    MainThread:21984 [wandb_run.py:_label_probe_notebook():1309] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-12-06 11:27:22,487 INFO    MainThread:21984 [wandb_init.py:init():715] updated telemetry
2024-12-06 11:27:22,490 INFO    MainThread:21984 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-12-06 11:27:24,393 INFO    MainThread:21984 [wandb_run.py:_on_init():2357] communicating current version
2024-12-06 11:27:25,111 INFO    MainThread:21984 [wandb_run.py:_on_init():2366] got version response upgrade_message: "wandb version 0.19.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-12-06 11:27:25,111 INFO    MainThread:21984 [wandb_init.py:init():799] starting run threads in backend
2024-12-06 11:27:33,914 INFO    MainThread:21984 [wandb_run.py:_console_start():2335] atexit reg
2024-12-06 11:27:33,914 INFO    MainThread:21984 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-12-06 11:27:33,914 INFO    MainThread:21984 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-12-06 11:27:33,915 INFO    MainThread:21984 [wandb_run.py:_redirect():2280] Redirects installed.
2024-12-06 11:27:33,916 INFO    MainThread:21984 [wandb_init.py:init():842] run started, returning control to user process
2024-12-06 11:28:58,164 INFO    MainThread:21984 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-12-06 11:28:58,164 INFO    MainThread:21984 [wandb_init.py:_pause_backend():432] pausing backend
